# _root_ Sales climbed to an estimated $ 245 million in fiscal 1989 , ended Aug. 31 , from $ 99.9 million in fiscal 1985 .
#goldHeads=2,0,2,6,6,3,6,6,3,11,9,11,11,13,14,11,2,17,18,18,17,23,21,2,
#predictedHeads=2,0,2,6,6,3,6,6,6,11,9,2,11,13,14,6,2,17,18,18,18,23,21,2,
(0,1),-2.78371 # DEPENDENCYPART_ARC
(0,2),-1.21249 # DEPENDENCYPART_ARC
(0,5),-3.70905 # DEPENDENCYPART_ARC
(1,2),-0.428964 # DEPENDENCYPART_ARC
(1,3),-0.794598 # DEPENDENCYPART_ARC
(1,4),-2.18866 # DEPENDENCYPART_ARC
(1,5),-1.5417 # DEPENDENCYPART_ARC
(1,6),-1.64946 # DEPENDENCYPART_ARC
(1,9),-1.29011 # DEPENDENCYPART_ARC
(1,12),-1.69037 # DEPENDENCYPART_ARC
(1,24),-3.72278 # DEPENDENCYPART_ARC
(2,1),1.16449 # DEPENDENCYPART_ARC
(2,3),1.708 # DEPENDENCYPART_ARC
(2,4),-1.21988 # DEPENDENCYPART_ARC
(2,5),-0.562299 # DEPENDENCYPART_ARC
(2,6),-1.31197 # DEPENDENCYPART_ARC
(2,9),-0.0412081 # DEPENDENCYPART_ARC
(2,10),-2.17752 # DEPENDENCYPART_ARC
(2,11),-2.68351 # DEPENDENCYPART_ARC
(2,12),-0.654607 # DEPENDENCYPART_ARC
(2,13),-1.61364 # DEPENDENCYPART_ARC
(2,14),-2.20037 # DEPENDENCYPART_ARC
(2,16),-0.84199 # DEPENDENCYPART_ARC
(2,17),-0.699552 # DEPENDENCYPART_ARC
(2,21),-1.29473 # DEPENDENCYPART_ARC
(2,22),-3.07942 # DEPENDENCYPART_ARC
(2,24),-0.298417 # DEPENDENCYPART_ARC
(3,1),-2.14415 # DEPENDENCYPART_ARC
(3,4),-0.482773 # DEPENDENCYPART_ARC
(3,5),-0.618368 # DEPENDENCYPART_ARC
(3,6),-0.896512 # DEPENDENCYPART_ARC
(3,8),-1.67823 # DEPENDENCYPART_ARC
(3,9),-1.36009 # DEPENDENCYPART_ARC
(3,10),-2.155 # DEPENDENCYPART_ARC
(3,11),-2.00698 # DEPENDENCYPART_ARC
(3,12),-1.31924 # DEPENDENCYPART_ARC
(3,13),-2.10785 # DEPENDENCYPART_ARC
(3,14),-2.46608 # DEPENDENCYPART_ARC
