# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
(0,2),-3.75578 # DEPENDENCYPART_ARC
(0,3),-4.79205 # DEPENDENCYPART_ARC
(0,5),-3.16191 # DEPENDENCYPART_ARC
(0,19),-1.01024 # DEPENDENCYPART_ARC
(1,2),-1.64101 # DEPENDENCYPART_ARC
(1,3),-1.91168 # DEPENDENCYPART_ARC
(1,4),-1.50438 # DEPENDENCYPART_ARC
(1,5),-2.68771 # DEPENDENCYPART_ARC
(1,18),-1.75573 # DEPENDENCYPART_ARC
(2,1),-0.202582 # DEPENDENCYPART_ARC
(2,3),-0.572485 # DEPENDENCYPART_ARC
(2,4),-1.54066 # DEPENDENCYPART_ARC
(2,5),-2.06022 # DEPENDENCYPART_ARC
(2,6),-2.64647 # DEPENDENCYPART_ARC
(2,8),-2.97013 # DEPENDENCYPART_ARC
(2,9),-2.85245 # DEPENDENCYPART_ARC
(2,10),-3.11692 # DEPENDENCYPART_ARC
(2,15),-4.29779 # DEPENDENCYPART_ARC
(2,16),-3.47228 # DEPENDENCYPART_ARC
(2,18),-1.85012 # DEPENDENCYPART_ARC
(2,32),-3.33495 # DEPENDENCYPART_ARC
(3,1),0.62594 # DEPENDENCYPART_ARC
(3,2),1.25745 # DEPENDENCYPART_ARC
(3,4),-0.447575 # DEPENDENCYPART_ARC
(3,5),-0.993802 # DEPENDENCYPART_ARC
(3,6),-2.04333 # DEPENDENCYPART_ARC
(3,8),-2.38779 # DEPENDENCYPART_ARC
(3,9),-2.32953 # DEPENDENCYPART_ARC
(3,10),-2.55129 # DEPENDENCYPART_ARC
(3,18),-0.57983 # DEPENDENCYPART_ARC
(3,32),-3.16039 # DEPENDENCYPART_ARC
(4,3),-2.34395 # DEPENDENCYPART_ARC
(4,5),-1.92008 # DEPENDENCYPART_ARC
(5,1),-2.02808 # DEPENDENCYPART_ARC
(5,2),-1.72732 # DEPENDENCYPART_ARC
(5,3),-1.85599 # DEPENDENCYPART_ARC
(5,4),-1.49121 # DEPENDENCYPART_ARC
(5,6),1.41765 # DEPENDENCYPART_ARC
(5,7),-1.50828 # DEPENDENCYPART_ARC
(5,8),-0.663561 # DEPENDENCYPART_ARC
(5,9),-0.667774 # DEPENDENCYPART_ARC
(5,10),-0.992988 # DEPENDENCYPART_ARC
(5,12),-1.59338 # DEPENDENCYPART_ARC
(5,13),-1.73906 # DEPENDENCYPART_ARC
(5,16),-1.57989 # DEPENDENCYPART_ARC
(5,18),-0.918022 # DEPENDENCYPART_ARC
(5,19),-1.88691 # DEPENDENCYPART_ARC
(5,23),-1.66253 # DEPENDENCYPART_ARC
(5,28),-2.24867 # DEPENDENCYPART_ARC
(5,32),-1.50872 # DEPENDENCYPART_ARC
(6,3),-2.30596 # DEPENDENCYPART_ARC
(6,4),-2.06529 # DEPENDENCYPART_ARC
(6,7),-1.06068 # DEPENDENCYPART_ARC
(6,8),1.07318 # DEPENDENCYPART_ARC
(6,9),-1.00673 # DEPENDENCYPART_ARC
(6,10),-0.925759 # DEPENDENCYPART_ARC
(6,12),-1.64232 # DEPENDENCYPART_ARC
(6,14),-2.62377 # DEPENDENCYPART_ARC
(6,15),-2.61226 # DEPENDENCYPART_ARC
(6,19),-1.41844 # DEPENDENCYPART_ARC
(6,23),-1.52641 # DEPENDENCYPART_ARC
(6,32),-3.98818 # DEPENDENCYPART_ARC
(7,9),-1.99948 # DEPENDENCYPART_ARC
(8,2),-2.50147 # DEPENDENCYPART_ARC
(8,3),-2.45709 # DEPENDENCYPART_ARC
(8,4),-2.3143 # DEPENDENCYPART_ARC
(8,5),-1.59452 # DEPENDENCYPART_ARC
(8,7),1.5771 # DEPENDENCYPART_ARC
(8,9),0.347902 # DEPENDENCYPART_ARC
(8,10),-0.633853 # DEPENDENCYPART_ARC
(8,11),-2.04735 # DEPENDENCYPART_ARC
(8,12),-1.23488 # DEPENDENCYPART_ARC
(8,13),-1.86661 # DEPENDENCYPART_ARC
(8,14),-2.10888 # DEPENDENCYPART_ARC
(8,15),-2.01121 # DEPENDENCYPART_ARC
(8,16),-1.79937 # DEPENDENCYPART_ARC
(8,18),-0.806698 # DEPENDENCYPART_ARC
(8,19),-1.41155 # DEPENDENCYPART_ARC
(8,23),-1.99101 # DEPENDENCYPART_ARC
(8,28),-2.26659 # DEPENDENCYPART_ARC
(8,32),-3.16089 # DEPENDENCYPART_ARC
