# _root_ He received $ 724,579 for the shares , according to insider filings with the Securities and Exchange Commission .
#goldHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
#predictedHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
(0,2),-1.65389 # DEPENDENCYPART_ARC
(0,3),-2.32347 # DEPENDENCYPART_ARC
(0,4),-2.60329 # DEPENDENCYPART_ARC
(0,9),-2.88021 # DEPENDENCYPART_ARC
(0,10),-2.83072 # DEPENDENCYPART_ARC
(0,16),-2.56811 # DEPENDENCYPART_ARC
(1,2),-0.25751 # DEPENDENCYPART_ARC
(1,5),-1.46981 # DEPENDENCYPART_ARC
(2,1),0.896413 # DEPENDENCYPART_ARC
(2,3),0.401008 # DEPENDENCYPART_ARC
(2,4),-0.169146 # DEPENDENCYPART_ARC
(2,5),-0.162939 # DEPENDENCYPART_ARC
(2,7),-0.632252 # DEPENDENCYPART_ARC
(2,8),-0.666962 # DEPENDENCYPART_ARC
(2,9),-1.07349 # DEPENDENCYPART_ARC
(2,10),-1.4026 # DEPENDENCYPART_ARC
(2,12),-2.05793 # DEPENDENCYPART_ARC
(2,13),-1.53889 # DEPENDENCYPART_ARC
(2,16),-0.279325 # DEPENDENCYPART_ARC
(2,19),-0.65462 # DEPENDENCYPART_ARC
(3,4),0.193675 # DEPENDENCYPART_ARC
(3,5),-0.867206 # DEPENDENCYPART_ARC
(3,6),-0.940319 # DEPENDENCYPART_ARC
(3,7),-1.18225 # DEPENDENCYPART_ARC
(3,8),-1.24995 # DEPENDENCYPART_ARC
(3,9),-1.74241 # DEPENDENCYPART_ARC
(3,13),-2.1554 # DEPENDENCYPART_ARC
(3,19),-1.54444 # DEPENDENCYPART_ARC
(4,3),0.91176 # DEPENDENCYPART_ARC
(4,5),0.390927 # DEPENDENCYPART_ARC
(4,6),-0.498337 # DEPENDENCYPART_ARC
(4,8),-0.717075 # DEPENDENCYPART_ARC
(4,9),-1.24413 # DEPENDENCYPART_ARC
(4,13),-1.48132 # DEPENDENCYPART_ARC
(4,16),-0.959043 # DEPENDENCYPART_ARC
(4,18),-1.67398 # DEPENDENCYPART_ARC
(5,3),-1.26355 # DEPENDENCYPART_ARC
(5,4),-0.515616 # DEPENDENCYPART_ARC
(5,6),0.0387564 # DEPENDENCYPART_ARC
(5,7),0.260084 # DEPENDENCYPART_ARC
(5,8),-0.959165 # DEPENDENCYPART_ARC
(5,9),-1.74949 # DEPENDENCYPART_ARC
(5,10),-1.90852 # DEPENDENCYPART_ARC
(5,12),-2.5811 # DEPENDENCYPART_ARC
