# _root_ Other credit houses , such as Credit Exchange and Solo Credit Service Corp. , are suggesting that their clients study each order before shipping .
#goldHeads=3,3,15,3,6,3,8,9,6,13,13,13,9,3,0,15,20,19,20,16,22,20,20,23,15,
#predictedHeads=3,3,15,3,6,3,8,9,6,13,13,13,9,3,0,15,20,19,20,16,22,20,20,23,15,
(0,3),-2.65573 # DEPENDENCYPART_ARC
(0,5),-3.22563 # DEPENDENCYPART_ARC
(0,6),-3.1847 # DEPENDENCYPART_ARC
(0,9),-2.97337 # DEPENDENCYPART_ARC
(0,13),-3.67769 # DEPENDENCYPART_ARC
(0,15),-1.3111 # DEPENDENCYPART_ARC
(0,16),-2.2936 # DEPENDENCYPART_ARC
(0,20),-2.23518 # DEPENDENCYPART_ARC
(1,2),-0.535514 # DEPENDENCYPART_ARC
(1,3),-1.37701 # DEPENDENCYPART_ARC
(1,4),-1.31374 # DEPENDENCYPART_ARC
(1,5),-1.82776 # DEPENDENCYPART_ARC
(1,6),-1.95907 # DEPENDENCYPART_ARC
(1,9),-1.55432 # DEPENDENCYPART_ARC
(2,1),0.189871 # DEPENDENCYPART_ARC
(2,3),-0.738592 # DEPENDENCYPART_ARC
(2,4),-1.41381 # DEPENDENCYPART_ARC
(2,5),-1.96286 # DEPENDENCYPART_ARC
(2,6),-2.01222 # DEPENDENCYPART_ARC
(2,9),-1.50155 # DEPENDENCYPART_ARC
(2,14),-2.03791 # DEPENDENCYPART_ARC
(2,15),-1.89757 # DEPENDENCYPART_ARC
(2,20),-2.181 # DEPENDENCYPART_ARC
(3,1),0.455345 # DEPENDENCYPART_ARC
(3,2),1.89834 # DEPENDENCYPART_ARC
(3,4),0.290896 # DEPENDENCYPART_ARC
(3,5),-1.49037 # DEPENDENCYPART_ARC
(3,6),-1.65704 # DEPENDENCYPART_ARC
(3,7),-1.70919 # DEPENDENCYPART_ARC
(3,8),-1.96474 # DEPENDENCYPART_ARC
(3,9),-1.21943 # DEPENDENCYPART_ARC
(3,10),-1.87374 # DEPENDENCYPART_ARC
(3,11),-2.0199 # DEPENDENCYPART_ARC
(3,12),-2.08665 # DEPENDENCYPART_ARC
(3,14),-1.07086 # DEPENDENCYPART_ARC
(3,15),-1.90298 # DEPENDENCYPART_ARC
(3,17),-2.023 # DEPENDENCYPART_ARC
(3,19),-2.35551 # DEPENDENCYPART_ARC
(3,22),-2.05882 # DEPENDENCYPART_ARC
(3,23),-1.96267 # DEPENDENCYPART_ARC
(3,25),-2.0754 # DEPENDENCYPART_ARC
(4,6),-1.31753 # DEPENDENCYPART_ARC
(5,1),-1.46492 # DEPENDENCYPART_ARC
(5,2),-1.05339 # DEPENDENCYPART_ARC
(5,3),-1.025 # DEPENDENCYPART_ARC
(5,4),0.228865 # DEPENDENCYPART_ARC
(5,6),0.0385715 # DEPENDENCYPART_ARC
(5,7),-0.98077 # DEPENDENCYPART_ARC
(5,8),-1.20607 # DEPENDENCYPART_ARC
(5,9),-0.9763 # DEPENDENCYPART_ARC
(5,10),-1.29621 # DEPENDENCYPART_ARC
(5,11),-1.3759 # DEPENDENCYPART_ARC
(5,20),-1.81856 # DEPENDENCYPART_ARC
(6,3),-1.70854 # DEPENDENCYPART_ARC
(6,4),-1.15384 # DEPENDENCYPART_ARC
(6,5),0.158281 # DEPENDENCYPART_ARC
(6,7),0.0541414 # DEPENDENCYPART_ARC
(6,8),-0.498231 # DEPENDENCYPART_ARC
(6,9),-0.611268 # DEPENDENCYPART_ARC
(6,10),-1.89488 # DEPENDENCYPART_ARC
(6,11),-2.0265 # DEPENDENCYPART_ARC
(6,12),-2.5497 # DEPENDENCYPART_ARC
(6,13),-2.40246 # DEPENDENCYPART_ARC
(7,4),-3.23452 # DEPENDENCYPART_ARC
(7,5),-2.41976 # DEPENDENCYPART_ARC
(7,8),-0.579269 # DEPENDENCYPART_ARC
(7,13),-2.11742 # DEPENDENCYPART_ARC
(8,1),-2.82547 # DEPENDENCYPART_ARC
(8,3),-2.67747 # DEPENDENCYPART_ARC
(8,4),-2.35404 # DEPENDENCYPART_ARC
(8,5),-1.93042 # DEPENDENCYPART_ARC
(8,6),-1.64492 # DEPENDENCYPART_ARC
(8,7),1.14503 # DEPENDENCYPART_ARC
(8,10),-1.35526 # DEPENDENCYPART_ARC
(8,13),-2.1798 # DEPENDENCYPART_ARC
(8,14),-1.66738 # DEPENDENCYPART_ARC
(9,1),-1.7069 # DEPENDENCYPART_ARC
(9,2),-1.27332 # DEPENDENCYPART_ARC
(9,3),-1.07062 # DEPENDENCYPART_ARC
