# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(0,1),-3.74751 # DEPENDENCYPART_ARC
(0,7),0.321084 # DEPENDENCYPART_ARC
(0,10),-1.71331 # DEPENDENCYPART_ARC
(1,2),0.715356 # DEPENDENCYPART_ARC
(1,3),0.956891 # DEPENDENCYPART_ARC
(1,4),-1.50412 # DEPENDENCYPART_ARC
(1,6),-2.27848 # DEPENDENCYPART_ARC
(1,7),-1.31269 # DEPENDENCYPART_ARC
(1,9),-2.61029 # DEPENDENCYPART_ARC
(1,10),-1.01793 # DEPENDENCYPART_ARC
(1,18),-2.45815 # DEPENDENCYPART_ARC
(2,3),-1.37184 # DEPENDENCYPART_ARC
(2,6),-2.65696 # DEPENDENCYPART_ARC
(2,10),-2.0876 # DEPENDENCYPART_ARC
(3,1),-1.1537 # DEPENDENCYPART_ARC
(3,2),1.70953 # DEPENDENCYPART_ARC
(3,4),-0.332196 # DEPENDENCYPART_ARC
(3,5),-1.5676 # DEPENDENCYPART_ARC
(3,6),-1.75389 # DEPENDENCYPART_ARC
(3,7),-1.45257 # DEPENDENCYPART_ARC
(3,8),-2.02419 # DEPENDENCYPART_ARC
(3,9),-2.23682 # DEPENDENCYPART_ARC
(3,10),-1.48728 # DEPENDENCYPART_ARC
(3,11),-2.31861 # DEPENDENCYPART_ARC
(3,14),-2.7124 # DEPENDENCYPART_ARC
(3,17),-1.43239 # DEPENDENCYPART_ARC
(3,18),-2.7525 # DEPENDENCYPART_ARC
(3,19),-2.77472 # DEPENDENCYPART_ARC
(5,1),-3.39818 # DEPENDENCYPART_ARC
(5,3),-2.60636 # DEPENDENCYPART_ARC
(5,4),-2.05797 # DEPENDENCYPART_ARC
(5,6),-0.732722 # DEPENDENCYPART_ARC
(5,7),-1.99633 # DEPENDENCYPART_ARC
(5,9),-2.6876 # DEPENDENCYPART_ARC
(5,10),-2.33789 # DEPENDENCYPART_ARC
(6,1),-2.33872 # DEPENDENCYPART_ARC
(6,2),-0.792972 # DEPENDENCYPART_ARC
(6,3),-1.55735 # DEPENDENCYPART_ARC
(6,4),-1.0444 # DEPENDENCYPART_ARC
(6,5),2.05438 # DEPENDENCYPART_ARC
(6,7),-0.834161 # DEPENDENCYPART_ARC
(6,8),-1.49204 # DEPENDENCYPART_ARC
(6,9),-1.92205 # DEPENDENCYPART_ARC
(6,10),-1.64411 # DEPENDENCYPART_ARC
(6,14),-2.71902 # DEPENDENCYPART_ARC
(7,1),-0.513752 # DEPENDENCYPART_ARC
(7,2),-1.62136 # DEPENDENCYPART_ARC
(7,3),-1.35821 # DEPENDENCYPART_ARC
(7,4),0.654734 # DEPENDENCYPART_ARC
(7,5),-0.916687 # DEPENDENCYPART_ARC
(7,6),0.379878 # DEPENDENCYPART_ARC
(7,8),-0.13569 # DEPENDENCYPART_ARC
(7,9),-0.561362 # DEPENDENCYPART_ARC
(7,10),0.0610914 # DEPENDENCYPART_ARC
(7,11),-1.06712 # DEPENDENCYPART_ARC
(7,14),-1.78369 # DEPENDENCYPART_ARC
(7,15),-1.29538 # DEPENDENCYPART_ARC
(7,17),-1.01382 # DEPENDENCYPART_ARC
(7,18),-1.11052 # DEPENDENCYPART_ARC
(7,19),-0.496155 # DEPENDENCYPART_ARC
(7,36),1.79522 # DEPENDENCYPART_ARC
(8,6),-1.55916 # DEPENDENCYPART_ARC
(8,7),-1.55922 # DEPENDENCYPART_ARC
(8,9),-0.764241 # DEPENDENCYPART_ARC
(8,10),-0.654569 # DEPENDENCYPART_ARC
(8,11),-1.36973 # DEPENDENCYPART_ARC
(8,14),-1.86823 # DEPENDENCYPART_ARC
(8,17),-1.49698 # DEPENDENCYPART_ARC
(9,1),-2.48469 # DEPENDENCYPART_ARC
(9,2),-0.549859 # DEPENDENCYPART_ARC
(9,3),-1.58025 # DEPENDENCYPART_ARC
(9,4),-1.73141 # DEPENDENCYPART_ARC
(9,5),-0.512065 # DEPENDENCYPART_ARC
(9,6),-0.436796 # DEPENDENCYPART_ARC
(9,7),-0.973405 # DEPENDENCYPART_ARC
(9,8),2.10233 # DEPENDENCYPART_ARC
(9,10),-1.17992 # DEPENDENCYPART_ARC
(9,11),-1.29775 # DEPENDENCYPART_ARC
(9,14),-2.22361 # DEPENDENCYPART_ARC
(9,17),-1.68501 # DEPENDENCYPART_ARC
(10,1),-0.62573 # DEPENDENCYPART_ARC
(10,2),-1.30153 # DEPENDENCYPART_ARC
(10,3),-1.42854 # DEPENDENCYPART_ARC
(10,4),-0.580977 # DEPENDENCYPART_ARC
(10,5),-1.95239 # DEPENDENCYPART_ARC
(10,6),-1.91739 # DEPENDENCYPART_ARC
(10,7),-1.26138 # DEPENDENCYPART_ARC
(10,8),-0.986893 # DEPENDENCYPART_ARC
(10,9),1.41528 # DEPENDENCYPART_ARC
(10,11),2.03123 # DEPENDENCYPART_ARC
(10,12),-1.58308 # DEPENDENCYPART_ARC
(10,13),-1.61954 # DEPENDENCYPART_ARC
(10,14),-1.07272 # DEPENDENCYPART_ARC
