# _root_ These firms , which often have acquired a local brokerage firm , are calling the shots when it comes to deciding in which market to transact a trade .
#goldHeads=2,13,2,6,6,2,6,11,11,11,7,2,0,13,16,14,19,19,14,19,20,26,24,22,26,21,28,26,13,
#predictedHeads=2,13,2,6,6,2,6,11,11,11,7,2,0,13,16,14,19,19,14,21,19,26,22,26,26,21,28,26,13,
(0,2),-2.23558 # DEPENDENCYPART_ARC
(0,6),-2.02481 # DEPENDENCYPART_ARC
(0,7),-2.69163 # DEPENDENCYPART_ARC
(0,13),-1.88305 # DEPENDENCYPART_ARC
(0,14),-2.39397 # DEPENDENCYPART_ARC
(0,19),-2.38557 # DEPENDENCYPART_ARC
(1,2),-0.488 # DEPENDENCYPART_ARC
(1,3),-1.34406 # DEPENDENCYPART_ARC
(1,6),-2.06517 # DEPENDENCYPART_ARC
(2,1),1.0928 # DEPENDENCYPART_ARC
(2,3),0.196369 # DEPENDENCYPART_ARC
(2,5),-1.54627 # DEPENDENCYPART_ARC
(2,6),-1.46363 # DEPENDENCYPART_ARC
(2,7),-2.03805 # DEPENDENCYPART_ARC
(2,8),-1.91571 # DEPENDENCYPART_ARC
(2,9),-1.93929 # DEPENDENCYPART_ARC
(2,10),-1.62858 # DEPENDENCYPART_ARC
(2,11),-1.7116 # DEPENDENCYPART_ARC
(2,12),-1.24676 # DEPENDENCYPART_ARC
(2,13),-2.16145 # DEPENDENCYPART_ARC
(2,14),-2.14483 # DEPENDENCYPART_ARC
(2,16),-1.7606 # DEPENDENCYPART_ARC
(2,19),-2.13839 # DEPENDENCYPART_ARC
(2,29),-3.03658 # DEPENDENCYPART_ARC
(5,2),-2.16027 # DEPENDENCYPART_ARC
(5,3),-1.55554 # DEPENDENCYPART_ARC
(5,6),-0.442037 # DEPENDENCYPART_ARC
(5,7),-1.36689 # DEPENDENCYPART_ARC
(5,11),-2.04097 # DEPENDENCYPART_ARC
(6,1),-1.64985 # DEPENDENCYPART_ARC
(6,2),-1.60424 # DEPENDENCYPART_ARC
(6,3),-0.985784 # DEPENDENCYPART_ARC
(6,4),-0.330548 # DEPENDENCYPART_ARC
(6,5),0.792135 # DEPENDENCYPART_ARC
(6,7),1.4746 # DEPENDENCYPART_ARC
(6,8),-1.06142 # DEPENDENCYPART_ARC
(6,9),-1.29953 # DEPENDENCYPART_ARC
(6,10),-0.97789 # DEPENDENCYPART_ARC
(6,11),-0.881391 # DEPENDENCYPART_ARC
(6,12),-1.42478 # DEPENDENCYPART_ARC
(6,13),-1.67972 # DEPENDENCYPART_ARC
(6,14),-1.45629 # DEPENDENCYPART_ARC
(6,16),-2.10868 # DEPENDENCYPART_ARC
(6,19),-1.76982 # DEPENDENCYPART_ARC
(6,21),-1.7973 # DEPENDENCYPART_ARC
(6,26),-2.04247 # DEPENDENCYPART_ARC
(6,29),-0.41074 # DEPENDENCYPART_ARC
(7,2),-2.84718 # DEPENDENCYPART_ARC
(7,3),-2.21695 # DEPENDENCYPART_ARC
(7,4),-1.50538 # DEPENDENCYPART_ARC
(7,5),-1.26645 # DEPENDENCYPART_ARC
(7,6),-0.87438 # DEPENDENCYPART_ARC
(7,8),-0.213888 # DEPENDENCYPART_ARC
(7,9),-0.712606 # DEPENDENCYPART_ARC
(7,10),-0.368494 # DEPENDENCYPART_ARC
(7,11),-0.180982 # DEPENDENCYPART_ARC
(7,12),-1.26079 # DEPENDENCYPART_ARC
(7,13),-1.63691 # DEPENDENCYPART_ARC
(7,14),-1.89505 # DEPENDENCYPART_ARC
(7,16),-1.84633 # DEPENDENCYPART_ARC
(7,19),-2.03131 # DEPENDENCYPART_ARC
(7,20),-2.33345 # DEPENDENCYPART_ARC
(7,21),-1.80873 # DEPENDENCYPART_ARC
(7,22),-2.48766 # DEPENDENCYPART_ARC
(7,26),-1.95083 # DEPENDENCYPART_ARC
(7,29),-0.743761 # DEPENDENCYPART_ARC
(8,9),-0.500684 # DEPENDENCYPART_ARC
(8,10),-1.15739 # DEPENDENCYPART_ARC
(8,12),-1.18628 # DEPENDENCYPART_ARC
(9,5),-1.5521 # DEPENDENCYPART_ARC
(9,8),0.0477446 # DEPENDENCYPART_ARC
(9,10),-0.351466 # DEPENDENCYPART_ARC
(9,12),-1.22415 # DEPENDENCYPART_ARC
(10,4),-2.61926 # DEPENDENCYPART_ARC
(10,5),-2.02719 # DEPENDENCYPART_ARC
(10,8),-0.720794 # DEPENDENCYPART_ARC
(10,9),0.108507 # DEPENDENCYPART_ARC
(10,11),-0.801377 # DEPENDENCYPART_ARC
(10,12),-1.84105 # DEPENDENCYPART_ARC
(10,13),-1.88979 # DEPENDENCYPART_ARC
(11,1),-2.11067 # DEPENDENCYPART_ARC
(11,2),-2.04526 # DEPENDENCYPART_ARC
(11,3),-1.58486 # DEPENDENCYPART_ARC
(11,5),-1.3034 # DEPENDENCYPART_ARC
(11,6),-0.879963 # DEPENDENCYPART_ARC
(11,7),-0.618131 # DEPENDENCYPART_ARC
(11,8),-0.0897575 # DEPENDENCYPART_ARC
(11,9),0.520174 # DEPENDENCYPART_ARC
(11,10),2.16651 # DEPENDENCYPART_ARC
(11,12),0.128278 # DEPENDENCYPART_ARC
(11,13),-1.66749 # DEPENDENCYPART_ARC
(11,14),-2.23502 # DEPENDENCYPART_ARC
(11,16),-1.8062 # DEPENDENCYPART_ARC
(11,19),-2.41186 # DEPENDENCYPART_ARC
(13,1),-1.7204 # DEPENDENCYPART_ARC
(13,2),-0.504619 # DEPENDENCYPART_ARC
(13,3),-2.00207 # DEPENDENCYPART_ARC
(13,5),-1.7828 # DEPENDENCYPART_ARC
(13,6),-1.17571 # DEPENDENCYPART_ARC
(13,7),-1.19726 # DEPENDENCYPART_ARC
(13,8),-1.68068 # DEPENDENCYPART_ARC
(13,9),-1.41079 # DEPENDENCYPART_ARC
(13,10),-1.58476 # DEPENDENCYPART_ARC
(13,11),-1.05634 # DEPENDENCYPART_ARC
(13,12),0.942717 # DEPENDENCYPART_ARC
(13,14),1.5679 # DEPENDENCYPART_ARC
(13,15),-0.826426 # DEPENDENCYPART_ARC
(13,16),-0.615726 # DEPENDENCYPART_ARC
(13,19),-0.754911 # DEPENDENCYPART_ARC
(13,20),-1.27632 # DEPENDENCYPART_ARC
(13,21),-0.692598 # DEPENDENCYPART_ARC
(13,22),-1.5968 # DEPENDENCYPART_ARC
(13,26),-0.760008 # DEPENDENCYPART_ARC
(13,29),0.589163 # DEPENDENCYPART_ARC
(14,2),-2.3913 # DEPENDENCYPART_ARC
(14,6),-2.54775 # DEPENDENCYPART_ARC
(14,11),-2.92451 # DEPENDENCYPART_ARC
(14,12),-1.89484 # DEPENDENCYPART_ARC
(14,13),-1.14299 # DEPENDENCYPART_ARC
(14,15),0.0066283 # DEPENDENCYPART_ARC
(14,16),0.234205 # DEPENDENCYPART_ARC
(14,17),-1.03285 # DEPENDENCYPART_ARC
(14,19),-0.57043 # DEPENDENCYPART_ARC
(14,20),-1.23465 # DEPENDENCYPART_ARC
(14,21),-0.719362 # DEPENDENCYPART_ARC
(14,22),-1.39243 # DEPENDENCYPART_ARC
(14,24),-1.53045 # DEPENDENCYPART_ARC
