# _root_ ( After 1992 , the winter and summer Olympics will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )
#goldHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,15,12,12,12,20,20,21,17,21,25,25,28,25,26,22,31,31,28,31,32,10,10,
#predictedHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,12,12,12,12,20,20,17,20,21,25,25,22,21,26,22,31,31,28,31,32,10,28,
(0,2),-2.39883 # DEPENDENCYPART_ARC
(0,3),-2.45396 # DEPENDENCYPART_ARC
(0,7),-3.02188 # DEPENDENCYPART_ARC
(0,9),-3.26635 # DEPENDENCYPART_ARC
(0,10),-2.02957 # DEPENDENCYPART_ARC
(0,11),-2.60033 # DEPENDENCYPART_ARC
(0,12),-2.84739 # DEPENDENCYPART_ARC
(0,21),-2.5859 # DEPENDENCYPART_ARC
(0,28),-2.3818 # DEPENDENCYPART_ARC
(2,1),-0.111786 # DEPENDENCYPART_ARC
(2,3),0.591429 # DEPENDENCYPART_ARC
(2,4),-0.526848 # DEPENDENCYPART_ARC
(2,6),-1.49944 # DEPENDENCYPART_ARC
(2,7),-1.06632 # DEPENDENCYPART_ARC
(2,10),-1.53372 # DEPENDENCYPART_ARC
(2,17),-0.980735 # DEPENDENCYPART_ARC
(3,1),-0.957144 # DEPENDENCYPART_ARC
(3,2),-0.144769 # DEPENDENCYPART_ARC
(3,4),-0.00221719 # DEPENDENCYPART_ARC
(3,5),-1.32795 # DEPENDENCYPART_ARC
(3,6),-1.59042 # DEPENDENCYPART_ARC
(3,7),-1.35357 # DEPENDENCYPART_ARC
(3,10),-1.52534 # DEPENDENCYPART_ARC
(5,4),-0.0239934 # DEPENDENCYPART_ARC
(5,6),-0.383902 # DEPENDENCYPART_ARC
(6,1),-2.49783 # DEPENDENCYPART_ARC
(6,2),-2.16974 # DEPENDENCYPART_ARC
(6,3),-2.51561 # DEPENDENCYPART_ARC
(6,4),-1.58561 # DEPENDENCYPART_ARC
(6,5),0.563882 # DEPENDENCYPART_ARC
(6,8),-1.26615 # DEPENDENCYPART_ARC
(6,9),-1.71127 # DEPENDENCYPART_ARC
(6,10),-1.34403 # DEPENDENCYPART_ARC
(6,11),-1.36317 # DEPENDENCYPART_ARC
(6,12),-1.71871 # DEPENDENCYPART_ARC
(7,2),-1.69906 # DEPENDENCYPART_ARC
(7,3),-1.57256 # DEPENDENCYPART_ARC
(7,4),-0.889144 # DEPENDENCYPART_ARC
(7,5),-0.306226 # DEPENDENCYPART_ARC
(7,6),1.86007 # DEPENDENCYPART_ARC
(7,8),2.02068 # DEPENDENCYPART_ARC
(7,9),0.398487 # DEPENDENCYPART_ARC
(7,10),-0.811132 # DEPENDENCYPART_ARC
(7,11),-0.87524 # DEPENDENCYPART_ARC
(7,12),-1.43255 # DEPENDENCYPART_ARC
(7,13),-1.54456 # DEPENDENCYPART_ARC
(7,14),-1.36019 # DEPENDENCYPART_ARC
(7,15),-1.13197 # DEPENDENCYPART_ARC
(7,16),-1.10882 # DEPENDENCYPART_ARC
(7,17),-1.76506 # DEPENDENCYPART_ARC
(7,20),-2.06584 # DEPENDENCYPART_ARC
(7,21),-2.83943 # DEPENDENCYPART_ARC
(7,22),-1.73784 # DEPENDENCYPART_ARC
(7,25),-2.7088 # DEPENDENCYPART_ARC
(7,34),0.696943 # DEPENDENCYPART_ARC
(8,1),-3.51233 # DEPENDENCYPART_ARC
(8,2),-3.19378 # DEPENDENCYPART_ARC
(8,5),-2.29804 # DEPENDENCYPART_ARC
(8,6),-1.93321 # DEPENDENCYPART_ARC
(8,9),-0.785403 # DEPENDENCYPART_ARC
(8,10),-1.35464 # DEPENDENCYPART_ARC
(8,11),-1.34986 # DEPENDENCYPART_ARC
(8,14),-1.99095 # DEPENDENCYPART_ARC
(9,5),-0.251591 # DEPENDENCYPART_ARC
(9,6),-0.58122 # DEPENDENCYPART_ARC
(9,7),0.0861656 # DEPENDENCYPART_ARC
