# _root_ Gains in advertising revenue , however , resulted in operating profit of $ 78.4 million -- up 20 % from $ 65.6 million .
#goldHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
(0,1),-1.9492 # DEPENDENCYPART_ARC
(0,4),-2.97557 # DEPENDENCYPART_ARC
(0,6),-3.22254 # DEPENDENCYPART_ARC
(0,8),-1.70349 # DEPENDENCYPART_ARC
(1,2),0.420582 # DEPENDENCYPART_ARC
(1,3),-1.05626 # DEPENDENCYPART_ARC
(1,4),-1.45171 # DEPENDENCYPART_ARC
(1,5),-1.79626 # DEPENDENCYPART_ARC
(1,6),-1.90548 # DEPENDENCYPART_ARC
(1,7),-1.96234 # DEPENDENCYPART_ARC
(1,8),-1.75646 # DEPENDENCYPART_ARC
(1,9),-1.87769 # DEPENDENCYPART_ARC
(1,11),-2.05379 # DEPENDENCYPART_ARC
(1,16),-1.47343 # DEPENDENCYPART_ARC
(1,20),-1.64585 # DEPENDENCYPART_ARC
(1,24),-1.77903 # DEPENDENCYPART_ARC
(2,1),-0.749662 # DEPENDENCYPART_ARC
(2,3),0.169661 # DEPENDENCYPART_ARC
(2,4),-0.235887 # DEPENDENCYPART_ARC
(2,5),-1.24924 # DEPENDENCYPART_ARC
(2,6),-1.77978 # DEPENDENCYPART_ARC
(2,7),-1.92671 # DEPENDENCYPART_ARC
(2,8),-1.8415 # DEPENDENCYPART_ARC
(2,9),-1.54729 # DEPENDENCYPART_ARC
(3,1),-1.724 # DEPENDENCYPART_ARC
(3,2),-0.976135 # DEPENDENCYPART_ARC
(3,4),-0.578508 # DEPENDENCYPART_ARC
(3,5),-1.81307 # DEPENDENCYPART_ARC
(3,6),-1.90589 # DEPENDENCYPART_ARC
(3,7),-2.24371 # DEPENDENCYPART_ARC
(3,8),-1.8712 # DEPENDENCYPART_ARC
(4,1),-0.653371 # DEPENDENCYPART_ARC
(4,2),-0.937446 # DEPENDENCYPART_ARC
(4,3),2.08296 # DEPENDENCYPART_ARC
(4,5),-0.147298 # DEPENDENCYPART_ARC
(4,6),-1.76132 # DEPENDENCYPART_ARC
(4,7),-1.61384 # DEPENDENCYPART_ARC
(4,8),-1.99854 # DEPENDENCYPART_ARC
(4,9),-2.06234 # DEPENDENCYPART_ARC
(4,11),-1.99804 # DEPENDENCYPART_ARC
(4,16),-1.55619 # DEPENDENCYPART_ARC
(4,24),-1.85268 # DEPENDENCYPART_ARC
(5,2),-1.1919 # DEPENDENCYPART_ARC
(5,6),-0.661615 # DEPENDENCYPART_ARC
(6,1),-1.654 # DEPENDENCYPART_ARC
(6,2),-1.84814 # DEPENDENCYPART_ARC
(6,3),-1.47353 # DEPENDENCYPART_ARC
(6,4),-1.5477 # DEPENDENCYPART_ARC
(6,5),0.287379 # DEPENDENCYPART_ARC
(6,7),-0.15257 # DEPENDENCYPART_ARC
(6,8),-1.35118 # DEPENDENCYPART_ARC
(6,9),-1.74708 # DEPENDENCYPART_ARC
(6,11),-1.95805 # DEPENDENCYPART_ARC
(6,20),-2.23611 # DEPENDENCYPART_ARC
(7,6),-0.113705 # DEPENDENCYPART_ARC
(8,1),-0.299013 # DEPENDENCYPART_ARC
(8,2),-0.535303 # DEPENDENCYPART_ARC
(8,3),-0.518594 # DEPENDENCYPART_ARC
(8,4),-0.0212374 # DEPENDENCYPART_ARC
(8,5),-0.895702 # DEPENDENCYPART_ARC
(8,6),-0.368266 # DEPENDENCYPART_ARC
(8,7),1.20219 # DEPENDENCYPART_ARC
(8,9),1.11935 # DEPENDENCYPART_ARC
(8,10),-0.545842 # DEPENDENCYPART_ARC
(8,11),-0.489975 # DEPENDENCYPART_ARC
(8,12),-0.789327 # DEPENDENCYPART_ARC
(8,13),-0.981933 # DEPENDENCYPART_ARC
(8,14),-1.35078 # DEPENDENCYPART_ARC
(8,16),-0.527342 # DEPENDENCYPART_ARC
(8,17),-1.10269 # DEPENDENCYPART_ARC
(8,20),-0.700552 # DEPENDENCYPART_ARC
(8,24),0.883059 # DEPENDENCYPART_ARC
(9,6),-2.1824 # DEPENDENCYPART_ARC
