# _root_ Great Northern surged 20 1\/8 to 62 7\/8 , well above Georgia-Pacific 's offering price of $ 58 a share , amid speculation that other suitors for the company would surface or that the bid would be raised .
#goldHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,32,30,23,36,35,36,32,36,37,3,
#predictedHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,23,30,31,36,35,36,32,36,37,3,
(0,1),-1.80266 # DEPENDENCYPART_ARC
(0,2),-2.52762 # DEPENDENCYPART_ARC
(0,3),-1.66133 # DEPENDENCYPART_ARC
(1,2),-0.587617 # DEPENDENCYPART_ARC
(1,3),-0.937697 # DEPENDENCYPART_ARC
(1,4),-1.84145 # DEPENDENCYPART_ARC
(1,5),-1.98365 # DEPENDENCYPART_ARC
(1,8),-2.15945 # DEPENDENCYPART_ARC
(1,39),-2.49202 # DEPENDENCYPART_ARC
(2,1),1.61756 # DEPENDENCYPART_ARC
(2,3),-0.451292 # DEPENDENCYPART_ARC
(2,4),-1.44275 # DEPENDENCYPART_ARC
(2,5),-1.88559 # DEPENDENCYPART_ARC
(2,7),-2.18377 # DEPENDENCYPART_ARC
(2,8),-2.11683 # DEPENDENCYPART_ARC
(2,9),-2.01124 # DEPENDENCYPART_ARC
(2,21),-2.32357 # DEPENDENCYPART_ARC
(2,39),-2.46978 # DEPENDENCYPART_ARC
(3,1),-0.310561 # DEPENDENCYPART_ARC
(3,2),0.97714 # DEPENDENCYPART_ARC
(3,4),0.15071 # DEPENDENCYPART_ARC
(3,5),-0.38509 # DEPENDENCYPART_ARC
(3,6),-0.52399 # DEPENDENCYPART_ARC
(3,7),-1.40166 # DEPENDENCYPART_ARC
(3,8),-1.32721 # DEPENDENCYPART_ARC
(3,9),-0.513045 # DEPENDENCYPART_ARC
(3,10),-1.33373 # DEPENDENCYPART_ARC
(3,11),-1.44975 # DEPENDENCYPART_ARC
(3,14),-2.02595 # DEPENDENCYPART_ARC
(3,15),-1.82532 # DEPENDENCYPART_ARC
(3,16),-2.11193 # DEPENDENCYPART_ARC
(3,21),-1.00601 # DEPENDENCYPART_ARC
(3,22),-1.21536 # DEPENDENCYPART_ARC
(3,24),-2.09764 # DEPENDENCYPART_ARC
(3,27),-0.951348 # DEPENDENCYPART_ARC
(3,30),-1.47611 # DEPENDENCYPART_ARC
(3,32),-1.65881 # DEPENDENCYPART_ARC
(3,39),0.0985446 # DEPENDENCYPART_ARC
(4,1),-1.71524 # DEPENDENCYPART_ARC
(4,2),-1.6775 # DEPENDENCYPART_ARC
(4,5),-0.790005 # DEPENDENCYPART_ARC
(4,7),-1.83345 # DEPENDENCYPART_ARC
(4,8),-2.08302 # DEPENDENCYPART_ARC
(4,9),-1.53 # DEPENDENCYPART_ARC
(5,2),-0.941575 # DEPENDENCYPART_ARC
(5,4),1.1502 # DEPENDENCYPART_ARC
(5,6),-0.132423 # DEPENDENCYPART_ARC
(5,7),-1.23269 # DEPENDENCYPART_ARC
(5,8),-1.61643 # DEPENDENCYPART_ARC
(5,9),-1.23641 # DEPENDENCYPART_ARC
(6,4),-1.3802 # DEPENDENCYPART_ARC
(6,5),-0.317526 # DEPENDENCYPART_ARC
(6,7),-0.248889 # DEPENDENCYPART_ARC
(6,8),-0.716275 # DEPENDENCYPART_ARC
