# _root_ Aaron Ment , Connecticut 's chief court administrator , declined to comment on the suit and the EEOC 's intervention .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
(0,2),-2.59059 # DEPENDENCYPART_ARC
(0,8),-3.54441 # DEPENDENCYPART_ARC
(0,10),-1.05275 # DEPENDENCYPART_ARC
(0,12),-2.45155 # DEPENDENCYPART_ARC
(0,16),-2.46562 # DEPENDENCYPART_ARC
(1,2),-0.802178 # DEPENDENCYPART_ARC
(1,3),-1.75821 # DEPENDENCYPART_ARC
(1,4),-1.99523 # DEPENDENCYPART_ARC
(1,5),-2.33111 # DEPENDENCYPART_ARC
(1,8),-2.50519 # DEPENDENCYPART_ARC
(1,9),-2.13222 # DEPENDENCYPART_ARC
(1,10),-2.06359 # DEPENDENCYPART_ARC
(2,1),1.49589 # DEPENDENCYPART_ARC
(2,3),0.258306 # DEPENDENCYPART_ARC
(2,4),-1.3821 # DEPENDENCYPART_ARC
(2,5),-1.5645 # DEPENDENCYPART_ARC
(2,6),-1.99155 # DEPENDENCYPART_ARC
(2,7),-1.96818 # DEPENDENCYPART_ARC
(2,8),-1.90359 # DEPENDENCYPART_ARC
(2,9),-1.09636 # DEPENDENCYPART_ARC
(2,10),-2.13493 # DEPENDENCYPART_ARC
(2,12),-2.31108 # DEPENDENCYPART_ARC
(2,13),-1.99204 # DEPENDENCYPART_ARC
(2,15),-2.23234 # DEPENDENCYPART_ARC
(2,16),-1.17578 # DEPENDENCYPART_ARC
(2,20),-2.05899 # DEPENDENCYPART_ARC
(2,21),-2.09866 # DEPENDENCYPART_ARC
(4,1),-1.04318 # DEPENDENCYPART_ARC
(4,2),-0.940644 # DEPENDENCYPART_ARC
(4,3),-0.343595 # DEPENDENCYPART_ARC
(4,5),0.963011 # DEPENDENCYPART_ARC
(4,6),-0.972851 # DEPENDENCYPART_ARC
(4,7),-1.25087 # DEPENDENCYPART_ARC
(4,8),-1.48981 # DEPENDENCYPART_ARC
(4,9),-1.57219 # DEPENDENCYPART_ARC
(4,10),-1.78229 # DEPENDENCYPART_ARC
(4,13),-1.63338 # DEPENDENCYPART_ARC
(5,21),-1.11171 # DEPENDENCYPART_ARC
(6,2),-1.49347 # DEPENDENCYPART_ARC
(6,3),-1.41566 # DEPENDENCYPART_ARC
(6,4),-0.931627 # DEPENDENCYPART_ARC
(6,5),-0.220704 # DEPENDENCYPART_ARC
(6,7),-0.524495 # DEPENDENCYPART_ARC
(6,8),-1.46549 # DEPENDENCYPART_ARC
(6,9),-1.39943 # DEPENDENCYPART_ARC
(7,1),-2.84661 # DEPENDENCYPART_ARC
(7,2),-2.52326 # DEPENDENCYPART_ARC
(7,3),-2.46546 # DEPENDENCYPART_ARC
(7,4),-1.20121 # DEPENDENCYPART_ARC
(7,5),-1.66765 # DEPENDENCYPART_ARC
(7,6),0.10021 # DEPENDENCYPART_ARC
(7,8),-0.822375 # DEPENDENCYPART_ARC
(7,9),-1.92935 # DEPENDENCYPART_ARC
(7,10),-2.04433 # DEPENDENCYPART_ARC
(8,1),-1.13321 # DEPENDENCYPART_ARC
