# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(0,3),-4.25872 # DEPENDENCYPART_ARC
(0,4),-4.82843 # DEPENDENCYPART_ARC
(0,11),0.00632466 # DEPENDENCYPART_ARC
(1,2),-1.81589 # DEPENDENCYPART_ARC
(1,3),-2.32845 # DEPENDENCYPART_ARC
(1,5),-1.40091 # DEPENDENCYPART_ARC
(1,9),-2.85478 # DEPENDENCYPART_ARC
(1,10),-1.81021 # DEPENDENCYPART_ARC
(2,1),-0.852203 # DEPENDENCYPART_ARC
(2,3),-1.53808 # DEPENDENCYPART_ARC
(2,4),-1.82017 # DEPENDENCYPART_ARC
(2,5),-1.04072 # DEPENDENCYPART_ARC
(2,9),-2.50029 # DEPENDENCYPART_ARC
(2,10),-1.6128 # DEPENDENCYPART_ARC
(3,1),-0.452785 # DEPENDENCYPART_ARC
(3,2),-0.0929683 # DEPENDENCYPART_ARC
(3,4),-0.568958 # DEPENDENCYPART_ARC
(3,5),-0.973029 # DEPENDENCYPART_ARC
(3,7),-2.52291 # DEPENDENCYPART_ARC
(3,8),-2.52937 # DEPENDENCYPART_ARC
(3,9),-2.11261 # DEPENDENCYPART_ARC
(3,10),-1.29896 # DEPENDENCYPART_ARC
(3,20),-2.58094 # DEPENDENCYPART_ARC
(4,1),0.153087 # DEPENDENCYPART_ARC
(4,2),0.617574 # DEPENDENCYPART_ARC
(4,3),1.25594 # DEPENDENCYPART_ARC
(4,5),-0.0626119 # DEPENDENCYPART_ARC
(4,6),-1.92371 # DEPENDENCYPART_ARC
(4,7),-1.7609 # DEPENDENCYPART_ARC
(4,8),-1.87157 # DEPENDENCYPART_ARC
(4,9),-1.15754 # DEPENDENCYPART_ARC
(4,10),-0.161519 # DEPENDENCYPART_ARC
(4,11),-2.42971 # DEPENDENCYPART_ARC
(4,12),-3.34416 # DEPENDENCYPART_ARC
(4,13),-2.32906 # DEPENDENCYPART_ARC
(4,14),-3.67969 # DEPENDENCYPART_ARC
(4,15),-2.92094 # DEPENDENCYPART_ARC
