# _root_ Company officials said the new company , Sin Kean Boon-Sanwa ( J.V . ) is capitalized at the equivalent of 54 million yen ( $ 381,000 ) .
#goldHeads=2,3,0,6,6,15,6,10,10,6,12,10,12,12,3,15,16,19,17,19,22,23,20,26,26,23,26,3,
#predictedHeads=2,3,0,6,6,15,15,10,10,15,12,10,12,12,3,15,16,19,17,19,22,23,20,26,26,23,26,3,
(0,2),-2.57459 # DEPENDENCYPART_ARC
(0,3),-1.33016 # DEPENDENCYPART_ARC
(0,15),-3.31907 # DEPENDENCYPART_ARC
(0,16),-3.37841 # DEPENDENCYPART_ARC
(1,2),-0.659708 # DEPENDENCYPART_ARC
(1,3),-0.937211 # DEPENDENCYPART_ARC
(1,6),-1.83401 # DEPENDENCYPART_ARC
(1,7),-1.69537 # DEPENDENCYPART_ARC
(1,10),-2.48539 # DEPENDENCYPART_ARC
(1,12),-2.54867 # DEPENDENCYPART_ARC
(1,13),-2.24269 # DEPENDENCYPART_ARC
(1,14),-2.39977 # DEPENDENCYPART_ARC
(1,15),-2.36253 # DEPENDENCYPART_ARC
(2,1),1.99731 # DEPENDENCYPART_ARC
(2,3),-0.295146 # DEPENDENCYPART_ARC
(2,6),-1.30309 # DEPENDENCYPART_ARC
(2,7),-1.50058 # DEPENDENCYPART_ARC
(2,9),-1.81282 # DEPENDENCYPART_ARC
(2,10),-2.05708 # DEPENDENCYPART_ARC
(2,13),-1.87743 # DEPENDENCYPART_ARC
(2,14),-2.09049 # DEPENDENCYPART_ARC
(2,15),-2.31029 # DEPENDENCYPART_ARC
(2,16),-2.24234 # DEPENDENCYPART_ARC
(3,1),-0.376322 # DEPENDENCYPART_ARC
(3,2),0.688283 # DEPENDENCYPART_ARC
(3,4),0.138216 # DEPENDENCYPART_ARC
(3,5),-0.611859 # DEPENDENCYPART_ARC
(3,6),-0.453178 # DEPENDENCYPART_ARC
(3,7),-0.993434 # DEPENDENCYPART_ARC
(3,8),-1.65289 # DEPENDENCYPART_ARC
(3,9),-1.70333 # DEPENDENCYPART_ARC
(3,10),-1.63957 # DEPENDENCYPART_ARC
(3,12),-1.72017 # DEPENDENCYPART_ARC
(3,13),0.0359808 # DEPENDENCYPART_ARC
(3,14),-1.65057 # DEPENDENCYPART_ARC
(3,15),-0.778023 # DEPENDENCYPART_ARC
(3,16),-1.09456 # DEPENDENCYPART_ARC
(3,17),-2.04064 # DEPENDENCYPART_ARC
(3,27),-2.0624 # DEPENDENCYPART_ARC
(3,28),0.407608 # DEPENDENCYPART_ARC
(4,5),-0.323335 # DEPENDENCYPART_ARC
(4,7),-0.9977 # DEPENDENCYPART_ARC
(5,2),-1.39836 # DEPENDENCYPART_ARC
(5,4),-0.133117 # DEPENDENCYPART_ARC
(5,6),-0.591172 # DEPENDENCYPART_ARC
(5,10),-2.16242 # DEPENDENCYPART_ARC
(6,1),-0.972466 # DEPENDENCYPART_ARC
(6,2),-1.17894 # DEPENDENCYPART_ARC
(6,3),-0.878437 # DEPENDENCYPART_ARC
(6,4),0.450566 # DEPENDENCYPART_ARC
(6,5),1.58328 # DEPENDENCYPART_ARC
(6,7),0.248094 # DEPENDENCYPART_ARC
(6,8),-1.19082 # DEPENDENCYPART_ARC
(6,9),-1.5684 # DEPENDENCYPART_ARC
(6,10),-1.82779 # DEPENDENCYPART_ARC
(6,12),-2.0152 # DEPENDENCYPART_ARC
(6,13),-1.66119 # DEPENDENCYPART_ARC
(6,14),-1.82459 # DEPENDENCYPART_ARC
(6,15),-1.82645 # DEPENDENCYPART_ARC
(6,16),-2.16596 # DEPENDENCYPART_ARC
(6,17),-2.10832 # DEPENDENCYPART_ARC
(6,19),-1.93209 # DEPENDENCYPART_ARC
(6,23),-2.08501 # DEPENDENCYPART_ARC
(6,28),-2.22165 # DEPENDENCYPART_ARC
(8,4),-2.26996 # DEPENDENCYPART_ARC
(8,6),-2.20517 # DEPENDENCYPART_ARC
(8,7),-1.0652 # DEPENDENCYPART_ARC
(8,9),-0.485992 # DEPENDENCYPART_ARC
(8,10),-1.51104 # DEPENDENCYPART_ARC
(8,12),-1.93004 # DEPENDENCYPART_ARC
(8,13),-1.23549 # DEPENDENCYPART_ARC
(8,14),-1.47508 # DEPENDENCYPART_ARC
(8,15),-1.16046 # DEPENDENCYPART_ARC
(8,16),-1.51413 # DEPENDENCYPART_ARC
(8,17),-1.35493 # DEPENDENCYPART_ARC
(9,4),-2.34188 # DEPENDENCYPART_ARC
(9,5),-2.74625 # DEPENDENCYPART_ARC
(9,6),-2.74612 # DEPENDENCYPART_ARC
(9,8),-0.00535162 # DEPENDENCYPART_ARC
(9,10),-0.631946 # DEPENDENCYPART_ARC
(9,11),-1.40572 # DEPENDENCYPART_ARC
