# _root_ `` Psyllium 's not a good crop , '' complains Sooraji Jath , a 26-year-old farmer from the village of Lakshmipura . ``
#goldHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
#predictedHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
(0,2),-2.3434 # DEPENDENCYPART_ARC
(0,3),-1.98935 # DEPENDENCYPART_ARC
(0,4),-2.63196 # DEPENDENCYPART_ARC
(0,7),-3.01135 # DEPENDENCYPART_ARC
(0,10),-2.44867 # DEPENDENCYPART_ARC
(2,1),0.428119 # DEPENDENCYPART_ARC
(2,3),0.0392604 # DEPENDENCYPART_ARC
(2,4),-1.01023 # DEPENDENCYPART_ARC
(2,7),-1.27308 # DEPENDENCYPART_ARC
(2,8),-1.31762 # DEPENDENCYPART_ARC
(2,9),-1.41091 # DEPENDENCYPART_ARC
(2,10),-2.29065 # DEPENDENCYPART_ARC
(2,12),-1.71807 # DEPENDENCYPART_ARC
(2,13),-1.55108 # DEPENDENCYPART_ARC
(2,16),-1.71762 # DEPENDENCYPART_ARC
(2,22),-1.9715 # DEPENDENCYPART_ARC
(3,1),-0.518411 # DEPENDENCYPART_ARC
(3,2),0.455402 # DEPENDENCYPART_ARC
(3,4),0.829035 # DEPENDENCYPART_ARC
(3,5),-0.445848 # DEPENDENCYPART_ARC
(3,6),-0.560753 # DEPENDENCYPART_ARC
(3,7),-0.163075 # DEPENDENCYPART_ARC
(3,8),-0.935555 # DEPENDENCYPART_ARC
(3,9),-0.82942 # DEPENDENCYPART_ARC
(3,10),-1.5068 # DEPENDENCYPART_ARC
(3,13),-1.89856 # DEPENDENCYPART_ARC
(3,16),-1.31164 # DEPENDENCYPART_ARC
(3,17),-1.23901 # DEPENDENCYPART_ARC
(3,22),-0.833217 # DEPENDENCYPART_ARC
(3,23),-0.787114 # DEPENDENCYPART_ARC
(4,2),-1.20166 # DEPENDENCYPART_ARC
(4,3),-0.143851 # DEPENDENCYPART_ARC
(4,5),-0.025406 # DEPENDENCYPART_ARC
(4,6),-0.868499 # DEPENDENCYPART_ARC
(4,7),-1.11431 # DEPENDENCYPART_ARC
(4,8),-1.11951 # DEPENDENCYPART_ARC
(4,10),-1.68077 # DEPENDENCYPART_ARC
