# _root_ In fact , without Wall Street firms trading for their own accounts , the stock-index arbitrage trading opportunities for the big funds may be all the more abundant .
#goldHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,27,27,24,27,23,
#predictedHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,26,28,28,24,23,
(0,1),-1.84663 # DEPENDENCYPART_ARC
(0,2),-2.48201 # DEPENDENCYPART_ARC
(0,7),-3.20299 # DEPENDENCYPART_ARC
(0,8),-2.29458 # DEPENDENCYPART_ARC
(0,23),-3.08616 # DEPENDENCYPART_ARC
(0,24),-3.13279 # DEPENDENCYPART_ARC
(1,2),1.08418 # DEPENDENCYPART_ARC
(1,3),-0.805406 # DEPENDENCYPART_ARC
(1,4),-1.46254 # DEPENDENCYPART_ARC
(1,7),-2.82597 # DEPENDENCYPART_ARC
(1,8),-1.50166 # DEPENDENCYPART_ARC
(2,1),-0.575541 # DEPENDENCYPART_ARC
(2,3),-0.424358 # DEPENDENCYPART_ARC
(2,4),-1.86932 # DEPENDENCYPART_ARC
(2,6),-2.00005 # DEPENDENCYPART_ARC
(2,7),-2.18254 # DEPENDENCYPART_ARC
(2,8),-1.9393 # DEPENDENCYPART_ARC
(2,9),-2.4901 # DEPENDENCYPART_ARC
(2,12),-2.24459 # DEPENDENCYPART_ARC
(2,13),-2.11392 # DEPENDENCYPART_ARC
(2,29),-2.64804 # DEPENDENCYPART_ARC
(3,1),-1.32345 # DEPENDENCYPART_ARC
(3,4),-0.891881 # DEPENDENCYPART_ARC
(4,1),-1.66404 # DEPENDENCYPART_ARC
(4,2),-1.92906 # DEPENDENCYPART_ARC
(4,3),-0.140739 # DEPENDENCYPART_ARC
(4,5),-0.19276 # DEPENDENCYPART_ARC
(4,6),-0.989776 # DEPENDENCYPART_ARC
(4,7),-1.62929 # DEPENDENCYPART_ARC
(4,8),-1.1379 # DEPENDENCYPART_ARC
(4,9),-1.72637 # DEPENDENCYPART_ARC
(4,12),-2.7847 # DEPENDENCYPART_ARC
(5,3),-2.81219 # DEPENDENCYPART_ARC
(5,4),-1.57723 # DEPENDENCYPART_ARC
(5,6),-0.532421 # DEPENDENCYPART_ARC
(5,8),-0.975157 # DEPENDENCYPART_ARC
(5,9),-1.58763 # DEPENDENCYPART_ARC
(6,3),-2.7479 # DEPENDENCYPART_ARC
(6,4),-2.12575 # DEPENDENCYPART_ARC
(6,5),0.124893 # DEPENDENCYPART_ARC
(6,7),-0.777946 # DEPENDENCYPART_ARC
(6,8),-1.18459 # DEPENDENCYPART_ARC
(6,9),-1.85074 # DEPENDENCYPART_ARC
(7,1),-2.13451 # DEPENDENCYPART_ARC
(7,2),-1.55893 # DEPENDENCYPART_ARC
(7,3),-1.44695 # DEPENDENCYPART_ARC
(7,4),-1.1284 # DEPENDENCYPART_ARC
(7,5),0.922819 # DEPENDENCYPART_ARC
(7,6),1.7842 # DEPENDENCYPART_ARC
(7,8),-0.0883656 # DEPENDENCYPART_ARC
(7,9),-1.13918 # DEPENDENCYPART_ARC
(7,11),-1.53717 # DEPENDENCYPART_ARC
(7,12),-1.63254 # DEPENDENCYPART_ARC
(7,13),-1.68312 # DEPENDENCYPART_ARC
(7,17),-1.88197 # DEPENDENCYPART_ARC
(7,18),-1.90739 # DEPENDENCYPART_ARC
(7,22),-2.18238 # DEPENDENCYPART_ARC
(7,23),-2.23738 # DEPENDENCYPART_ARC
(7,26),-2.19405 # DEPENDENCYPART_ARC
(7,29),-2.54121 # DEPENDENCYPART_ARC
(8,1),-2.03605 # DEPENDENCYPART_ARC
(8,2),-2.78836 # DEPENDENCYPART_ARC
(8,4),-1.29093 # DEPENDENCYPART_ARC
(8,6),-1.50622 # DEPENDENCYPART_ARC
(8,7),-0.32104 # DEPENDENCYPART_ARC
(8,9),0.421464 # DEPENDENCYPART_ARC
(8,11),-1.47968 # DEPENDENCYPART_ARC
(8,12),-1.19967 # DEPENDENCYPART_ARC
(8,13),-1.64749 # DEPENDENCYPART_ARC
(8,18),-2.42875 # DEPENDENCYPART_ARC
(8,19),-2.04714 # DEPENDENCYPART_ARC
(8,24),-2.45538 # DEPENDENCYPART_ARC
(8,29),-1.82695 # DEPENDENCYPART_ARC
(9,1),-1.66055 # DEPENDENCYPART_ARC
(9,4),-1.29539 # DEPENDENCYPART_ARC
(9,7),-1.46815 # DEPENDENCYPART_ARC
(9,8),-0.387146 # DEPENDENCYPART_ARC
(9,10),-0.207055 # DEPENDENCYPART_ARC
(9,11),-0.968153 # DEPENDENCYPART_ARC
(9,12),-0.751982 # DEPENDENCYPART_ARC
(9,13),-1.44294 # DEPENDENCYPART_ARC
(9,16),-2.86569 # DEPENDENCYPART_ARC
(9,17),-2.99301 # DEPENDENCYPART_ARC
(9,18),-3.0683 # DEPENDENCYPART_ARC
(9,19),-1.46129 # DEPENDENCYPART_ARC
(9,23),-2.30996 # DEPENDENCYPART_ARC
(11,7),-1.46436 # DEPENDENCYPART_ARC
(11,10),0.0409732 # DEPENDENCYPART_ARC
(11,12),-0.836297 # DEPENDENCYPART_ARC
(12,1),-2.17358 # DEPENDENCYPART_ARC
(12,3),-1.67968 # DEPENDENCYPART_ARC
(12,4),-1.61098 # DEPENDENCYPART_ARC
(12,5),-1.29778 # DEPENDENCYPART_ARC
(12,6),-1.36917 # DEPENDENCYPART_ARC
(12,7),-1.25109 # DEPENDENCYPART_ARC
(12,8),-1.22431 # DEPENDENCYPART_ARC
(12,9),-1.10443 # DEPENDENCYPART_ARC
(12,10),0.0635428 # DEPENDENCYPART_ARC
(12,11),1.49935 # DEPENDENCYPART_ARC
(12,13),-0.237103 # DEPENDENCYPART_ARC
(12,14),-1.88289 # DEPENDENCYPART_ARC
(12,15),-1.6506 # DEPENDENCYPART_ARC
(12,16),-1.70178 # DEPENDENCYPART_ARC
(12,17),-1.87085 # DEPENDENCYPART_ARC
(12,18),-1.99589 # DEPENDENCYPART_ARC
(12,19),-2.03037 # DEPENDENCYPART_ARC
(12,21),-2.01699 # DEPENDENCYPART_ARC
(12,22),-2.17065 # DEPENDENCYPART_ARC
(12,23),-2.1819 # DEPENDENCYPART_ARC
(12,24),-2.4824 # DEPENDENCYPART_ARC
(12,26),-2.22541 # DEPENDENCYPART_ARC
(12,29),-2.47984 # DEPENDENCYPART_ARC
(14,13),-0.236211 # DEPENDENCYPART_ARC
(14,15),-0.527005 # DEPENDENCYPART_ARC
(14,16),-1.43254 # DEPENDENCYPART_ARC
(15,14),-0.152879 # DEPENDENCYPART_ARC
(15,16),-0.609798 # DEPENDENCYPART_ARC
(15,17),-1.53187 # DEPENDENCYPART_ARC
(15,19),-1.37439 # DEPENDENCYPART_ARC
(15,22),-2.10751 # DEPENDENCYPART_ARC
(15,23),-1.43265 # DEPENDENCYPART_ARC
