# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,7,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(0,3),-2.49573 # DEPENDENCYPART_ARC
(0,16),2.08533 # DEPENDENCYPART_ARC
(1,2),-2.45345 # DEPENDENCYPART_ARC
(1,3),-2.56354 # DEPENDENCYPART_ARC
(1,6),-3.41337 # DEPENDENCYPART_ARC
(2,1),-1.52639 # DEPENDENCYPART_ARC
(2,5),-1.90952 # DEPENDENCYPART_ARC
(2,6),-1.93461 # DEPENDENCYPART_ARC
(3,1),-0.43955 # DEPENDENCYPART_ARC
(3,2),1.78486 # DEPENDENCYPART_ARC
(3,4),-0.109039 # DEPENDENCYPART_ARC
(3,5),0.803978 # DEPENDENCYPART_ARC
(3,6),-0.145081 # DEPENDENCYPART_ARC
(3,7),-0.830622 # DEPENDENCYPART_ARC
(3,8),-1.4218 # DEPENDENCYPART_ARC
(3,9),-0.97844 # DEPENDENCYPART_ARC
(3,10),-0.985421 # DEPENDENCYPART_ARC
(3,11),0.0240378 # DEPENDENCYPART_ARC
(3,12),-1.83813 # DEPENDENCYPART_ARC
(3,13),-1.16359 # DEPENDENCYPART_ARC
(3,14),-0.728875 # DEPENDENCYPART_ARC
(3,15),-0.817547 # DEPENDENCYPART_ARC
(3,16),-1.65284 # DEPENDENCYPART_ARC
(3,18),-2.22178 # DEPENDENCYPART_ARC
(3,19),-1.37203 # DEPENDENCYPART_ARC
(3,22),-2.07065 # DEPENDENCYPART_ARC
(3,23),-1.04566 # DEPENDENCYPART_ARC
(3,28),-2.51899 # DEPENDENCYPART_ARC
(3,29),-1.30381 # DEPENDENCYPART_ARC
(3,32),-1.95546 # DEPENDENCYPART_ARC
(3,35),-0.120279 # DEPENDENCYPART_ARC
(4,5),-0.922299 # DEPENDENCYPART_ARC
(4,6),-1.26593 # DEPENDENCYPART_ARC
(4,10),-2.12156 # DEPENDENCYPART_ARC
(4,11),-1.70489 # DEPENDENCYPART_ARC
(5,1),-1.79988 # DEPENDENCYPART_ARC
(5,2),-2.05342 # DEPENDENCYPART_ARC
(5,3),-1.35384 # DEPENDENCYPART_ARC
(5,4),1.33939 # DEPENDENCYPART_ARC
(5,6),0.59885 # DEPENDENCYPART_ARC
