# _root_ The marriage of news and theater , if not exactly inevitable , has been consummated nonetheless .
#goldHeads=2,13,2,5,3,5,13,11,11,11,13,13,0,13,14,15,13,
#predictedHeads=2,13,2,5,3,5,2,11,11,11,2,2,0,13,14,15,13,
(0,2),-2.11696 # DEPENDENCYPART_ARC
(0,5),-2.87669 # DEPENDENCYPART_ARC
(0,13),-1.34222 # DEPENDENCYPART_ARC
(0,14),-2.13188 # DEPENDENCYPART_ARC
(0,15),-2.43001 # DEPENDENCYPART_ARC
(1,3),-1.27385 # DEPENDENCYPART_ARC
(2,1),0.988197 # DEPENDENCYPART_ARC
(2,3),0.720186 # DEPENDENCYPART_ARC
(2,4),-0.757272 # DEPENDENCYPART_ARC
(2,5),-0.572898 # DEPENDENCYPART_ARC
(2,6),-1.11326 # DEPENDENCYPART_ARC
(2,7),-1.29329 # DEPENDENCYPART_ARC
(2,8),-1.64663 # DEPENDENCYPART_ARC
(2,9),-1.37444 # DEPENDENCYPART_ARC
(2,10),-1.37212 # DEPENDENCYPART_ARC
(2,11),-1.41402 # DEPENDENCYPART_ARC
(2,12),-1.50489 # DEPENDENCYPART_ARC
(2,13),-1.34296 # DEPENDENCYPART_ARC
(2,14),-1.64971 # DEPENDENCYPART_ARC
(2,15),-1.69779 # DEPENDENCYPART_ARC
(2,16),-1.2307 # DEPENDENCYPART_ARC
(2,17),-1.69681 # DEPENDENCYPART_ARC
(3,1),-1.33907 # DEPENDENCYPART_ARC
(3,4),0.822117 # DEPENDENCYPART_ARC
(3,5),-0.876439 # DEPENDENCYPART_ARC
(3,6),-0.997407 # DEPENDENCYPART_ARC
(3,7),-1.20208 # DEPENDENCYPART_ARC
(3,9),-1.60351 # DEPENDENCYPART_ARC
(3,10),-1.742 # DEPENDENCYPART_ARC
(3,16),-1.47663 # DEPENDENCYPART_ARC
(3,17),-1.46847 # DEPENDENCYPART_ARC
(4,1),-1.83127 # DEPENDENCYPART_ARC
(4,2),-1.35395 # DEPENDENCYPART_ARC
(4,3),-0.514788 # DEPENDENCYPART_ARC
(4,6),-1.26595 # DEPENDENCYPART_ARC
(5,1),-0.775455 # DEPENDENCYPART_ARC
(5,2),-0.376537 # DEPENDENCYPART_ARC
(5,3),-0.60579 # DEPENDENCYPART_ARC
(5,4),2.36553 # DEPENDENCYPART_ARC
(5,6),1.79548 # DEPENDENCYPART_ARC
(5,7),-0.596975 # DEPENDENCYPART_ARC
(5,8),-1.52256 # DEPENDENCYPART_ARC
(5,9),-1.54565 # DEPENDENCYPART_ARC
(5,10),-1.5415 # DEPENDENCYPART_ARC
(5,11),-1.66944 # DEPENDENCYPART_ARC
(5,12),-1.34632 # DEPENDENCYPART_ARC
(5,13),-1.7952 # DEPENDENCYPART_ARC
(5,14),-2.11914 # DEPENDENCYPART_ARC
(5,15),-2.12995 # DEPENDENCYPART_ARC
(5,17),-1.20182 # DEPENDENCYPART_ARC
(6,1),-2.03695 # DEPENDENCYPART_ARC
(6,4),-1.04637 # DEPENDENCYPART_ARC
(6,5),-0.349326 # DEPENDENCYPART_ARC
(6,7),-0.397119 # DEPENDENCYPART_ARC
(6,8),-2.09986 # DEPENDENCYPART_ARC
(6,9),-2.04608 # DEPENDENCYPART_ARC
(6,10),-2.08084 # DEPENDENCYPART_ARC
(6,11),-2.14942 # DEPENDENCYPART_ARC
(6,12),-1.74248 # DEPENDENCYPART_ARC
(6,13),-2.31253 # DEPENDENCYPART_ARC
(6,14),-2.55129 # DEPENDENCYPART_ARC
(6,16),-2.03162 # DEPENDENCYPART_ARC
(6,17),-2.47813 # DEPENDENCYPART_ARC
(8,3),-1.72777 # DEPENDENCYPART_ARC
(8,5),-1.43675 # DEPENDENCYPART_ARC
(8,6),-1.64601 # DEPENDENCYPART_ARC
(8,7),0.0126124 # DEPENDENCYPART_ARC
(8,9),-0.269203 # DEPENDENCYPART_ARC
(8,10),-1.09269 # DEPENDENCYPART_ARC
(8,11),-1.3053 # DEPENDENCYPART_ARC
(8,12),-1.26689 # DEPENDENCYPART_ARC
(8,13),-1.85507 # DEPENDENCYPART_ARC
(8,16),-1.95091 # DEPENDENCYPART_ARC
(8,17),-1.63534 # DEPENDENCYPART_ARC
(9,2),-1.73032 # DEPENDENCYPART_ARC
(9,3),-2.03834 # DEPENDENCYPART_ARC
(9,5),-1.81719 # DEPENDENCYPART_ARC
(9,6),-1.68329 # DEPENDENCYPART_ARC
(9,7),-1.01378 # DEPENDENCYPART_ARC
(9,8),-0.109436 # DEPENDENCYPART_ARC
(9,10),0.538303 # DEPENDENCYPART_ARC
(9,11),-0.556359 # DEPENDENCYPART_ARC
(9,12),-0.823897 # DEPENDENCYPART_ARC
(9,13),-1.31413 # DEPENDENCYPART_ARC
(9,16),-1.17567 # DEPENDENCYPART_ARC
(10,2),-1.81967 # DEPENDENCYPART_ARC
(10,3),-2.04553 # DEPENDENCYPART_ARC
(10,7),-1.22033 # DEPENDENCYPART_ARC
(10,8),-1.11546 # DEPENDENCYPART_ARC
(10,9),-0.354544 # DEPENDENCYPART_ARC
(10,11),-0.15531 # DEPENDENCYPART_ARC
(10,12),-1.04294 # DEPENDENCYPART_ARC
(10,13),-1.53898 # DEPENDENCYPART_ARC
(10,16),-1.6633 # DEPENDENCYPART_ARC
(11,2),-1.35313 # DEPENDENCYPART_ARC
(11,4),-1.36029 # DEPENDENCYPART_ARC
(11,5),-1.24301 # DEPENDENCYPART_ARC
(11,6),-1.34171 # DEPENDENCYPART_ARC
(11,7),-1.01255 # DEPENDENCYPART_ARC
(11,8),-0.520224 # DEPENDENCYPART_ARC
