# _root_ The Pentagon 's recently issued `` Soviet Military Power , '' though in general adopting a softer line , repeated the Sverdlovsk assessment .
#goldHeads=2,9,2,5,9,9,9,9,20,20,20,15,15,13,20,18,18,15,20,0,23,23,20,20,
#predictedHeads=2,9,2,5,20,9,9,9,5,9,9,15,15,13,9,18,18,15,20,0,23,23,20,20,
(0,2),-2.19659 # DEPENDENCYPART_ARC
(0,4),-2.52546 # DEPENDENCYPART_ARC
(0,5),-2.11311 # DEPENDENCYPART_ARC
(0,9),-2.83616 # DEPENDENCYPART_ARC
(0,15),-2.60138 # DEPENDENCYPART_ARC
(0,20),-2.09344 # DEPENDENCYPART_ARC
(1,5),-1.54779 # DEPENDENCYPART_ARC
(2,1),1.08795 # DEPENDENCYPART_ARC
(2,3),0.813123 # DEPENDENCYPART_ARC
(2,4),-0.914575 # DEPENDENCYPART_ARC
(2,5),-0.834697 # DEPENDENCYPART_ARC
(2,6),-1.37786 # DEPENDENCYPART_ARC
(2,7),-1.45522 # DEPENDENCYPART_ARC
(2,9),-1.5877 # DEPENDENCYPART_ARC
(2,10),-1.93961 # DEPENDENCYPART_ARC
(2,11),-1.36739 # DEPENDENCYPART_ARC
(2,18),-1.95934 # DEPENDENCYPART_ARC
(2,19),-2.25883 # DEPENDENCYPART_ARC
(2,24),-1.93474 # DEPENDENCYPART_ARC
(3,11),-1.38616 # DEPENDENCYPART_ARC
(3,24),-0.695102 # DEPENDENCYPART_ARC
(4,1),-1.74494 # DEPENDENCYPART_ARC
(4,2),-1.61963 # DEPENDENCYPART_ARC
(4,5),-0.215637 # DEPENDENCYPART_ARC
(4,7),-1.32843 # DEPENDENCYPART_ARC
(4,8),-1.43602 # DEPENDENCYPART_ARC
(4,9),-1.66543 # DEPENDENCYPART_ARC
(4,10),-1.57256 # DEPENDENCYPART_ARC
(4,12),-2.19597 # DEPENDENCYPART_ARC
(4,13),-2.22738 # DEPENDENCYPART_ARC
(4,20),-1.73788 # DEPENDENCYPART_ARC
(5,1),-1.89925 # DEPENDENCYPART_ARC
(5,2),-1.40071 # DEPENDENCYPART_ARC
(5,4),-0.0383656 # DEPENDENCYPART_ARC
(5,6),0.0563106 # DEPENDENCYPART_ARC
(5,7),-0.783196 # DEPENDENCYPART_ARC
(5,8),-1.20784 # DEPENDENCYPART_ARC
(5,9),-0.512834 # DEPENDENCYPART_ARC
(5,10),-1.54573 # DEPENDENCYPART_ARC
(5,11),-1.46595 # DEPENDENCYPART_ARC
(5,12),-2.03218 # DEPENDENCYPART_ARC
(5,13),-2.27531 # DEPENDENCYPART_ARC
(5,14),-2.14137 # DEPENDENCYPART_ARC
(5,15),-2.09402 # DEPENDENCYPART_ARC
(5,18),-2.52114 # DEPENDENCYPART_ARC
(5,19),-2.06787 # DEPENDENCYPART_ARC
(5,20),-1.97659 # DEPENDENCYPART_ARC
(5,23),-2.19469 # DEPENDENCYPART_ARC
(5,24),-1.28999 # DEPENDENCYPART_ARC
(6,7),-0.367798 # DEPENDENCYPART_ARC
(7,4),-1.46819 # DEPENDENCYPART_ARC
(7,6),-0.15497 # DEPENDENCYPART_ARC
(7,8),-0.167868 # DEPENDENCYPART_ARC
(7,9),-1.11593 # DEPENDENCYPART_ARC
(7,10),-1.14605 # DEPENDENCYPART_ARC
(7,11),-1.47931 # DEPENDENCYPART_ARC
(7,12),-1.77379 # DEPENDENCYPART_ARC
(7,13),-1.87879 # DEPENDENCYPART_ARC
(7,14),-1.50563 # DEPENDENCYPART_ARC
(7,15),-1.84151 # DEPENDENCYPART_ARC
(7,18),-2.13099 # DEPENDENCYPART_ARC
(7,20),-1.81088 # DEPENDENCYPART_ARC
(7,23),-1.80756 # DEPENDENCYPART_ARC
(7,24),-1.5489 # DEPENDENCYPART_ARC
(8,4),-1.43339 # DEPENDENCYPART_ARC
(8,6),-1.11663 # DEPENDENCYPART_ARC
(8,7),0.0470385 # DEPENDENCYPART_ARC
(8,10),-1.4348 # DEPENDENCYPART_ARC
(8,11),-1.70077 # DEPENDENCYPART_ARC
(8,12),-2.0561 # DEPENDENCYPART_ARC
(8,13),-2.23441 # DEPENDENCYPART_ARC
(8,14),-1.81539 # DEPENDENCYPART_ARC
(9,1),-2.33019 # DEPENDENCYPART_ARC
(9,2),-1.19474 # DEPENDENCYPART_ARC
(9,4),-1.06541 # DEPENDENCYPART_ARC
(9,5),-1.0687 # DEPENDENCYPART_ARC
(9,6),-0.660341 # DEPENDENCYPART_ARC
(9,7),0.403921 # DEPENDENCYPART_ARC
(9,8),1.62442 # DEPENDENCYPART_ARC
(9,10),-0.024361 # DEPENDENCYPART_ARC
(9,11),-1.30728 # DEPENDENCYPART_ARC
(9,12),-1.85133 # DEPENDENCYPART_ARC
(9,13),-2.01455 # DEPENDENCYPART_ARC
(9,14),-2.02283 # DEPENDENCYPART_ARC
(9,15),-2.04151 # DEPENDENCYPART_ARC
(9,18),-1.79432 # DEPENDENCYPART_ARC
(9,19),-1.47748 # DEPENDENCYPART_ARC
(9,20),-2.39509 # DEPENDENCYPART_ARC
(9,23),-1.99027 # DEPENDENCYPART_ARC
(9,24),-2.2751 # DEPENDENCYPART_ARC
(12,9),-1.4707 # DEPENDENCYPART_ARC
(12,10),-0.91509 # DEPENDENCYPART_ARC
(12,11),0.170352 # DEPENDENCYPART_ARC
(12,13),-0.0938147 # DEPENDENCYPART_ARC
(12,14),-0.823253 # DEPENDENCYPART_ARC
(12,15),-0.895002 # DEPENDENCYPART_ARC
(12,17),-1.49934 # DEPENDENCYPART_ARC
