# _root_ A new specialty court was sought by patent experts , who believed that the generalists had botched too many important , multimillion-dollar cases .
#goldHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,19,23,23,23,23,17,5,
#predictedHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,20,20,23,23,23,17,5,
(0,4),-2.45224 # DEPENDENCYPART_ARC
(0,5),-1.87745 # DEPENDENCYPART_ARC
(0,6),-2.18772 # DEPENDENCYPART_ARC
(0,12),-3.40815 # DEPENDENCYPART_ARC
(0,16),-3.19091 # DEPENDENCYPART_ARC
(0,17),-3.43483 # DEPENDENCYPART_ARC
(1,2),-0.531762 # DEPENDENCYPART_ARC
(1,3),-1.22086 # DEPENDENCYPART_ARC
(2,1),-0.0205052 # DEPENDENCYPART_ARC
(2,3),-0.334581 # DEPENDENCYPART_ARC
(2,6),-1.41809 # DEPENDENCYPART_ARC
(2,7),-1.52438 # DEPENDENCYPART_ARC
(3,1),-0.645847 # DEPENDENCYPART_ARC
(3,2),0.197125 # DEPENDENCYPART_ARC
(3,4),-0.638591 # DEPENDENCYPART_ARC
(3,5),-0.860504 # DEPENDENCYPART_ARC
(3,6),-1.42964 # DEPENDENCYPART_ARC
(3,7),-1.51723 # DEPENDENCYPART_ARC
(3,9),-2.04398 # DEPENDENCYPART_ARC
(3,10),-2.22294 # DEPENDENCYPART_ARC
(3,12),-2.27252 # DEPENDENCYPART_ARC
(4,1),-0.204235 # DEPENDENCYPART_ARC
(4,2),0.369878 # DEPENDENCYPART_ARC
(4,3),1.98003 # DEPENDENCYPART_ARC
(4,5),-0.418088 # DEPENDENCYPART_ARC
(4,6),-1.25832 # DEPENDENCYPART_ARC
(4,7),-1.33676 # DEPENDENCYPART_ARC
(4,9),-1.67998 # DEPENDENCYPART_ARC
(4,10),-1.78533 # DEPENDENCYPART_ARC
(4,12),-2.21412 # DEPENDENCYPART_ARC
(5,1),-0.82918 # DEPENDENCYPART_ARC
(5,2),-0.983694 # DEPENDENCYPART_ARC
