# _root_ In composite trading on the New York Stock Exchange , Black & Decker closed at $ 19.75 yesterday , down 25 cents .
#goldHeads=14,3,1,3,9,9,9,9,4,14,12,14,12,0,14,17,15,14,14,14,22,20,14,
#predictedHeads=14,3,1,3,9,9,9,9,4,14,12,14,12,0,14,17,15,14,14,14,22,20,14,
(0,1),-1.60528 # DEPENDENCYPART_ARC
(0,3),-2.66874 # DEPENDENCYPART_ARC
(0,4),-2.72224 # DEPENDENCYPART_ARC
(0,9),-2.96198 # DEPENDENCYPART_ARC
(0,12),-3.11956 # DEPENDENCYPART_ARC
(0,14),-2.26569 # DEPENDENCYPART_ARC
(1,2),0.188386 # DEPENDENCYPART_ARC
(1,3),0.154683 # DEPENDENCYPART_ARC
(1,4),-1.02493 # DEPENDENCYPART_ARC
(1,6),-1.55185 # DEPENDENCYPART_ARC
(1,7),-2.01548 # DEPENDENCYPART_ARC
(1,8),-2.29505 # DEPENDENCYPART_ARC
(1,9),-2.48651 # DEPENDENCYPART_ARC
(1,10),-1.02684 # DEPENDENCYPART_ARC
(1,12),-2.06548 # DEPENDENCYPART_ARC
(2,1),-0.616585 # DEPENDENCYPART_ARC
(2,4),-1.08229 # DEPENDENCYPART_ARC
(3,1),-0.785667 # DEPENDENCYPART_ARC
(3,2),1.59542 # DEPENDENCYPART_ARC
(3,4),0.429702 # DEPENDENCYPART_ARC
(3,5),-1.4025 # DEPENDENCYPART_ARC
(3,6),-1.3004 # DEPENDENCYPART_ARC
(3,7),-1.43828 # DEPENDENCYPART_ARC
(3,8),-1.61887 # DEPENDENCYPART_ARC
(3,9),-1.84968 # DEPENDENCYPART_ARC
(3,10),-1.45305 # DEPENDENCYPART_ARC
(3,12),-1.62869 # DEPENDENCYPART_ARC
(3,14),-2.01311 # DEPENDENCYPART_ARC
(3,19),-1.80502 # DEPENDENCYPART_ARC
(3,20),-1.55951 # DEPENDENCYPART_ARC
(3,23),-2.19396 # DEPENDENCYPART_ARC
(4,1),-1.35258 # DEPENDENCYPART_ARC
(4,2),-1.50329 # DEPENDENCYPART_ARC
(4,3),-0.621432 # DEPENDENCYPART_ARC
(4,5),0.0516411 # DEPENDENCYPART_ARC
(4,6),-0.12151 # DEPENDENCYPART_ARC
(4,7),-0.79481 # DEPENDENCYPART_ARC
(4,8),-1.12605 # DEPENDENCYPART_ARC
(4,9),-0.901252 # DEPENDENCYPART_ARC
(4,10),-1.23329 # DEPENDENCYPART_ARC
(4,11),-2.44603 # DEPENDENCYPART_ARC
(4,12),-1.58429 # DEPENDENCYPART_ARC
(4,13),-2.72037 # DEPENDENCYPART_ARC
(4,14),-1.78786 # DEPENDENCYPART_ARC
(4,22),-3.23084 # DEPENDENCYPART_ARC
(4,23),-0.942949 # DEPENDENCYPART_ARC
(5,4),-0.480219 # DEPENDENCYPART_ARC
(6,4),-2.30283 # DEPENDENCYPART_ARC
(6,5),-0.759145 # DEPENDENCYPART_ARC
(6,7),-0.549565 # DEPENDENCYPART_ARC
(6,8),-1.49076 # DEPENDENCYPART_ARC
(6,14),-1.95912 # DEPENDENCYPART_ARC
(7,5),-1.30627 # DEPENDENCYPART_ARC
(7,6),-0.318695 # DEPENDENCYPART_ARC
(7,8),-0.662266 # DEPENDENCYPART_ARC
(7,9),-1.77902 # DEPENDENCYPART_ARC
(7,10),-1.75023 # DEPENDENCYPART_ARC
(8,5),-1.55507 # DEPENDENCYPART_ARC
(8,6),-0.712422 # DEPENDENCYPART_ARC
(8,7),0.112332 # DEPENDENCYPART_ARC
(8,9),-0.785633 # DEPENDENCYPART_ARC
(8,10),-1.57228 # DEPENDENCYPART_ARC
