# _root_ But then it suddenly burst upward 7.5 as Goldman , Sachs & Co. stepped in and bought almost every share offer , traders said .
#goldHeads=5,5,5,5,24,5,5,5,14,9,9,11,12,8,14,14,16,21,21,21,17,24,24,0,24,
#predictedHeads=5,5,5,5,24,5,6,5,8,9,9,11,12,8,14,14,16,17,21,21,17,24,24,0,24,
(0,5),-1.69064 # DEPENDENCYPART_ARC
(0,14),-2.42448 # DEPENDENCYPART_ARC
(0,24),-0.392708 # DEPENDENCYPART_ARC
(1,2),-1.8103 # DEPENDENCYPART_ARC
(1,3),-2.49313 # DEPENDENCYPART_ARC
(1,4),-3.04143 # DEPENDENCYPART_ARC
(1,5),-1.28028 # DEPENDENCYPART_ARC
(2,1),-1.55191 # DEPENDENCYPART_ARC
(2,3),-0.995765 # DEPENDENCYPART_ARC
(2,4),-1.534 # DEPENDENCYPART_ARC
(2,5),-1.16741 # DEPENDENCYPART_ARC
(2,6),-2.15848 # DEPENDENCYPART_ARC
(2,7),-2.42605 # DEPENDENCYPART_ARC
(2,8),-1.86316 # DEPENDENCYPART_ARC
(2,9),-3.12892 # DEPENDENCYPART_ARC
(2,10),-2.12971 # DEPENDENCYPART_ARC
(2,12),-2.05097 # DEPENDENCYPART_ARC
(3,1),-2.66379 # DEPENDENCYPART_ARC
(3,2),-2.03479 # DEPENDENCYPART_ARC
(3,4),-1.37277 # DEPENDENCYPART_ARC
(3,5),-1.482 # DEPENDENCYPART_ARC
(3,6),-2.14853 # DEPENDENCYPART_ARC
(3,7),-2.67541 # DEPENDENCYPART_ARC
(3,8),-1.9691 # DEPENDENCYPART_ARC
(3,12),-1.92315 # DEPENDENCYPART_ARC
(4,1),-1.99097 # DEPENDENCYPART_ARC
(4,2),-1.89553 # DEPENDENCYPART_ARC
(4,3),-1.70525 # DEPENDENCYPART_ARC
(4,5),-0.673698 # DEPENDENCYPART_ARC
(4,6),-1.51229 # DEPENDENCYPART_ARC
(4,7),-1.93127 # DEPENDENCYPART_ARC
(4,8),-1.59583 # DEPENDENCYPART_ARC
(4,9),-2.70702 # DEPENDENCYPART_ARC
(5,1),-1.13585 # DEPENDENCYPART_ARC
(5,2),-0.770902 # DEPENDENCYPART_ARC
(5,3),0.636612 # DEPENDENCYPART_ARC
(5,4),0.955317 # DEPENDENCYPART_ARC
(5,6),0.450844 # DEPENDENCYPART_ARC
(5,7),-1.07259 # DEPENDENCYPART_ARC
(5,8),0.0531804 # DEPENDENCYPART_ARC
(5,9),-1.16821 # DEPENDENCYPART_ARC
(5,10),-1.32848 # DEPENDENCYPART_ARC
(5,11),-1.95552 # DEPENDENCYPART_ARC
(5,12),-1.32003 # DEPENDENCYPART_ARC
(5,14),-1.58471 # DEPENDENCYPART_ARC
(5,15),-1.43529 # DEPENDENCYPART_ARC
(5,16),-1.23209 # DEPENDENCYPART_ARC
(5,17),-2.45423 # DEPENDENCYPART_ARC
(5,18),-2.0922 # DEPENDENCYPART_ARC
(5,21),-2.04574 # DEPENDENCYPART_ARC
(5,22),-2.23255 # DEPENDENCYPART_ARC
(5,25),-0.0901644 # DEPENDENCYPART_ARC
(6,1),-2.27682 # DEPENDENCYPART_ARC
(6,2),-2.30099 # DEPENDENCYPART_ARC
(6,4),-1.69581 # DEPENDENCYPART_ARC
(6,5),-1.31481 # DEPENDENCYPART_ARC
(6,7),0.0127526 # DEPENDENCYPART_ARC
(6,8),-0.824677 # DEPENDENCYPART_ARC
(6,9),-1.95938 # DEPENDENCYPART_ARC
(6,10),-1.53873 # DEPENDENCYPART_ARC
(6,11),-2.32359 # DEPENDENCYPART_ARC
(6,12),-1.38034 # DEPENDENCYPART_ARC
(6,14),-1.88302 # DEPENDENCYPART_ARC
(6,15),-2.34146 # DEPENDENCYPART_ARC
(6,16),-1.79436 # DEPENDENCYPART_ARC
(7,1),-2.39485 # DEPENDENCYPART_ARC
(7,2),-2.07479 # DEPENDENCYPART_ARC
(7,3),-2.52778 # DEPENDENCYPART_ARC
(7,4),-1.67617 # DEPENDENCYPART_ARC
(7,5),-1.39871 # DEPENDENCYPART_ARC
(7,6),-0.530105 # DEPENDENCYPART_ARC
(7,8),-0.694548 # DEPENDENCYPART_ARC
(7,9),-1.85961 # DEPENDENCYPART_ARC
(7,10),-1.23847 # DEPENDENCYPART_ARC
(7,11),-2.29615 # DEPENDENCYPART_ARC
(7,12),-1.81893 # DEPENDENCYPART_ARC
(7,14),-1.79578 # DEPENDENCYPART_ARC
(8,1),-1.68617 # DEPENDENCYPART_ARC
(8,2),-2.19977 # DEPENDENCYPART_ARC
(8,4),-2.13874 # DEPENDENCYPART_ARC
(8,6),-1.77576 # DEPENDENCYPART_ARC
(8,7),-1.76135 # DEPENDENCYPART_ARC
(8,9),0.482364 # DEPENDENCYPART_ARC
(8,10),-1.51139 # DEPENDENCYPART_ARC
(8,11),-2.31441 # DEPENDENCYPART_ARC
(8,12),-2.03817 # DEPENDENCYPART_ARC
(8,14),-0.0235141 # DEPENDENCYPART_ARC
(8,16),-2.17758 # DEPENDENCYPART_ARC
(8,17),-1.06274 # DEPENDENCYPART_ARC
(9,6),-2.3441 # DEPENDENCYPART_ARC
(9,7),-1.71764 # DEPENDENCYPART_ARC
(9,8),-1.42505 # DEPENDENCYPART_ARC
(9,10),0.546493 # DEPENDENCYPART_ARC
(9,11),-0.479126 # DEPENDENCYPART_ARC
(9,12),-0.688899 # DEPENDENCYPART_ARC
(9,13),-1.93929 # DEPENDENCYPART_ARC
(9,14),-1.40814 # DEPENDENCYPART_ARC
(9,15),-2.06223 # DEPENDENCYPART_ARC
(9,16),-2.44859 # DEPENDENCYPART_ARC
(9,17),-1.83037 # DEPENDENCYPART_ARC
(9,21),-3.37032 # DEPENDENCYPART_ARC
(9,22),-1.15914 # DEPENDENCYPART_ARC
(9,23),-2.92959 # DEPENDENCYPART_ARC
(9,24),-2.77071 # DEPENDENCYPART_ARC
(11,3),-3.76798 # DEPENDENCYPART_ARC
(11,6),-2.35747 # DEPENDENCYPART_ARC
(11,7),-2.09728 # DEPENDENCYPART_ARC
(11,8),-2.00891 # DEPENDENCYPART_ARC
(11,9),-1.16588 # DEPENDENCYPART_ARC
(11,10),-1.06849 # DEPENDENCYPART_ARC
(11,12),2.0157 # DEPENDENCYPART_ARC
(11,13),-0.0103701 # DEPENDENCYPART_ARC
(11,14),-0.988512 # DEPENDENCYPART_ARC
(11,15),-1.44904 # DEPENDENCYPART_ARC
(11,16),-1.57587 # DEPENDENCYPART_ARC
(11,17),-1.53369 # DEPENDENCYPART_ARC
(11,21),-2.8174 # DEPENDENCYPART_ARC
(11,22),-1.45335 # DEPENDENCYPART_ARC
(11,23),-2.65151 # DEPENDENCYPART_ARC
(11,24),-2.54658 # DEPENDENCYPART_ARC
(12,10),-1.97608 # DEPENDENCYPART_ARC
(12,11),-0.95125 # DEPENDENCYPART_ARC
(12,13),2.21712 # DEPENDENCYPART_ARC
(12,14),0.883775 # DEPENDENCYPART_ARC
(12,15),-1.06769 # DEPENDENCYPART_ARC
(12,16),-0.400436 # DEPENDENCYPART_ARC
(12,17),0.0642007 # DEPENDENCYPART_ARC
(12,18),-1.64138 # DEPENDENCYPART_ARC
(12,21),-1.44694 # DEPENDENCYPART_ARC
(12,22),-0.878118 # DEPENDENCYPART_ARC
(12,23),-1.72902 # DEPENDENCYPART_ARC
(12,24),-1.19189 # DEPENDENCYPART_ARC
(13,14),-1.77053 # DEPENDENCYPART_ARC
(14,1),-1.30817 # DEPENDENCYPART_ARC
(14,2),-1.63751 # DEPENDENCYPART_ARC
(14,3),-2.11667 # DEPENDENCYPART_ARC
(14,4),-1.44196 # DEPENDENCYPART_ARC
(14,5),-1.74338 # DEPENDENCYPART_ARC
(14,6),-1.58385 # DEPENDENCYPART_ARC
(14,7),-1.95116 # DEPENDENCYPART_ARC
(14,8),-1.32726 # DEPENDENCYPART_ARC
(14,9),-1.72003 # DEPENDENCYPART_ARC
(14,10),-0.501904 # DEPENDENCYPART_ARC
(14,11),-0.416184 # DEPENDENCYPART_ARC
