# _root_ When the plant was destroyed , `` I think everyone got concerned that the same thing would happen at our plant , '' a KerrMcGee spokeswoman said .
#goldHeads=5,3,4,9,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
#predictedHeads=5,3,4,27,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
(0,1),-1.429 # DEPENDENCYPART_ARC
(0,4),-2.23038 # DEPENDENCYPART_ARC
(0,9),-3.279 # DEPENDENCYPART_ARC
(0,11),-3.11335 # DEPENDENCYPART_ARC
(0,17),-3.03628 # DEPENDENCYPART_ARC
(0,27),-0.539168 # DEPENDENCYPART_ARC
(1,3),-0.752217 # DEPENDENCYPART_ARC
(2,4),-0.999471 # DEPENDENCYPART_ARC
(2,5),-1.37792 # DEPENDENCYPART_ARC
(3,1),-0.996934 # DEPENDENCYPART_ARC
(3,2),1.26642 # DEPENDENCYPART_ARC
(3,4),-0.188211 # DEPENDENCYPART_ARC
(3,5),-1.07427 # DEPENDENCYPART_ARC
(3,6),-1.33537 # DEPENDENCYPART_ARC
(3,7),-1.9204 # DEPENDENCYPART_ARC
(3,11),-2.46768 # DEPENDENCYPART_ARC
(4,1),-0.107625 # DEPENDENCYPART_ARC
(4,2),-0.491083 # DEPENDENCYPART_ARC
(4,3),0.921696 # DEPENDENCYPART_ARC
(4,5),1.38367 # DEPENDENCYPART_ARC
(4,6),-0.728963 # DEPENDENCYPART_ARC
(4,7),-1.44361 # DEPENDENCYPART_ARC
(4,9),-1.81119 # DEPENDENCYPART_ARC
(4,10),-2.32878 # DEPENDENCYPART_ARC
(4,11),-2.02609 # DEPENDENCYPART_ARC
(4,17),-2.12809 # DEPENDENCYPART_ARC
(4,22),-2.27336 # DEPENDENCYPART_ARC
(4,23),-0.195268 # DEPENDENCYPART_ARC
(4,28),-1.3025 # DEPENDENCYPART_ARC
(5,1),-0.727978 # DEPENDENCYPART_ARC
(5,2),-1.69671 # DEPENDENCYPART_ARC
(5,3),-1.22031 # DEPENDENCYPART_ARC
(5,4),-1.03321 # DEPENDENCYPART_ARC
(5,6),0.481974 # DEPENDENCYPART_ARC
(5,7),-0.983046 # DEPENDENCYPART_ARC
(5,9),-1.59178 # DEPENDENCYPART_ARC
(5,10),-2.08853 # DEPENDENCYPART_ARC
(5,11),-1.91758 # DEPENDENCYPART_ARC
(5,12),-1.83748 # DEPENDENCYPART_ARC
(5,17),-2.23358 # DEPENDENCYPART_ARC
(5,18),-2.07473 # DEPENDENCYPART_ARC
(5,22),-1.80051 # DEPENDENCYPART_ARC
(5,27),-2.64831 # DEPENDENCYPART_ARC
(5,28),-1.9895 # DEPENDENCYPART_ARC
(8,9),-0.144907 # DEPENDENCYPART_ARC
(8,11),-1.26204 # DEPENDENCYPART_ARC
(9,1),-1.35479 # DEPENDENCYPART_ARC
(9,3),-2.40325 # DEPENDENCYPART_ARC
