# _root_ Ms. Malcolm , for example , wrote that Mr. Masson described himself as `` the greatest analyst who ever lived . ''
#goldHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
#predictedHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
(0,2),-2.58127 # DEPENDENCYPART_ARC
(0,7),-1.07776 # DEPENDENCYPART_ARC
(0,11),-2.09099 # DEPENDENCYPART_ARC
(0,20),-2.98287 # DEPENDENCYPART_ARC
(1,2),-0.841308 # DEPENDENCYPART_ARC
(1,3),-1.82499 # DEPENDENCYPART_ARC
(1,4),-2.01032 # DEPENDENCYPART_ARC
(1,5),-2.2715 # DEPENDENCYPART_ARC
(1,6),-2.24255 # DEPENDENCYPART_ARC
(1,7),-1.92702 # DEPENDENCYPART_ARC
(1,11),-2.34617 # DEPENDENCYPART_ARC
(1,14),-2.09641 # DEPENDENCYPART_ARC
(1,22),-1.61029 # DEPENDENCYPART_ARC
(2,1),1.60645 # DEPENDENCYPART_ARC
(2,3),-0.164078 # DEPENDENCYPART_ARC
(2,4),-1.86412 # DEPENDENCYPART_ARC
(2,5),-1.82539 # DEPENDENCYPART_ARC
(2,6),-1.27307 # DEPENDENCYPART_ARC
(2,7),-2.05288 # DEPENDENCYPART_ARC
(2,8),-2.2518 # DEPENDENCYPART_ARC
(2,10),-2.40093 # DEPENDENCYPART_ARC
(2,11),-2.5032 # DEPENDENCYPART_ARC
(2,13),-2.25845 # DEPENDENCYPART_ARC
(2,14),-2.19568 # DEPENDENCYPART_ARC
(2,17),-2.29475 # DEPENDENCYPART_ARC
(2,20),-2.63301 # DEPENDENCYPART_ARC
(2,21),-2.36075 # DEPENDENCYPART_ARC
(2,22),-1.58139 # DEPENDENCYPART_ARC
(3,4),-0.886393 # DEPENDENCYPART_ARC
(4,3),0.030319 # DEPENDENCYPART_ARC
(4,5),0.610696 # DEPENDENCYPART_ARC
(4,6),-0.931377 # DEPENDENCYPART_ARC
(4,7),-1.7736 # DEPENDENCYPART_ARC
(4,11),-2.27689 # DEPENDENCYPART_ARC
(5,1),-1.72806 # DEPENDENCYPART_ARC
(5,2),-1.89483 # DEPENDENCYPART_ARC
(5,3),-1.31597 # DEPENDENCYPART_ARC
(5,4),-0.227781 # DEPENDENCYPART_ARC
(5,6),-0.322914 # DEPENDENCYPART_ARC
(5,7),-1.76186 # DEPENDENCYPART_ARC
(5,10),-2.08495 # DEPENDENCYPART_ARC
(5,11),-2.50498 # DEPENDENCYPART_ARC
(5,13),-2.21958 # DEPENDENCYPART_ARC
(5,14),-2.25091 # DEPENDENCYPART_ARC
