# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(0,1),-3.62553 # DEPENDENCYPART_ARC
(0,5),-1.0298 # DEPENDENCYPART_ARC
(0,12),-2.56748 # DEPENDENCYPART_ARC
(0,21),-4.69345 # DEPENDENCYPART_ARC
(1,2),2.07656 # DEPENDENCYPART_ARC
(1,3),-1.40742 # DEPENDENCYPART_ARC
(1,4),-2.29795 # DEPENDENCYPART_ARC
(1,5),-0.751248 # DEPENDENCYPART_ARC
(1,8),-1.71048 # DEPENDENCYPART_ARC
(1,12),-2.25466 # DEPENDENCYPART_ARC
(2,1),-1.2643 # DEPENDENCYPART_ARC
(2,3),-0.982429 # DEPENDENCYPART_ARC
(2,4),-1.91086 # DEPENDENCYPART_ARC
(2,5),-1.39407 # DEPENDENCYPART_ARC
(2,6),-2.03618 # DEPENDENCYPART_ARC
(2,7),-2.2168 # DEPENDENCYPART_ARC
(2,8),-1.8742 # DEPENDENCYPART_ARC
(2,10),-1.48991 # DEPENDENCYPART_ARC
(2,12),-2.76141 # DEPENDENCYPART_ARC
(4,1),-2.20283 # DEPENDENCYPART_ARC
(4,2),-1.65655 # DEPENDENCYPART_ARC
(4,3),-0.813504 # DEPENDENCYPART_ARC
(4,5),-0.980137 # DEPENDENCYPART_ARC
(4,6),-1.30353 # DEPENDENCYPART_ARC
(4,7),-1.99559 # DEPENDENCYPART_ARC
(4,10),-1.60707 # DEPENDENCYPART_ARC
(4,11),-2.53853 # DEPENDENCYPART_ARC
(5,1),-0.905694 # DEPENDENCYPART_ARC
(5,2),-0.904523 # DEPENDENCYPART_ARC
(5,3),0.224177 # DEPENDENCYPART_ARC
(5,4),0.944712 # DEPENDENCYPART_ARC
(5,6),-0.325492 # DEPENDENCYPART_ARC
(5,7),-0.260499 # DEPENDENCYPART_ARC
(5,8),0.859532 # DEPENDENCYPART_ARC
(5,9),-1.92108 # DEPENDENCYPART_ARC
(5,10),-0.59904 # DEPENDENCYPART_ARC
(5,11),-1.617 # DEPENDENCYPART_ARC
(5,12),-0.406928 # DEPENDENCYPART_ARC
(5,14),-2.03515 # DEPENDENCYPART_ARC
(5,15),-0.137223 # DEPENDENCYPART_ARC
(5,18),-1.28798 # DEPENDENCYPART_ARC
(5,20),-2.18122 # DEPENDENCYPART_ARC
(5,21),-1.70816 # DEPENDENCYPART_ARC
(5,23),-2.82517 # DEPENDENCYPART_ARC
(5,24),-0.88089 # DEPENDENCYPART_ARC
(5,26),0.491383 # DEPENDENCYPART_ARC
(6,4),-2.35651 # DEPENDENCYPART_ARC
(6,5),-1.29611 # DEPENDENCYPART_ARC
(6,7),-1.45739 # DEPENDENCYPART_ARC
(6,8),-1.52971 # DEPENDENCYPART_ARC
(6,9),-2.35574 # DEPENDENCYPART_ARC
(6,10),-1.70254 # DEPENDENCYPART_ARC
(6,11),-2.51521 # DEPENDENCYPART_ARC
(6,12),-1.76856 # DEPENDENCYPART_ARC
(7,1),-1.74542 # DEPENDENCYPART_ARC
(7,3),-1.96247 # DEPENDENCYPART_ARC
(7,4),-2.0598 # DEPENDENCYPART_ARC
(7,5),-1.29405 # DEPENDENCYPART_ARC
(7,6),1.24327 # DEPENDENCYPART_ARC
(7,8),-0.939122 # DEPENDENCYPART_ARC
(7,9),-1.61175 # DEPENDENCYPART_ARC
(7,10),-1.2806 # DEPENDENCYPART_ARC
(7,11),-2.20902 # DEPENDENCYPART_ARC
(7,12),-1.57075 # DEPENDENCYPART_ARC
(8,3),-2.35978 # DEPENDENCYPART_ARC
(8,4),-2.57178 # DEPENDENCYPART_ARC
