# _root_ The contract was first proposed more than two years ago , but shortly afterward , the colony 's markets were hit hard by the October 1987 global stock crash .
#goldHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,29,29,29,23,12,
#predictedHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,25,29,29,23,12,
(0,2),-2.25317 # DEPENDENCYPART_ARC
(0,3),-1.54844 # DEPENDENCYPART_ARC
(0,5),-2.55786 # DEPENDENCYPART_ARC
(0,12),-1.54958 # DEPENDENCYPART_ARC
(0,20),-2.25231 # DEPENDENCYPART_ARC
(0,21),-2.89894 # DEPENDENCYPART_ARC
(1,3),-1.23791 # DEPENDENCYPART_ARC
(1,5),-1.77216 # DEPENDENCYPART_ARC
(2,1),1.57642 # DEPENDENCYPART_ARC
(2,3),-0.199931 # DEPENDENCYPART_ARC
(2,4),-1.28439 # DEPENDENCYPART_ARC
(2,5),-1.45189 # DEPENDENCYPART_ARC
(2,6),-1.47056 # DEPENDENCYPART_ARC
(3,1),-0.374552 # DEPENDENCYPART_ARC
(3,2),0.92521 # DEPENDENCYPART_ARC
(3,4),0.638716 # DEPENDENCYPART_ARC
(3,5),0.186688 # DEPENDENCYPART_ARC
(3,6),-0.81771 # DEPENDENCYPART_ARC
(3,7),-1.29822 # DEPENDENCYPART_ARC
(3,8),-1.65674 # DEPENDENCYPART_ARC
(3,9),-1.38047 # DEPENDENCYPART_ARC
(3,10),-1.10225 # DEPENDENCYPART_ARC
(3,11),-1.50338 # DEPENDENCYPART_ARC
(3,12),-1.06297 # DEPENDENCYPART_ARC
(3,13),-2.26008 # DEPENDENCYPART_ARC
(3,15),-2.24411 # DEPENDENCYPART_ARC
(3,20),-2.4979 # DEPENDENCYPART_ARC
(3,21),-2.10296 # DEPENDENCYPART_ARC
(3,30),-0.228438 # DEPENDENCYPART_ARC
(4,2),-1.86757 # DEPENDENCYPART_ARC
(4,5),-0.0649954 # DEPENDENCYPART_ARC
(4,6),-1.0606 # DEPENDENCYPART_ARC
(4,7),-0.94589 # DEPENDENCYPART_ARC
(4,8),-1.47817 # DEPENDENCYPART_ARC
(4,9),-1.36134 # DEPENDENCYPART_ARC
(4,10),-1.47705 # DEPENDENCYPART_ARC
(4,20),-1.53686 # DEPENDENCYPART_ARC
(5,2),-1.5992 # DEPENDENCYPART_ARC
(5,3),-1.97596 # DEPENDENCYPART_ARC
(5,4),-0.355196 # DEPENDENCYPART_ARC
(5,6),0.117313 # DEPENDENCYPART_ARC
(5,7),-1.04225 # DEPENDENCYPART_ARC
(5,8),-1.72578 # DEPENDENCYPART_ARC
(5,9),-0.961055 # DEPENDENCYPART_ARC
(5,10),-0.943089 # DEPENDENCYPART_ARC
(5,11),-1.31651 # DEPENDENCYPART_ARC
(5,12),-1.54669 # DEPENDENCYPART_ARC
(5,13),-2.17126 # DEPENDENCYPART_ARC
(5,14),-2.0647 # DEPENDENCYPART_ARC
(5,15),-2.05663 # DEPENDENCYPART_ARC
(5,20),-2.13661 # DEPENDENCYPART_ARC
(5,21),-2.36675 # DEPENDENCYPART_ARC
(5,23),-2.79355 # DEPENDENCYPART_ARC
(5,30),-1.96711 # DEPENDENCYPART_ARC
(6,2),-1.1075 # DEPENDENCYPART_ARC
(6,4),-0.714063 # DEPENDENCYPART_ARC
(6,7),-0.121771 # DEPENDENCYPART_ARC
