# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(0,1),-3.08015 # DEPENDENCYPART_ARC
(0,2),-3.88092 # DEPENDENCYPART_ARC
(0,9),-1.38362 # DEPENDENCYPART_ARC
(0,22),-1.86372 # DEPENDENCYPART_ARC
(1,2),-1.37756 # DEPENDENCYPART_ARC
(1,5),-3.10224 # DEPENDENCYPART_ARC
(1,6),-2.88334 # DEPENDENCYPART_ARC
(1,9),-1.99643 # DEPENDENCYPART_ARC
(2,1),-1.82582 # DEPENDENCYPART_ARC
(2,3),-0.652455 # DEPENDENCYPART_ARC
(2,4),-0.712896 # DEPENDENCYPART_ARC
(2,5),1.01474 # DEPENDENCYPART_ARC
(2,6),-1.44346 # DEPENDENCYPART_ARC
(2,8),-2.13485 # DEPENDENCYPART_ARC
(2,9),-1.06697 # DEPENDENCYPART_ARC
(2,10),-1.54018 # DEPENDENCYPART_ARC
(2,11),-2.57235 # DEPENDENCYPART_ARC
(2,12),-1.6421 # DEPENDENCYPART_ARC
(2,13),-1.86026 # DEPENDENCYPART_ARC
(2,16),-1.40166 # DEPENDENCYPART_ARC
(2,17),-1.2304 # DEPENDENCYPART_ARC
(2,27),-1.68493 # DEPENDENCYPART_ARC
(3,1),-2.77601 # DEPENDENCYPART_ARC
(3,4),-1.19479 # DEPENDENCYPART_ARC
(3,6),-1.59582 # DEPENDENCYPART_ARC
(3,9),-1.43067 # DEPENDENCYPART_ARC
(4,1),-2.2383 # DEPENDENCYPART_ARC
(4,3),-0.911342 # DEPENDENCYPART_ARC
(4,6),-1.64549 # DEPENDENCYPART_ARC
(4,8),-2.2625 # DEPENDENCYPART_ARC
(5,1),-2.09841 # DEPENDENCYPART_ARC
(5,2),-1.40785 # DEPENDENCYPART_ARC
(5,3),0.867059 # DEPENDENCYPART_ARC
(5,4),1.82558 # DEPENDENCYPART_ARC
(5,6),-0.670385 # DEPENDENCYPART_ARC
(5,7),-2.09668 # DEPENDENCYPART_ARC
(5,8),-1.88998 # DEPENDENCYPART_ARC
(5,9),-1.3256 # DEPENDENCYPART_ARC
(5,10),-1.81299 # DEPENDENCYPART_ARC
(5,11),-2.42266 # DEPENDENCYPART_ARC
(5,12),-2.30527 # DEPENDENCYPART_ARC
(5,13),-2.02533 # DEPENDENCYPART_ARC
(5,15),-2.03944 # DEPENDENCYPART_ARC
(5,16),-1.401 # DEPENDENCYPART_ARC
(5,17),-2.51249 # DEPENDENCYPART_ARC
(5,18),-2.4611 # DEPENDENCYPART_ARC
(5,21),-3.44859 # DEPENDENCYPART_ARC
(5,22),-3.2493 # DEPENDENCYPART_ARC
(5,24),-3.75844 # DEPENDENCYPART_ARC
(5,27),-2.77206 # DEPENDENCYPART_ARC
(7,6),-2.0772 # DEPENDENCYPART_ARC
(7,8),-2.0513 # DEPENDENCYPART_ARC
(7,9),-1.5734 # DEPENDENCYPART_ARC
(7,10),-2.27349 # DEPENDENCYPART_ARC
(8,1),-3.35472 # DEPENDENCYPART_ARC
(8,2),-2.52742 # DEPENDENCYPART_ARC
