# _root_ It 's that last set of numbers , as much as anything else , that gives the Giants hope in the Series games to come .
#goldHeads=5,5,5,5,0,5,6,9,5,9,9,11,12,9,16,5,18,16,16,19,23,23,20,23,24,5,
#predictedHeads=2,3,5,5,24,5,6,10,10,5,10,11,12,16,16,0,19,19,16,19,23,23,20,19,24,16,
(0,1),-2.29336 # DEPENDENCYPART_ARC
(0,2),-3.46092 # DEPENDENCYPART_ARC
(0,5),-4.30053 # DEPENDENCYPART_ARC
(0,6),-4.49255 # DEPENDENCYPART_ARC
(0,9),-4.64647 # DEPENDENCYPART_ARC
(0,12),-4.04458 # DEPENDENCYPART_ARC
(0,16),-1.99819 # DEPENDENCYPART_ARC
(0,25),-4.4229 # DEPENDENCYPART_ARC
(1,2),-1.66817 # DEPENDENCYPART_ARC
(1,3),-1.86696 # DEPENDENCYPART_ARC
(1,5),-2.05575 # DEPENDENCYPART_ARC
(1,6),-1.92201 # DEPENDENCYPART_ARC
(1,8),-1.52821 # DEPENDENCYPART_ARC
(2,1),-0.791837 # DEPENDENCYPART_ARC
(2,3),-1.71874 # DEPENDENCYPART_ARC
(2,4),-2.03933 # DEPENDENCYPART_ARC
(2,5),-2.50609 # DEPENDENCYPART_ARC
(2,6),-2.34098 # DEPENDENCYPART_ARC
(3,1),-1.4249 # DEPENDENCYPART_ARC
(3,2),-1.15093 # DEPENDENCYPART_ARC
(3,4),-1.70628 # DEPENDENCYPART_ARC
(3,6),-1.44893 # DEPENDENCYPART_ARC
(3,8),-1.88529 # DEPENDENCYPART_ARC
(3,16),-1.28586 # DEPENDENCYPART_ARC
(4,1),-3.04487 # DEPENDENCYPART_ARC
(4,2),-2.52502 # DEPENDENCYPART_ARC
(4,3),-1.15193 # DEPENDENCYPART_ARC
(4,6),-1.27444 # DEPENDENCYPART_ARC
(5,1),-2.47033 # DEPENDENCYPART_ARC
(5,2),-1.77925 # DEPENDENCYPART_ARC
(5,3),-0.0665182 # DEPENDENCYPART_ARC
(5,4),1.72341 # DEPENDENCYPART_ARC
(5,6),0.741861 # DEPENDENCYPART_ARC
(5,7),-0.619269 # DEPENDENCYPART_ARC
(5,8),-1.07312 # DEPENDENCYPART_ARC
(5,9),-1.31993 # DEPENDENCYPART_ARC
(5,10),-1.64005 # DEPENDENCYPART_ARC
(5,11),-1.44278 # DEPENDENCYPART_ARC
(5,12),-1.98633 # DEPENDENCYPART_ARC
(5,13),-1.38951 # DEPENDENCYPART_ARC
(5,14),-1.51686 # DEPENDENCYPART_ARC
(5,16),-1.64163 # DEPENDENCYPART_ARC
(5,19),-2.81828 # DEPENDENCYPART_ARC
(5,20),-2.93648 # DEPENDENCYPART_ARC
(5,24),-2.87527 # DEPENDENCYPART_ARC
(5,26),-2.34568 # DEPENDENCYPART_ARC
(6,1),-3.0652 # DEPENDENCYPART_ARC
(6,2),-2.36759 # DEPENDENCYPART_ARC
(6,3),-2.29823 # DEPENDENCYPART_ARC
(6,7),2.17604 # DEPENDENCYPART_ARC
(6,8),-1.36646 # DEPENDENCYPART_ARC
(6,9),-1.82534 # DEPENDENCYPART_ARC
(6,10),-1.93234 # DEPENDENCYPART_ARC
(6,11),-2.09323 # DEPENDENCYPART_ARC
(6,12),-2.15363 # DEPENDENCYPART_ARC
(7,1),-3.80606 # DEPENDENCYPART_ARC
(7,2),-2.64777 # DEPENDENCYPART_ARC
(7,3),-2.15755 # DEPENDENCYPART_ARC
(7,4),-1.57692 # DEPENDENCYPART_ARC
(7,8),-0.908498 # DEPENDENCYPART_ARC
(7,9),-1.0721 # DEPENDENCYPART_ARC
(7,10),-1.36902 # DEPENDENCYPART_ARC
(7,11),-0.990326 # DEPENDENCYPART_ARC
(7,12),-1.82856 # DEPENDENCYPART_ARC
(7,13),-1.70245 # DEPENDENCYPART_ARC
(7,14),-1.07768 # DEPENDENCYPART_ARC
(7,16),-1.89134 # DEPENDENCYPART_ARC
(7,19),-2.97356 # DEPENDENCYPART_ARC
(7,23),-2.81367 # DEPENDENCYPART_ARC
(7,24),-2.43269 # DEPENDENCYPART_ARC
(7,26),-2.39896 # DEPENDENCYPART_ARC
(9,5),-2.63621 # DEPENDENCYPART_ARC
(9,6),-1.82478 # DEPENDENCYPART_ARC
(9,8),-1.52293 # DEPENDENCYPART_ARC
(9,10),-1.00231 # DEPENDENCYPART_ARC
(9,11),-0.29498 # DEPENDENCYPART_ARC
(9,12),-1.35368 # DEPENDENCYPART_ARC
(9,13),-1.59912 # DEPENDENCYPART_ARC
(9,14),-1.75519 # DEPENDENCYPART_ARC
(9,16),-1.23261 # DEPENDENCYPART_ARC
(9,19),-2.6887 # DEPENDENCYPART_ARC
(9,20),-2.22685 # DEPENDENCYPART_ARC
(9,24),-2.90433 # DEPENDENCYPART_ARC
(9,26),-2.61578 # DEPENDENCYPART_ARC
(10,1),-3.3596 # DEPENDENCYPART_ARC
(10,2),-2.8431 # DEPENDENCYPART_ARC
(10,3),-1.87542 # DEPENDENCYPART_ARC
(10,4),-1.82486 # DEPENDENCYPART_ARC
(10,5),-1.95158 # DEPENDENCYPART_ARC
(10,6),-1.56667 # DEPENDENCYPART_ARC
(10,7),-1.65071 # DEPENDENCYPART_ARC
(10,8),-1.26948 # DEPENDENCYPART_ARC
(10,9),0.787165 # DEPENDENCYPART_ARC
(10,11),0.438017 # DEPENDENCYPART_ARC
(10,12),-0.959465 # DEPENDENCYPART_ARC
(10,13),-1.253 # DEPENDENCYPART_ARC
(10,14),-1.16913 # DEPENDENCYPART_ARC
(10,15),-2.0322 # DEPENDENCYPART_ARC
(10,16),-1.10054 # DEPENDENCYPART_ARC
(10,19),-2.12754 # DEPENDENCYPART_ARC
(10,20),-1.93516 # DEPENDENCYPART_ARC
(10,23),-2.08515 # DEPENDENCYPART_ARC
(10,24),-1.80571 # DEPENDENCYPART_ARC
(10,26),-2.28391 # DEPENDENCYPART_ARC
(11,5),-2.16432 # DEPENDENCYPART_ARC
(11,8),-1.77253 # DEPENDENCYPART_ARC
(11,9),-1.3628 # DEPENDENCYPART_ARC
(11,10),-1.12731 # DEPENDENCYPART_ARC
(11,12),0.662848 # DEPENDENCYPART_ARC
(11,13),-1.17633 # DEPENDENCYPART_ARC
(11,14),-1.36125 # DEPENDENCYPART_ARC
(11,15),-1.71728 # DEPENDENCYPART_ARC
(11,16),-0.166473 # DEPENDENCYPART_ARC
(12,8),-2.46028 # DEPENDENCYPART_ARC
(12,9),-1.74111 # DEPENDENCYPART_ARC
(12,10),-1.33682 # DEPENDENCYPART_ARC
(12,11),-0.757596 # DEPENDENCYPART_ARC
(12,13),0.144971 # DEPENDENCYPART_ARC
(12,14),-1.23543 # DEPENDENCYPART_ARC
(12,15),-1.75031 # DEPENDENCYPART_ARC
(12,16),-0.659947 # DEPENDENCYPART_ARC
(12,19),-1.75167 # DEPENDENCYPART_ARC
(12,20),-1.51237 # DEPENDENCYPART_ARC
(12,23),-2.33388 # DEPENDENCYPART_ARC
(12,24),-1.82922 # DEPENDENCYPART_ARC
(12,26),-1.90183 # DEPENDENCYPART_ARC
(13,2),-2.89297 # DEPENDENCYPART_ARC
(13,3),-2.64908 # DEPENDENCYPART_ARC
(13,5),-2.55543 # DEPENDENCYPART_ARC
(13,9),-1.94898 # DEPENDENCYPART_ARC
(13,10),-1.78796 # DEPENDENCYPART_ARC
(13,11),-0.931753 # DEPENDENCYPART_ARC
(13,12),-0.96356 # DEPENDENCYPART_ARC
(13,14),-1.26645 # DEPENDENCYPART_ARC
(13,15),-1.8687 # DEPENDENCYPART_ARC
(13,16),-1.5542 # DEPENDENCYPART_ARC
(14,13),-2.16216 # DEPENDENCYPART_ARC
(14,16),-1.93704 # DEPENDENCYPART_ARC
(15,13),-2.07726 # DEPENDENCYPART_ARC
(15,14),-1.6754 # DEPENDENCYPART_ARC
(16,1),-3.34722 # DEPENDENCYPART_ARC
(16,2),-2.39733 # DEPENDENCYPART_ARC
(16,3),-2.82496 # DEPENDENCYPART_ARC
(16,5),-1.8438 # DEPENDENCYPART_ARC
(16,6),-2.04475 # DEPENDENCYPART_ARC
(16,8),-1.84411 # DEPENDENCYPART_ARC
(16,9),-1.50252 # DEPENDENCYPART_ARC
(16,10),-1.83155 # DEPENDENCYPART_ARC
(16,11),-1.62909 # DEPENDENCYPART_ARC
