# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(0,2),-0.86426 # DEPENDENCYPART_ARC
(0,19),-2.6543 # DEPENDENCYPART_ARC
(1,3),-1.64212 # DEPENDENCYPART_ARC
(2,1),1.64948 # DEPENDENCYPART_ARC
(2,3),1.04718 # DEPENDENCYPART_ARC
(2,4),-1.30369 # DEPENDENCYPART_ARC
(2,5),-1.23166 # DEPENDENCYPART_ARC
(2,6),-0.668978 # DEPENDENCYPART_ARC
(2,7),-0.881359 # DEPENDENCYPART_ARC
(2,8),-2.06249 # DEPENDENCYPART_ARC
(2,9),-1.71507 # DEPENDENCYPART_ARC
(2,10),-1.67845 # DEPENDENCYPART_ARC
(2,11),-1.23741 # DEPENDENCYPART_ARC
(2,12),-1.62228 # DEPENDENCYPART_ARC
(2,13),-2.32301 # DEPENDENCYPART_ARC
(2,14),-1.44939 # DEPENDENCYPART_ARC
(2,16),-2.04172 # DEPENDENCYPART_ARC
(2,17),-1.5898 # DEPENDENCYPART_ARC
(2,18),-2.99396 # DEPENDENCYPART_ARC
(2,19),-1.52311 # DEPENDENCYPART_ARC
(2,22),-2.08256 # DEPENDENCYPART_ARC
(2,24),-1.78051 # DEPENDENCYPART_ARC
(2,25),-2.38809 # DEPENDENCYPART_ARC
(2,30),-2.49605 # DEPENDENCYPART_ARC
(2,33),0.991789 # DEPENDENCYPART_ARC
(3,1),-1.90292 # DEPENDENCYPART_ARC
(3,4),-0.826269 # DEPENDENCYPART_ARC
(3,5),-0.785983 # DEPENDENCYPART_ARC
(3,6),0.242048 # DEPENDENCYPART_ARC
(3,7),-1.45442 # DEPENDENCYPART_ARC
(3,8),-1.86049 # DEPENDENCYPART_ARC
(3,9),-1.0891 # DEPENDENCYPART_ARC
(3,10),-0.937224 # DEPENDENCYPART_ARC
(3,11),-1.4052 # DEPENDENCYPART_ARC
(3,12),-1.76222 # DEPENDENCYPART_ARC
(3,13),-1.67201 # DEPENDENCYPART_ARC
(3,14),-1.61134 # DEPENDENCYPART_ARC
(3,16),-1.66981 # DEPENDENCYPART_ARC
(3,17),-1.49945 # DEPENDENCYPART_ARC
(3,30),-2.34043 # DEPENDENCYPART_ARC
