# _root_ Because we refuse to face the tough answers , the questions continue as fodder for the commissions and committees , for the media and politicians .
#goldHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,15,15,24,24,21,24,12,
#predictedHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,18,18,24,24,21,24,12,
(0,1),-1.81688 # DEPENDENCYPART_ARC
(0,3),-2.28171 # DEPENDENCYPART_ARC
(0,5),-3.20306 # DEPENDENCYPART_ARC
(0,12),-3.14881 # DEPENDENCYPART_ARC
(0,18),-2.90782 # DEPENDENCYPART_ARC
(0,24),-3.15249 # DEPENDENCYPART_ARC
(1,2),0.118158 # DEPENDENCYPART_ARC
(1,3),-0.781738 # DEPENDENCYPART_ARC
(1,4),-1.25638 # DEPENDENCYPART_ARC
(1,5),-1.41607 # DEPENDENCYPART_ARC
(1,8),-1.8101 # DEPENDENCYPART_ARC
(2,3),-0.471955 # DEPENDENCYPART_ARC
(2,5),-1.57144 # DEPENDENCYPART_ARC
(3,1),0.197672 # DEPENDENCYPART_ARC
(3,2),0.997815 # DEPENDENCYPART_ARC
(3,4),0.188428 # DEPENDENCYPART_ARC
(3,5),0.0252403 # DEPENDENCYPART_ARC
(3,6),-1.21156 # DEPENDENCYPART_ARC
(3,7),-1.41622 # DEPENDENCYPART_ARC
(3,8),-1.08449 # DEPENDENCYPART_ARC
(3,9),-1.44515 # DEPENDENCYPART_ARC
(3,11),-2.34525 # DEPENDENCYPART_ARC
(3,12),-1.87043 # DEPENDENCYPART_ARC
(3,13),-1.99958 # DEPENDENCYPART_ARC
(3,15),-2.24766 # DEPENDENCYPART_ARC
(3,18),-1.102 # DEPENDENCYPART_ARC
(3,20),-2.03603 # DEPENDENCYPART_ARC
(3,21),-2.0398 # DEPENDENCYPART_ARC
(3,24),-1.15655 # DEPENDENCYPART_ARC
(3,26),-1.45846 # DEPENDENCYPART_ARC
(4,1),-1.09923 # DEPENDENCYPART_ARC
(4,5),-0.250183 # DEPENDENCYPART_ARC
(4,8),-1.74312 # DEPENDENCYPART_ARC
(4,11),-2.78085 # DEPENDENCYPART_ARC
(5,1),-0.604846 # DEPENDENCYPART_ARC
(5,2),-1.38837 # DEPENDENCYPART_ARC
(5,3),-1.03116 # DEPENDENCYPART_ARC
(5,4),1.3229 # DEPENDENCYPART_ARC
(5,6),0.122812 # DEPENDENCYPART_ARC
(5,7),-0.58637 # DEPENDENCYPART_ARC
(5,8),0.010484 # DEPENDENCYPART_ARC
(5,9),-1.13722 # DEPENDENCYPART_ARC
(5,10),-1.61873 # DEPENDENCYPART_ARC
(5,11),-1.33163 # DEPENDENCYPART_ARC
(5,12),-1.73404 # DEPENDENCYPART_ARC
(5,13),-1.97551 # DEPENDENCYPART_ARC
(5,14),-1.76324 # DEPENDENCYPART_ARC
(5,15),-2.02954 # DEPENDENCYPART_ARC
(5,18),-1.01527 # DEPENDENCYPART_ARC
(5,20),-1.80652 # DEPENDENCYPART_ARC
(5,21),-1.89307 # DEPENDENCYPART_ARC
(5,24),-0.854488 # DEPENDENCYPART_ARC
(5,26),-1.8659 # DEPENDENCYPART_ARC
(6,5),0.0229859 # DEPENDENCYPART_ARC
(6,7),-0.36398 # DEPENDENCYPART_ARC
(6,9),-1.02996 # DEPENDENCYPART_ARC
(6,12),-1.81503 # DEPENDENCYPART_ARC
(7,1),-1.27875 # DEPENDENCYPART_ARC
(7,2),-1.66867 # DEPENDENCYPART_ARC
(7,4),-1.42925 # DEPENDENCYPART_ARC
(7,6),0.061032 # DEPENDENCYPART_ARC
(7,9),-1.20053 # DEPENDENCYPART_ARC
(7,11),-2.091 # DEPENDENCYPART_ARC
(7,12),-1.84478 # DEPENDENCYPART_ARC
(8,1),-1.37506 # DEPENDENCYPART_ARC
(8,4),-1.49284 # DEPENDENCYPART_ARC
(8,5),-0.869861 # DEPENDENCYPART_ARC
(8,6),0.231274 # DEPENDENCYPART_ARC
(8,7),1.52021 # DEPENDENCYPART_ARC
(8,9),0.24735 # DEPENDENCYPART_ARC
(8,10),-1.61537 # DEPENDENCYPART_ARC
(8,11),-1.50956 # DEPENDENCYPART_ARC
(8,12),-1.70125 # DEPENDENCYPART_ARC
(8,13),-1.70392 # DEPENDENCYPART_ARC
(8,14),-1.71024 # DEPENDENCYPART_ARC
(8,15),-1.8129 # DEPENDENCYPART_ARC
(8,16),-1.94495 # DEPENDENCYPART_ARC
