# _root_ Echoing a phrase from Mr. de Klerk , Mr. Sisulu said , `` Let all of us who love this country engage in the task of building a new South Africa .
#goldHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,22,15,16,19,15,21,19,14,22,25,23,25,26,31,31,31,27,11,
#predictedHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,14,15,16,19,17,21,22,19,22,25,23,25,26,31,31,31,27,11,
(0,1),-1.28483 # DEPENDENCYPART_ARC
(0,3),-2.58852 # DEPENDENCYPART_ARC
(0,11),-1.25512 # DEPENDENCYPART_ARC
(0,14),-2.80206 # DEPENDENCYPART_ARC
(0,22),-2.80742 # DEPENDENCYPART_ARC
(1,2),-0.141179 # DEPENDENCYPART_ARC
(1,3),0.0516387 # DEPENDENCYPART_ARC
(1,4),-0.864506 # DEPENDENCYPART_ARC
(1,5),-1.04661 # DEPENDENCYPART_ARC
(1,6),-0.988839 # DEPENDENCYPART_ARC
(1,7),-1.07261 # DEPENDENCYPART_ARC
(1,8),-1.47067 # DEPENDENCYPART_ARC
(1,11),-2.35901 # DEPENDENCYPART_ARC
(1,12),-1.98347 # DEPENDENCYPART_ARC
(1,14),-1.81318 # DEPENDENCYPART_ARC
(1,19),-1.78179 # DEPENDENCYPART_ARC
(1,22),-1.89654 # DEPENDENCYPART_ARC
(1,32),-1.32022 # DEPENDENCYPART_ARC
(2,4),-1.22321 # DEPENDENCYPART_ARC
(3,1),-0.736696 # DEPENDENCYPART_ARC
(3,2),1.2502 # DEPENDENCYPART_ARC
(3,4),0.368272 # DEPENDENCYPART_ARC
(3,5),-0.994892 # DEPENDENCYPART_ARC
(3,6),-1.41542 # DEPENDENCYPART_ARC
(3,7),-1.64625 # DEPENDENCYPART_ARC
(3,8),-1.5901 # DEPENDENCYPART_ARC
(3,10),-2.17059 # DEPENDENCYPART_ARC
(3,11),-1.57078 # DEPENDENCYPART_ARC
(3,12),-1.71203 # DEPENDENCYPART_ARC
(3,13),-1.63794 # DEPENDENCYPART_ARC
(3,14),-1.83835 # DEPENDENCYPART_ARC
(3,15),-1.5987 # DEPENDENCYPART_ARC
(3,16),-2.37752 # DEPENDENCYPART_ARC
(3,19),-1.79048 # DEPENDENCYPART_ARC
(3,22),-1.64494 # DEPENDENCYPART_ARC
(4,1),-1.44345 # DEPENDENCYPART_ARC
(4,2),-1.28325 # DEPENDENCYPART_ARC
(4,3),-0.460334 # DEPENDENCYPART_ARC
(4,5),0.636985 # DEPENDENCYPART_ARC
(4,6),-0.267913 # DEPENDENCYPART_ARC
(4,7),-0.586445 # DEPENDENCYPART_ARC
(4,8),-0.909488 # DEPENDENCYPART_ARC
(4,9),-2.31984 # DEPENDENCYPART_ARC
(4,10),-2.23547 # DEPENDENCYPART_ARC
(4,11),-1.81642 # DEPENDENCYPART_ARC
(4,13),-1.49972 # DEPENDENCYPART_ARC
(4,16),-1.67816 # DEPENDENCYPART_ARC
(4,23),-1.58859 # DEPENDENCYPART_ARC
(5,4),-1.46557 # DEPENDENCYPART_ARC
(5,6),-0.591038 # DEPENDENCYPART_ARC
(5,7),-1.56644 # DEPENDENCYPART_ARC
(5,8),-1.6962 # DEPENDENCYPART_ARC
(5,10),-2.47009 # DEPENDENCYPART_ARC
(5,11),-1.78115 # DEPENDENCYPART_ARC
(5,12),-2.0054 # DEPENDENCYPART_ARC
(5,13),-1.96076 # DEPENDENCYPART_ARC
(6,2),-2.28014 # DEPENDENCYPART_ARC
(6,3),-2.1716 # DEPENDENCYPART_ARC
(6,4),-2.00063 # DEPENDENCYPART_ARC
(6,5),0.0404415 # DEPENDENCYPART_ARC
(6,7),-0.890057 # DEPENDENCYPART_ARC
(6,10),-2.51377 # DEPENDENCYPART_ARC
(6,11),-2.09737 # DEPENDENCYPART_ARC
(6,12),-2.05824 # DEPENDENCYPART_ARC
(7,2),-1.23455 # DEPENDENCYPART_ARC
(7,3),-1.04224 # DEPENDENCYPART_ARC
(7,5),0.683435 # DEPENDENCYPART_ARC
(7,6),1.40892 # DEPENDENCYPART_ARC
(7,8),0.412159 # DEPENDENCYPART_ARC
(7,9),-1.1507 # DEPENDENCYPART_ARC
(7,10),-1.74124 # DEPENDENCYPART_ARC
(7,11),-1.81347 # DEPENDENCYPART_ARC
(7,12),-1.52914 # DEPENDENCYPART_ARC
(7,13),-1.66195 # DEPENDENCYPART_ARC
(7,16),-2.0339 # DEPENDENCYPART_ARC
(7,19),-1.99636 # DEPENDENCYPART_ARC
(7,21),-1.87417 # DEPENDENCYPART_ARC
(7,25),-1.73257 # DEPENDENCYPART_ARC
(7,31),-1.88135 # DEPENDENCYPART_ARC
(7,32),-2.72197 # DEPENDENCYPART_ARC
(9,6),-2.51429 # DEPENDENCYPART_ARC
(9,7),-2.18256 # DEPENDENCYPART_ARC
(9,8),-1.08134 # DEPENDENCYPART_ARC
(9,10),-0.714737 # DEPENDENCYPART_ARC
(9,11),-0.931594 # DEPENDENCYPART_ARC
