# _root_ The group 's bid for $ 34.2 million of wastewater treatment bonds , Series 1989 B , produced a 7.0808 % true interest cost .
#goldHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
#predictedHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
(0,4),-2.57319 # DEPENDENCYPART_ARC
(0,5),-2.66795 # DEPENDENCYPART_ARC
(0,6),-2.28034 # DEPENDENCYPART_ARC
(0,7),-2.4396 # DEPENDENCYPART_ARC
(0,8),-2.56238 # DEPENDENCYPART_ARC
(0,12),-2.90739 # DEPENDENCYPART_ARC
(0,18),-1.96337 # DEPENDENCYPART_ARC
(1,5),-1.57741 # DEPENDENCYPART_ARC
(2,1),1.53379 # DEPENDENCYPART_ARC
(2,3),1.11215 # DEPENDENCYPART_ARC
(2,4),-0.892525 # DEPENDENCYPART_ARC
(2,5),-0.734652 # DEPENDENCYPART_ARC
(2,6),-1.09234 # DEPENDENCYPART_ARC
(2,7),-1.25668 # DEPENDENCYPART_ARC
(2,8),-1.25327 # DEPENDENCYPART_ARC
(2,9),-1.26447 # DEPENDENCYPART_ARC
(2,12),-1.8041 # DEPENDENCYPART_ARC
(2,13),-0.938503 # DEPENDENCYPART_ARC
(2,17),-0.877915 # DEPENDENCYPART_ARC
(2,18),-1.25554 # DEPENDENCYPART_ARC
(2,22),-1.2717 # DEPENDENCYPART_ARC
(2,25),-1.51538 # DEPENDENCYPART_ARC
(4,1),-0.850049 # DEPENDENCYPART_ARC
(4,2),0.192737 # DEPENDENCYPART_ARC
(4,3),-0.0865684 # DEPENDENCYPART_ARC
(4,5),0.384381 # DEPENDENCYPART_ARC
(4,6),-1.195 # DEPENDENCYPART_ARC
(4,7),-1.36864 # DEPENDENCYPART_ARC
(4,8),-1.54886 # DEPENDENCYPART_ARC
(4,9),-1.2017 # DEPENDENCYPART_ARC
(4,12),-1.87893 # DEPENDENCYPART_ARC
(4,13),-1.24861 # DEPENDENCYPART_ARC
(4,16),-2.36507 # DEPENDENCYPART_ARC
(4,17),-1.19936 # DEPENDENCYPART_ARC
(4,18),-1.56469 # DEPENDENCYPART_ARC
(4,21),-2.00115 # DEPENDENCYPART_ARC
(4,22),-1.53901 # DEPENDENCYPART_ARC
(4,25),-1.77532 # DEPENDENCYPART_ARC
(5,2),-1.40662 # DEPENDENCYPART_ARC
(5,4),-0.46976 # DEPENDENCYPART_ARC
(5,6),-0.273496 # DEPENDENCYPART_ARC
(5,7),-0.970604 # DEPENDENCYPART_ARC
(5,8),-1.29805 # DEPENDENCYPART_ARC
(5,9),-1.16328 # DEPENDENCYPART_ARC
(5,10),-1.40211 # DEPENDENCYPART_ARC
(5,11),-1.84648 # DEPENDENCYPART_ARC
(5,12),-1.67872 # DEPENDENCYPART_ARC
(5,13),-1.27446 # DEPENDENCYPART_ARC
(5,18),-1.74556 # DEPENDENCYPART_ARC
(6,1),-1.48865 # DEPENDENCYPART_ARC
(6,4),-1.06518 # DEPENDENCYPART_ARC
(6,5),0.22581 # DEPENDENCYPART_ARC
(6,7),0.614352 # DEPENDENCYPART_ARC
(6,8),0.130637 # DEPENDENCYPART_ARC
(6,9),-0.810898 # DEPENDENCYPART_ARC
(6,10),-1.18605 # DEPENDENCYPART_ARC
(6,11),-1.28614 # DEPENDENCYPART_ARC
(6,13),-1.18604 # DEPENDENCYPART_ARC
(6,14),-1.9751 # DEPENDENCYPART_ARC
(6,16),-2.23432 # DEPENDENCYPART_ARC
(6,17),-1.7792 # DEPENDENCYPART_ARC
(6,21),-2.08247 # DEPENDENCYPART_ARC
(6,22),-1.5471 # DEPENDENCYPART_ARC
(6,25),-1.20599 # DEPENDENCYPART_ARC
(7,4),-1.45359 # DEPENDENCYPART_ARC
(7,5),-1.40633 # DEPENDENCYPART_ARC
(7,6),-0.218698 # DEPENDENCYPART_ARC
(7,8),-0.488294 # DEPENDENCYPART_ARC
(7,9),-0.756301 # DEPENDENCYPART_ARC
(7,10),-1.00208 # DEPENDENCYPART_ARC
(7,11),-1.14376 # DEPENDENCYPART_ARC
(7,13),-0.935689 # DEPENDENCYPART_ARC
(7,14),-1.79619 # DEPENDENCYPART_ARC
(7,15),-1.80045 # DEPENDENCYPART_ARC
(7,16),-1.80526 # DEPENDENCYPART_ARC
(7,17),-1.50417 # DEPENDENCYPART_ARC
(8,6),-0.780027 # DEPENDENCYPART_ARC
(8,7),-0.172212 # DEPENDENCYPART_ARC
(8,9),0.130214 # DEPENDENCYPART_ARC
(8,10),-0.413167 # DEPENDENCYPART_ARC
(8,11),-0.759849 # DEPENDENCYPART_ARC
(8,13),-0.940427 # DEPENDENCYPART_ARC
(8,14),-1.57842 # DEPENDENCYPART_ARC
(8,15),-1.5541 # DEPENDENCYPART_ARC
(8,16),-1.60759 # DEPENDENCYPART_ARC
(8,17),-1.35521 # DEPENDENCYPART_ARC
(8,20),-1.38276 # DEPENDENCYPART_ARC
(9,4),-1.55794 # DEPENDENCYPART_ARC
(9,5),-1.28061 # DEPENDENCYPART_ARC
(9,7),-1.34348 # DEPENDENCYPART_ARC
(9,8),-0.401266 # DEPENDENCYPART_ARC
(9,10),0.207477 # DEPENDENCYPART_ARC
(9,11),-0.646431 # DEPENDENCYPART_ARC
(9,12),-0.760379 # DEPENDENCYPART_ARC
(9,14),-2.38713 # DEPENDENCYPART_ARC
(9,15),-2.21214 # DEPENDENCYPART_ARC
(9,16),-2.76146 # DEPENDENCYPART_ARC
(10,11),-0.479638 # DEPENDENCYPART_ARC
(10,12),-1.48354 # DEPENDENCYPART_ARC
(10,15),-2.223 # DEPENDENCYPART_ARC
(10,18),-1.88622 # DEPENDENCYPART_ARC
(11,2),-2.2861 # DEPENDENCYPART_ARC
(11,4),-2.62327 # DEPENDENCYPART_ARC
(11,6),-1.88086 # DEPENDENCYPART_ARC
(11,7),-1.91154 # DEPENDENCYPART_ARC
(11,8),-1.75676 # DEPENDENCYPART_ARC
(11,9),-1.22649 # DEPENDENCYPART_ARC
(11,10),0.583818 # DEPENDENCYPART_ARC
(11,12),-0.770505 # DEPENDENCYPART_ARC
(11,14),-2.01173 # DEPENDENCYPART_ARC
(11,16),-2.43888 # DEPENDENCYPART_ARC
(11,17),-1.76578 # DEPENDENCYPART_ARC
(11,18),-2.03121 # DEPENDENCYPART_ARC
(12,4),-1.52445 # DEPENDENCYPART_ARC
(12,5),-1.11931 # DEPENDENCYPART_ARC
(12,6),-1.30348 # DEPENDENCYPART_ARC
(12,7),-1.11127 # DEPENDENCYPART_ARC
(12,8),-0.979723 # DEPENDENCYPART_ARC
(12,9),-0.666513 # DEPENDENCYPART_ARC
(12,10),1.18289 # DEPENDENCYPART_ARC
(12,11),1.9003 # DEPENDENCYPART_ARC
(12,13),0.495649 # DEPENDENCYPART_ARC
(12,14),-1.11695 # DEPENDENCYPART_ARC
(12,15),-1.83145 # DEPENDENCYPART_ARC
(12,16),-1.64682 # DEPENDENCYPART_ARC
