# _root_ The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .
#goldHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,9,18,21,18,21,9,7,
#predictedHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,15,18,21,18,21,12,7,
(0,3),-3.50239 # DEPENDENCYPART_ARC
(0,4),-4.60217 # DEPENDENCYPART_ARC
(0,7),-0.980101 # DEPENDENCYPART_ARC
(1,4),-2.02174 # DEPENDENCYPART_ARC
(2,1),-0.596968 # DEPENDENCYPART_ARC
(2,4),-1.56936 # DEPENDENCYPART_ARC
(2,10),-1.72161 # DEPENDENCYPART_ARC
(3,1),1.32411 # DEPENDENCYPART_ARC
(3,2),1.6389 # DEPENDENCYPART_ARC
(3,4),0.243925 # DEPENDENCYPART_ARC
(3,5),-1.8757 # DEPENDENCYPART_ARC
(3,6),-1.03554 # DEPENDENCYPART_ARC
(3,7),-0.86394 # DEPENDENCYPART_ARC
(3,8),-1.905 # DEPENDENCYPART_ARC
(3,9),-1.92203 # DEPENDENCYPART_ARC
(3,10),-1.41854 # DEPENDENCYPART_ARC
(3,12),-2.23767 # DEPENDENCYPART_ARC
(3,13),-1.77961 # DEPENDENCYPART_ARC
(3,15),-2.56442 # DEPENDENCYPART_ARC
(3,16),-1.56154 # DEPENDENCYPART_ARC
(3,18),-2.85952 # DEPENDENCYPART_ARC
(3,19),-2.29199 # DEPENDENCYPART_ARC
(3,21),-3.1053 # DEPENDENCYPART_ARC
(3,22),-3.03366 # DEPENDENCYPART_ARC
(4,3),-1.55966 # DEPENDENCYPART_ARC
(4,5),-1.13637 # DEPENDENCYPART_ARC
(4,6),1.23687 # DEPENDENCYPART_ARC
(4,7),-0.101205 # DEPENDENCYPART_ARC
(4,8),-1.8229 # DEPENDENCYPART_ARC
(4,9),-0.983387 # DEPENDENCYPART_ARC
(4,10),-1.57634 # DEPENDENCYPART_ARC
(4,12),-2.37641 # DEPENDENCYPART_ARC
(4,13),-1.39504 # DEPENDENCYPART_ARC
(4,22),-2.37394 # DEPENDENCYPART_ARC
(5,4),-1.91614 # DEPENDENCYPART_ARC
(6,1),-2.41939 # DEPENDENCYPART_ARC
(6,2),-1.61128 # DEPENDENCYPART_ARC
(6,3),-1.51914 # DEPENDENCYPART_ARC
(6,4),-1.23883 # DEPENDENCYPART_ARC
(6,5),1.50042 # DEPENDENCYPART_ARC
(6,7),-0.406774 # DEPENDENCYPART_ARC
(6,8),-1.70166 # DEPENDENCYPART_ARC
(6,9),-1.42507 # DEPENDENCYPART_ARC
(6,10),-1.50349 # DEPENDENCYPART_ARC
(6,12),-2.46401 # DEPENDENCYPART_ARC
(6,13),-2.00972 # DEPENDENCYPART_ARC
(7,1),-2.08526 # DEPENDENCYPART_ARC
(7,2),-1.77386 # DEPENDENCYPART_ARC
(7,3),-0.0388238 # DEPENDENCYPART_ARC
(7,4),-1.15124 # DEPENDENCYPART_ARC
(7,5),-1.26407 # DEPENDENCYPART_ARC
(7,6),0.159141 # DEPENDENCYPART_ARC
(7,8),-0.216795 # DEPENDENCYPART_ARC
(7,9),-0.118909 # DEPENDENCYPART_ARC
(7,10),-1.36527 # DEPENDENCYPART_ARC
(7,11),-1.62556 # DEPENDENCYPART_ARC
(7,12),-1.30903 # DEPENDENCYPART_ARC
(7,13),-0.810261 # DEPENDENCYPART_ARC
(7,14),-2.07671 # DEPENDENCYPART_ARC
(7,15),-1.52289 # DEPENDENCYPART_ARC
(7,16),-1.83581 # DEPENDENCYPART_ARC
(7,18),-2.22456 # DEPENDENCYPART_ARC
(7,19),-2.68236 # DEPENDENCYPART_ARC
(7,21),-2.0839 # DEPENDENCYPART_ARC
(7,22),0.537577 # DEPENDENCYPART_ARC
(8,3),-2.98115 # DEPENDENCYPART_ARC
(8,5),-2.39837 # DEPENDENCYPART_ARC
(8,6),-1.87978 # DEPENDENCYPART_ARC
(8,9),-0.849848 # DEPENDENCYPART_ARC
(8,10),-1.32977 # DEPENDENCYPART_ARC
(8,11),-2.03623 # DEPENDENCYPART_ARC
(8,12),-2.45495 # DEPENDENCYPART_ARC
(8,13),-1.78211 # DEPENDENCYPART_ARC
(8,15),-3.51032 # DEPENDENCYPART_ARC
(8,16),-1.35472 # DEPENDENCYPART_ARC
(8,21),-3.23435 # DEPENDENCYPART_ARC
(8,22),-2.33648 # DEPENDENCYPART_ARC
(9,1),-3.09259 # DEPENDENCYPART_ARC
(9,2),-2.7894 # DEPENDENCYPART_ARC
(9,3),-2.6669 # DEPENDENCYPART_ARC
(9,4),-2.37287 # DEPENDENCYPART_ARC
(9,5),-1.42274 # DEPENDENCYPART_ARC
(9,6),-1.48029 # DEPENDENCYPART_ARC
(9,8),1.43185 # DEPENDENCYPART_ARC
(9,10),0.588631 # DEPENDENCYPART_ARC
(9,11),-1.03584 # DEPENDENCYPART_ARC
(9,12),-1.17081 # DEPENDENCYPART_ARC
(9,13),-0.953584 # DEPENDENCYPART_ARC
(9,14),-2.76542 # DEPENDENCYPART_ARC
(9,15),-2.17062 # DEPENDENCYPART_ARC
(9,16),-0.371539 # DEPENDENCYPART_ARC
(9,17),-2.06192 # DEPENDENCYPART_ARC
(9,18),-3.89077 # DEPENDENCYPART_ARC
(9,19),-2.98354 # DEPENDENCYPART_ARC
(9,20),-3.88373 # DEPENDENCYPART_ARC
(9,21),-2.44298 # DEPENDENCYPART_ARC
(9,22),-2.03794 # DEPENDENCYPART_ARC
(11,8),-2.63715 # DEPENDENCYPART_ARC
