# _root_ Now , according to a Kidder World story about Mr. Megargel , all the firm has to do is `` position ourselves more in the deal flow . ''
#goldHeads=19,19,19,3,8,8,8,4,8,11,9,19,19,15,16,13,18,16,0,19,19,21,21,23,27,27,24,19,19,
#predictedHeads=19,19,19,3,8,8,8,4,8,11,9,19,15,15,19,15,18,16,0,19,19,21,24,21,27,27,24,19,19,
(0,1),-1.51321 # DEPENDENCYPART_ARC
(0,3),-2.06471 # DEPENDENCYPART_ARC
(0,16),-2.02714 # DEPENDENCYPART_ARC
(0,18),-3.17433 # DEPENDENCYPART_ARC
(0,19),-1.99032 # DEPENDENCYPART_ARC
(0,21),-3.0974 # DEPENDENCYPART_ARC
(1,2),-0.372767 # DEPENDENCYPART_ARC
(1,3),-1.40331 # DEPENDENCYPART_ARC
(1,4),-1.77725 # DEPENDENCYPART_ARC
(1,19),-1.33066 # DEPENDENCYPART_ARC
(2,1),-0.503705 # DEPENDENCYPART_ARC
(2,3),-0.447996 # DEPENDENCYPART_ARC
(3,1),-1.7439 # DEPENDENCYPART_ARC
(3,2),0.0304928 # DEPENDENCYPART_ARC
(3,4),0.386473 # DEPENDENCYPART_ARC
(3,5),-1.28382 # DEPENDENCYPART_ARC
(3,6),-1.00918 # DEPENDENCYPART_ARC
(3,7),-1.09217 # DEPENDENCYPART_ARC
(3,8),-0.940262 # DEPENDENCYPART_ARC
(3,9),-1.60585 # DEPENDENCYPART_ARC
(3,11),-1.53986 # DEPENDENCYPART_ARC
(3,12),-1.88804 # DEPENDENCYPART_ARC
(3,16),-2.13809 # DEPENDENCYPART_ARC
(3,18),-2.31374 # DEPENDENCYPART_ARC
(3,19),-1.88106 # DEPENDENCYPART_ARC
(3,21),-2.15773 # DEPENDENCYPART_ARC
(3,28),-2.57073 # DEPENDENCYPART_ARC
(3,29),-0.822347 # DEPENDENCYPART_ARC
(4,2),-1.20806 # DEPENDENCYPART_ARC
(4,5),0.0459265 # DEPENDENCYPART_ARC
(4,6),-0.405306 # DEPENDENCYPART_ARC
(4,7),-0.932829 # DEPENDENCYPART_ARC
(4,8),-1.03233 # DEPENDENCYPART_ARC
(4,9),-1.4793 # DEPENDENCYPART_ARC
(4,10),-1.84618 # DEPENDENCYPART_ARC
(4,11),-1.75078 # DEPENDENCYPART_ARC
(4,12),-0.801095 # DEPENDENCYPART_ARC
(4,15),-2.83128 # DEPENDENCYPART_ARC
(6,5),-0.586773 # DEPENDENCYPART_ARC
(6,7),-0.523616 # DEPENDENCYPART_ARC
(6,8),-1.46996 # DEPENDENCYPART_ARC
(6,9),-1.13564 # DEPENDENCYPART_ARC
(6,11),-2.12081 # DEPENDENCYPART_ARC
(6,16),-1.9515 # DEPENDENCYPART_ARC
(6,20),-2.17003 # DEPENDENCYPART_ARC
(7,2),-2.96126 # DEPENDENCYPART_ARC
(7,5),-1.18582 # DEPENDENCYPART_ARC
(7,6),-0.133323 # DEPENDENCYPART_ARC
(7,8),-0.680021 # DEPENDENCYPART_ARC
(7,9),-1.42584 # DEPENDENCYPART_ARC
(7,11),-2.19947 # DEPENDENCYPART_ARC
(8,2),-1.67216 # DEPENDENCYPART_ARC
(8,3),-0.955067 # DEPENDENCYPART_ARC
(8,4),-1.32481 # DEPENDENCYPART_ARC
(8,5),-0.1325 # DEPENDENCYPART_ARC
(8,6),1.01293 # DEPENDENCYPART_ARC
(8,7),2.10351 # DEPENDENCYPART_ARC
(8,9),0.2403 # DEPENDENCYPART_ARC
(8,10),-1.17767 # DEPENDENCYPART_ARC
(8,11),-1.46401 # DEPENDENCYPART_ARC
(8,12),-1.72751 # DEPENDENCYPART_ARC
(8,13),-2.24554 # DEPENDENCYPART_ARC
(8,15),-2.01815 # DEPENDENCYPART_ARC
(8,16),-2.23649 # DEPENDENCYPART_ARC
(8,18),-2.31772 # DEPENDENCYPART_ARC
(8,19),-2.55328 # DEPENDENCYPART_ARC
(8,21),-2.70238 # DEPENDENCYPART_ARC
(8,28),-2.97357 # DEPENDENCYPART_ARC
(8,29),-1.74463 # DEPENDENCYPART_ARC
(9,3),-1.75178 # DEPENDENCYPART_ARC
(9,8),-0.642455 # DEPENDENCYPART_ARC
(9,10),0.140589 # DEPENDENCYPART_ARC
(9,11),-0.135405 # DEPENDENCYPART_ARC
(9,12),-1.21153 # DEPENDENCYPART_ARC
(9,15),-2.49235 # DEPENDENCYPART_ARC
(9,16),-2.16418 # DEPENDENCYPART_ARC
(10,11),-0.690209 # DEPENDENCYPART_ARC
(10,15),-2.11564 # DEPENDENCYPART_ARC
(10,20),-2.41669 # DEPENDENCYPART_ARC
(11,5),-2.12813 # DEPENDENCYPART_ARC
(11,6),-0.665313 # DEPENDENCYPART_ARC
(11,7),-0.772916 # DEPENDENCYPART_ARC
(11,8),-1.25385 # DEPENDENCYPART_ARC
(11,9),-1.25488 # DEPENDENCYPART_ARC
(11,10),1.69525 # DEPENDENCYPART_ARC
(11,12),0.185639 # DEPENDENCYPART_ARC
(11,15),-1.97651 # DEPENDENCYPART_ARC
(11,16),-2.41074 # DEPENDENCYPART_ARC
(11,18),-2.51463 # DEPENDENCYPART_ARC
(11,19),-2.72306 # DEPENDENCYPART_ARC
(11,20),-2.32591 # DEPENDENCYPART_ARC
(11,21),-2.93141 # DEPENDENCYPART_ARC
(11,27),-1.72148 # DEPENDENCYPART_ARC
(11,28),-2.90078 # DEPENDENCYPART_ARC
(11,29),-1.82514 # DEPENDENCYPART_ARC
(13,12),-0.0193851 # DEPENDENCYPART_ARC
(13,15),-0.986526 # DEPENDENCYPART_ARC
(13,18),-1.43075 # DEPENDENCYPART_ARC
(14,13),-0.313923 # DEPENDENCYPART_ARC
(14,21),-1.57484 # DEPENDENCYPART_ARC
(15,5),-2.17365 # DEPENDENCYPART_ARC
(15,10),-1.59449 # DEPENDENCYPART_ARC
(15,13),-0.124649 # DEPENDENCYPART_ARC
(15,14),1.60506 # DEPENDENCYPART_ARC
(15,16),-0.0693938 # DEPENDENCYPART_ARC
(15,18),-1.26579 # DEPENDENCYPART_ARC
(15,19),-1.46742 # DEPENDENCYPART_ARC
(15,20),-1.71986 # DEPENDENCYPART_ARC
(15,21),-1.70685 # DEPENDENCYPART_ARC
(15,23),-1.46836 # DEPENDENCYPART_ARC
(15,24),-1.60939 # DEPENDENCYPART_ARC
(16,1),-0.950724 # DEPENDENCYPART_ARC
(16,2),-2.02998 # DEPENDENCYPART_ARC
(16,3),-1.36283 # DEPENDENCYPART_ARC
(16,8),-1.51878 # DEPENDENCYPART_ARC
