# _root_ The ordinance , in Moon Township , prohibits locating a group home for the handicapped within a mile of another such facility .
#goldHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,9,18,16,18,22,22,19,8,
#predictedHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,15,18,16,18,22,22,19,8,
(0,2),-2.2548 # DEPENDENCYPART_ARC
(0,6),-2.93161 # DEPENDENCYPART_ARC
(0,8),-1.50573 # DEPENDENCYPART_ARC
(0,9),-2.06595 # DEPENDENCYPART_ARC
(1,2),-0.573766 # DEPENDENCYPART_ARC
(1,3),-1.43621 # DEPENDENCYPART_ARC
(1,4),-2.04625 # DEPENDENCYPART_ARC
(1,7),-1.90356 # DEPENDENCYPART_ARC
(2,1),1.14941 # DEPENDENCYPART_ARC
(2,3),-0.496825 # DEPENDENCYPART_ARC
(2,4),-1.85551 # DEPENDENCYPART_ARC
(2,5),-1.8354 # DEPENDENCYPART_ARC
(2,6),-2.00526 # DEPENDENCYPART_ARC
(2,7),-1.49851 # DEPENDENCYPART_ARC
(2,8),-1.85319 # DEPENDENCYPART_ARC
(2,9),-2.31441 # DEPENDENCYPART_ARC
(2,12),-2.257 # DEPENDENCYPART_ARC
(2,13),-2.07885 # DEPENDENCYPART_ARC
(2,16),-2.33981 # DEPENDENCYPART_ARC
(2,23),-2.80627 # DEPENDENCYPART_ARC
(3,4),-0.782155 # DEPENDENCYPART_ARC
(4,2),-1.98325 # DEPENDENCYPART_ARC
(4,3),-0.169487 # DEPENDENCYPART_ARC
(4,5),0.0632966 # DEPENDENCYPART_ARC
(4,6),-0.405058 # DEPENDENCYPART_ARC
(4,7),-1.11408 # DEPENDENCYPART_ARC
(4,9),-2.19492 # DEPENDENCYPART_ARC
(5,3),-2.90835 # DEPENDENCYPART_ARC
(5,6),-0.677019 # DEPENDENCYPART_ARC
(5,7),-1.87543 # DEPENDENCYPART_ARC
(6,1),-1.82573 # DEPENDENCYPART_ARC
(6,2),-1.87763 # DEPENDENCYPART_ARC
(6,3),-1.85332 # DEPENDENCYPART_ARC
(6,4),-1.39145 # DEPENDENCYPART_ARC
(6,5),1.5512 # DEPENDENCYPART_ARC
(6,7),-0.0166721 # DEPENDENCYPART_ARC
(6,8),-1.79765 # DEPENDENCYPART_ARC
(6,9),-2.40171 # DEPENDENCYPART_ARC
(6,12),-1.74127 # DEPENDENCYPART_ARC
