# _root_ Far better for policy makers to concentrate on the war against drugs , Panama and the deficit , all of them parades that seem never to end .
#goldHeads=3,1,0,5,6,3,6,7,10,8,10,11,10,10,14,17,15,10,22,19,20,10,24,22,26,24,26,3,
#predictedHeads=2,0,2,5,6,3,6,7,10,8,10,11,12,12,14,17,15,12,12,19,22,20,24,22,24,24,26,2,
(0,1),-3.15447 # DEPENDENCYPART_ARC
(0,2),-3.51107 # DEPENDENCYPART_ARC
(0,3),-4.18586 # DEPENDENCYPART_ARC
(0,5),-3.54085 # DEPENDENCYPART_ARC
(0,6),-4.34019 # DEPENDENCYPART_ARC
(0,7),-4.26963 # DEPENDENCYPART_ARC
(0,22),-3.05052 # DEPENDENCYPART_ARC
(0,24),-2.44373 # DEPENDENCYPART_ARC
(0,27),-5.51807 # DEPENDENCYPART_ARC
(1,2),0.250549 # DEPENDENCYPART_ARC
(1,3),-0.876319 # DEPENDENCYPART_ARC
(1,4),-1.4704 # DEPENDENCYPART_ARC
(1,5),-1.70996 # DEPENDENCYPART_ARC
(1,6),-1.43402 # DEPENDENCYPART_ARC
(1,8),-1.54099 # DEPENDENCYPART_ARC
(1,10),-2.61863 # DEPENDENCYPART_ARC
(1,11),-1.99634 # DEPENDENCYPART_ARC
(1,15),-1.55294 # DEPENDENCYPART_ARC
(1,20),-2.56191 # DEPENDENCYPART_ARC
(1,28),-3.00965 # DEPENDENCYPART_ARC
(2,1),-0.374165 # DEPENDENCYPART_ARC
(2,3),-0.246199 # DEPENDENCYPART_ARC
(2,4),-1.15225 # DEPENDENCYPART_ARC
(2,5),-1.40289 # DEPENDENCYPART_ARC
(2,6),-1.27379 # DEPENDENCYPART_ARC
(2,7),-1.98889 # DEPENDENCYPART_ARC
(2,8),-1.3282 # DEPENDENCYPART_ARC
(2,10),-2.34472 # DEPENDENCYPART_ARC
(2,11),-1.48795 # DEPENDENCYPART_ARC
(2,20),-2.03191 # DEPENDENCYPART_ARC
(2,28),-1.23478 # DEPENDENCYPART_ARC
(3,1),-1.55721 # DEPENDENCYPART_ARC
(3,2),-1.17391 # DEPENDENCYPART_ARC
(3,4),0.402172 # DEPENDENCYPART_ARC
(3,5),0.234014 # DEPENDENCYPART_ARC
(3,6),-0.682883 # DEPENDENCYPART_ARC
(3,7),-1.59136 # DEPENDENCYPART_ARC
(3,8),-1.83366 # DEPENDENCYPART_ARC
(3,13),-1.53047 # DEPENDENCYPART_ARC
(3,15),-1.80275 # DEPENDENCYPART_ARC
(3,26),-3.18165 # DEPENDENCYPART_ARC
(3,28),-3.18399 # DEPENDENCYPART_ARC
(4,1),-2.68211 # DEPENDENCYPART_ARC
(4,2),-1.94221 # DEPENDENCYPART_ARC
(4,3),-1.59709 # DEPENDENCYPART_ARC
(4,5),-1.08385 # DEPENDENCYPART_ARC
(4,6),-1.38255 # DEPENDENCYPART_ARC
(4,8),-1.46918 # DEPENDENCYPART_ARC
(5,1),-1.66848 # DEPENDENCYPART_ARC
(5,2),-1.19484 # DEPENDENCYPART_ARC
(5,3),-1.41029 # DEPENDENCYPART_ARC
(5,4),1.77585 # DEPENDENCYPART_ARC
(5,6),-0.447115 # DEPENDENCYPART_ARC
(5,7),-1.46261 # DEPENDENCYPART_ARC
(5,8),-0.69837 # DEPENDENCYPART_ARC
(5,10),-1.83061 # DEPENDENCYPART_ARC
(5,11),-1.26884 # DEPENDENCYPART_ARC
(5,12),-1.87555 # DEPENDENCYPART_ARC
(5,13),-1.43238 # DEPENDENCYPART_ARC
