# _root_ Ms. Johnson tells them that , if the appliances ca n't be salvaged , their policy covers the replacement cost .
#goldHeads=2,3,0,3,17,17,10,9,10,17,10,10,12,17,16,17,3,20,20,17,3,
#predictedHeads=2,3,0,3,10,10,10,9,10,3,10,10,12,17,16,17,13,20,20,17,3,
(0,1),-1.75855 # DEPENDENCYPART_ARC
(0,2),-2.50368 # DEPENDENCYPART_ARC
(0,3),-1.932 # DEPENDENCYPART_ARC
(0,10),-3.25271 # DEPENDENCYPART_ARC
(0,12),-3.57097 # DEPENDENCYPART_ARC
(0,13),-3.78787 # DEPENDENCYPART_ARC
(0,17),-2.50064 # DEPENDENCYPART_ARC
(1,2),-0.615778 # DEPENDENCYPART_ARC
(1,3),-0.905115 # DEPENDENCYPART_ARC
(1,4),-1.55171 # DEPENDENCYPART_ARC
(1,5),-1.47734 # DEPENDENCYPART_ARC
(1,10),-2.06037 # DEPENDENCYPART_ARC
(1,14),-1.96169 # DEPENDENCYPART_ARC
(1,21),-2.61689 # DEPENDENCYPART_ARC
(2,1),1.45373 # DEPENDENCYPART_ARC
(2,3),-0.516782 # DEPENDENCYPART_ARC
(2,4),-1.38062 # DEPENDENCYPART_ARC
(2,5),-1.42862 # DEPENDENCYPART_ARC
(2,6),-1.72809 # DEPENDENCYPART_ARC
(2,9),-2.01689 # DEPENDENCYPART_ARC
(2,10),-2.13077 # DEPENDENCYPART_ARC
(2,14),-1.79869 # DEPENDENCYPART_ARC
(2,17),-2.571 # DEPENDENCYPART_ARC
(2,20),-1.87936 # DEPENDENCYPART_ARC
(2,21),-2.60232 # DEPENDENCYPART_ARC
(3,1),-0.428861 # DEPENDENCYPART_ARC
(3,2),0.701847 # DEPENDENCYPART_ARC
(3,4),0.578724 # DEPENDENCYPART_ARC
(3,5),-0.394475 # DEPENDENCYPART_ARC
(3,6),-0.538267 # DEPENDENCYPART_ARC
(3,7),-1.57856 # DEPENDENCYPART_ARC
(3,9),-2.01873 # DEPENDENCYPART_ARC
(3,10),-1.44986 # DEPENDENCYPART_ARC
(3,11),-1.41045 # DEPENDENCYPART_ARC
(3,12),-1.42705 # DEPENDENCYPART_ARC
(3,13),-1.57302 # DEPENDENCYPART_ARC
(3,14),-1.49078 # DEPENDENCYPART_ARC
(3,16),-2.10143 # DEPENDENCYPART_ARC
(3,17),-1.44258 # DEPENDENCYPART_ARC
(3,21),-0.800648 # DEPENDENCYPART_ARC
