# _root_ `` The market was pretty dull '' for most of the day , said Robert H. Chandross , vice president at Lloyds Bank PLC .
#goldHeads=14,3,4,14,6,4,4,4,8,9,12,10,14,0,17,17,14,17,20,17,20,24,24,21,14,
#predictedHeads=4,3,4,14,6,4,6,6,8,9,12,10,14,0,17,17,14,17,20,17,20,24,24,21,14,
(0,3),-2.50756 # DEPENDENCYPART_ARC
(0,4),-2.01259 # DEPENDENCYPART_ARC
(0,6),-2.61957 # DEPENDENCYPART_ARC
(0,8),-2.79396 # DEPENDENCYPART_ARC
(0,14),-1.56404 # DEPENDENCYPART_ARC
(2,4),-1.04924 # DEPENDENCYPART_ARC
(2,8),-1.55817 # DEPENDENCYPART_ARC
(2,10),-1.62192 # DEPENDENCYPART_ARC
(3,1),-0.726656 # DEPENDENCYPART_ARC
(3,2),1.37636 # DEPENDENCYPART_ARC
(3,4),-0.257636 # DEPENDENCYPART_ARC
(3,5),-1.25635 # DEPENDENCYPART_ARC
(3,6),-1.45515 # DEPENDENCYPART_ARC
(3,7),-1.27905 # DEPENDENCYPART_ARC
(3,8),-1.42934 # DEPENDENCYPART_ARC
(3,9),-1.62847 # DEPENDENCYPART_ARC
(3,10),-1.62714 # DEPENDENCYPART_ARC
(3,13),-1.91135 # DEPENDENCYPART_ARC
(3,17),-2.2517 # DEPENDENCYPART_ARC
(4,1),-0.304648 # DEPENDENCYPART_ARC
(4,2),-0.327034 # DEPENDENCYPART_ARC
(4,3),0.741868 # DEPENDENCYPART_ARC
(4,5),0.39977 # DEPENDENCYPART_ARC
(4,6),-0.0747326 # DEPENDENCYPART_ARC
(4,7),-0.592289 # DEPENDENCYPART_ARC
(4,8),-0.679137 # DEPENDENCYPART_ARC
(4,10),-1.09608 # DEPENDENCYPART_ARC
(4,12),-1.16213 # DEPENDENCYPART_ARC
(4,13),-0.860268 # DEPENDENCYPART_ARC
(4,14),-2.17836 # DEPENDENCYPART_ARC
(4,18),-1.98019 # DEPENDENCYPART_ARC
(4,21),-1.98198 # DEPENDENCYPART_ARC
