# _root_ Some lawyers say the slump , while more obvious in recent weeks , began earlier this year .
#goldHeads=2,3,0,5,14,14,9,9,14,9,12,10,14,3,17,17,14,3,
#predictedHeads=2,3,0,5,14,5,14,9,5,9,12,10,5,3,17,17,14,3,
(0,2),-2.09754 # DEPENDENCYPART_ARC
(0,3),-1.38031 # DEPENDENCYPART_ARC
(0,14),-1.55654 # DEPENDENCYPART_ARC
(1,2),-0.26544 # DEPENDENCYPART_ARC
(1,3),-1.01753 # DEPENDENCYPART_ARC
(1,6),-1.1986 # DEPENDENCYPART_ARC
(2,1),1.11877 # DEPENDENCYPART_ARC
(2,3),-0.356572 # DEPENDENCYPART_ARC
(2,5),-1.47695 # DEPENDENCYPART_ARC
(2,6),-1.65866 # DEPENDENCYPART_ARC
(2,8),-1.97984 # DEPENDENCYPART_ARC
(2,9),-2.03745 # DEPENDENCYPART_ARC
(2,10),-2.37048 # DEPENDENCYPART_ARC
(2,12),-2.07633 # DEPENDENCYPART_ARC
(2,13),-1.94177 # DEPENDENCYPART_ARC
(2,14),-2.38723 # DEPENDENCYPART_ARC
(2,17),-2.09991 # DEPENDENCYPART_ARC
(2,18),-2.33173 # DEPENDENCYPART_ARC
(3,1),-0.312382 # DEPENDENCYPART_ARC
(3,2),0.736452 # DEPENDENCYPART_ARC
(3,4),0.202921 # DEPENDENCYPART_ARC
(3,5),0.0107301 # DEPENDENCYPART_ARC
(3,6),-0.512793 # DEPENDENCYPART_ARC
(3,7),-1.52482 # DEPENDENCYPART_ARC
(3,8),-1.49342 # DEPENDENCYPART_ARC
(3,9),-1.31477 # DEPENDENCYPART_ARC
(3,10),-1.79533 # DEPENDENCYPART_ARC
(3,11),-1.72355 # DEPENDENCYPART_ARC
(3,12),-1.96034 # DEPENDENCYPART_ARC
(3,13),-1.32084 # DEPENDENCYPART_ARC
(3,14),-1.01155 # DEPENDENCYPART_ARC
(3,15),-1.68276 # DEPENDENCYPART_ARC
(3,17),-1.91588 # DEPENDENCYPART_ARC
(3,18),0.728896 # DEPENDENCYPART_ARC
(4,6),-1.17778 # DEPENDENCYPART_ARC
(4,7),-1.8684 # DEPENDENCYPART_ARC
(5,1),-1.60759 # DEPENDENCYPART_ARC
(5,2),-1.3101 # DEPENDENCYPART_ARC
(5,3),-0.778945 # DEPENDENCYPART_ARC
(5,4),1.02867 # DEPENDENCYPART_ARC
(5,6),-0.289036 # DEPENDENCYPART_ARC
(5,7),-1.85718 # DEPENDENCYPART_ARC
(5,8),-1.73158 # DEPENDENCYPART_ARC
(5,9),-1.88109 # DEPENDENCYPART_ARC
(5,10),-2.11371 # DEPENDENCYPART_ARC
(5,11),-2.01745 # DEPENDENCYPART_ARC
(5,12),-1.93271 # DEPENDENCYPART_ARC
(5,13),-1.47391 # DEPENDENCYPART_ARC
(5,14),-2.0321 # DEPENDENCYPART_ARC
(5,15),-1.82388 # DEPENDENCYPART_ARC
(5,17),-2.29745 # DEPENDENCYPART_ARC
(5,18),-2.1422 # DEPENDENCYPART_ARC
(6,7),-0.596554 # DEPENDENCYPART_ARC
(7,5),-1.65728 # DEPENDENCYPART_ARC
(7,6),-0.0426915 # DEPENDENCYPART_ARC
(7,8),-0.443159 # DEPENDENCYPART_ARC
(7,9),-1.09397 # DEPENDENCYPART_ARC
(7,10),-1.48841 # DEPENDENCYPART_ARC
(7,11),-1.55814 # DEPENDENCYPART_ARC
(7,12),-1.45592 # DEPENDENCYPART_ARC
(7,13),-1.4592 # DEPENDENCYPART_ARC
(7,14),-2.06635 # DEPENDENCYPART_ARC
(7,15),-2.18728 # DEPENDENCYPART_ARC
(8,5),-1.63792 # DEPENDENCYPART_ARC
(8,9),-0.113049 # DEPENDENCYPART_ARC
(8,10),-0.7547 # DEPENDENCYPART_ARC
(9,5),-1.31783 # DEPENDENCYPART_ARC
(9,6),-0.950673 # DEPENDENCYPART_ARC
(9,7),-0.628924 # DEPENDENCYPART_ARC
(9,8),0.625668 # DEPENDENCYPART_ARC
(9,10),0.340716 # DEPENDENCYPART_ARC
(9,11),-0.614786 # DEPENDENCYPART_ARC
(9,12),-1.05264 # DEPENDENCYPART_ARC
(9,13),-0.870697 # DEPENDENCYPART_ARC
(9,14),-1.44114 # DEPENDENCYPART_ARC
(9,17),-1.90905 # DEPENDENCYPART_ARC
(9,18),-1.57021 # DEPENDENCYPART_ARC
(10,5),-2.02794 # DEPENDENCYPART_ARC
(10,7),-1.12311 # DEPENDENCYPART_ARC
(10,9),-0.408951 # DEPENDENCYPART_ARC
(10,11),0.205232 # DEPENDENCYPART_ARC
(10,12),0.233203 # DEPENDENCYPART_ARC
(10,13),-0.928456 # DEPENDENCYPART_ARC
(10,14),-1.53449 # DEPENDENCYPART_ARC
(10,15),-1.5813 # DEPENDENCYPART_ARC
(10,17),-2.48702 # DEPENDENCYPART_ARC
(10,18),-1.72639 # DEPENDENCYPART_ARC
(11,5),-1.98743 # DEPENDENCYPART_ARC
(11,7),-1.56942 # DEPENDENCYPART_ARC
(11,9),-1.44325 # DEPENDENCYPART_ARC
