# _root_ `` We wo n't have any more of this wayward behavior , '' says Sir Peter Hordern , a backbench Tory member of Parliament .
#goldHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
#predictedHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
(0,3),-2.2569 # DEPENDENCYPART_ARC
(0,5),-2.20939 # DEPENDENCYPART_ARC
(0,7),-2.6856 # DEPENDENCYPART_ARC
(0,14),-1.23509 # DEPENDENCYPART_ARC
(2,3),-0.231049 # DEPENDENCYPART_ARC
(2,5),-1.16631 # DEPENDENCYPART_ARC
(2,8),-1.38806 # DEPENDENCYPART_ARC
(3,1),-0.702012 # DEPENDENCYPART_ARC
(3,2),0.926824 # DEPENDENCYPART_ARC
(3,4),1.13895 # DEPENDENCYPART_ARC
(3,5),0.768669 # DEPENDENCYPART_ARC
(3,8),-1.15599 # DEPENDENCYPART_ARC
(3,11),-1.23041 # DEPENDENCYPART_ARC
(3,12),-1.21532 # DEPENDENCYPART_ARC
(3,13),-1.30942 # DEPENDENCYPART_ARC
(3,14),-1.8787 # DEPENDENCYPART_ARC
(3,18),-1.78126 # DEPENDENCYPART_ARC
(3,25),0.0441075 # DEPENDENCYPART_ARC
(4,2),-1.67901 # DEPENDENCYPART_ARC
(4,5),-0.66993 # DEPENDENCYPART_ARC
(4,6),-1.66151 # DEPENDENCYPART_ARC
(4,8),-1.81891 # DEPENDENCYPART_ARC
(4,14),-2.53937 # DEPENDENCYPART_ARC
(5,1),-1.37583 # DEPENDENCYPART_ARC
(5,2),-1.40286 # DEPENDENCYPART_ARC
(5,3),-1.47466 # DEPENDENCYPART_ARC
(5,4),0.042445 # DEPENDENCYPART_ARC
(5,6),0.0333666 # DEPENDENCYPART_ARC
(5,7),-0.567327 # DEPENDENCYPART_ARC
(5,8),-0.998248 # DEPENDENCYPART_ARC
(5,9),-1.16797 # DEPENDENCYPART_ARC
(5,10),-1.33181 # DEPENDENCYPART_ARC
(5,11),-0.468521 # DEPENDENCYPART_ARC
(5,12),-1.07527 # DEPENDENCYPART_ARC
(5,13),-1.16068 # DEPENDENCYPART_ARC
(5,14),-1.94847 # DEPENDENCYPART_ARC
(5,17),-1.89226 # DEPENDENCYPART_ARC
(5,18),-2.05803 # DEPENDENCYPART_ARC
(5,22),-1.18993 # DEPENDENCYPART_ARC
(5,25),-0.266267 # DEPENDENCYPART_ARC
(6,5),-0.228754 # DEPENDENCYPART_ARC
(6,7),-0.27934 # DEPENDENCYPART_ARC
(6,8),-0.915895 # DEPENDENCYPART_ARC
(6,12),-1.07978 # DEPENDENCYPART_ARC
(6,13),-1.50739 # DEPENDENCYPART_ARC
(7,4),-1.15325 # DEPENDENCYPART_ARC
(7,6),0.680788 # DEPENDENCYPART_ARC
(7,8),0.702274 # DEPENDENCYPART_ARC
(7,10),-0.355603 # DEPENDENCYPART_ARC
(7,11),-0.93019 # DEPENDENCYPART_ARC
(7,12),-0.886943 # DEPENDENCYPART_ARC
(7,13),-0.995396 # DEPENDENCYPART_ARC
(7,14),-1.22489 # DEPENDENCYPART_ARC
(8,6),-1.73427 # DEPENDENCYPART_ARC
(8,7),-0.737925 # DEPENDENCYPART_ARC
(8,9),0.230734 # DEPENDENCYPART_ARC
(8,10),-0.692395 # DEPENDENCYPART_ARC
(8,11),-0.291232 # DEPENDENCYPART_ARC
(8,12),-1.17309 # DEPENDENCYPART_ARC
(8,13),-1.51921 # DEPENDENCYPART_ARC
(8,14),-1.91406 # DEPENDENCYPART_ARC
(8,17),-2.59118 # DEPENDENCYPART_ARC
(8,22),-2.84794 # DEPENDENCYPART_ARC
(9,10),-0.445962 # DEPENDENCYPART_ARC
(9,12),-1.2459 # DEPENDENCYPART_ARC
(9,13),-1.68193 # DEPENDENCYPART_ARC
(10,6),-1.38544 # DEPENDENCYPART_ARC
(10,7),-1.29897 # DEPENDENCYPART_ARC
(10,8),-1.27958 # DEPENDENCYPART_ARC
(10,9),0.0751256 # DEPENDENCYPART_ARC
(10,12),-1.28123 # DEPENDENCYPART_ARC
(10,13),-1.56529 # DEPENDENCYPART_ARC
(10,14),-1.84364 # DEPENDENCYPART_ARC
(10,22),-2.08619 # DEPENDENCYPART_ARC
(11,1),-1.46505 # DEPENDENCYPART_ARC
(11,6),-1.43966 # DEPENDENCYPART_ARC
(11,7),-1.30941 # DEPENDENCYPART_ARC
(11,8),-1.04934 # DEPENDENCYPART_ARC
(11,9),0.214613 # DEPENDENCYPART_ARC
(11,10),1.53897 # DEPENDENCYPART_ARC
(11,12),-0.0799168 # DEPENDENCYPART_ARC
(11,13),-1.4512 # DEPENDENCYPART_ARC
(11,14),-1.88848 # DEPENDENCYPART_ARC
(11,15),-1.78217 # DEPENDENCYPART_ARC
(11,16),-1.91787 # DEPENDENCYPART_ARC
(11,17),-1.84451 # DEPENDENCYPART_ARC
(11,18),-1.66051 # DEPENDENCYPART_ARC
(11,20),-1.90915 # DEPENDENCYPART_ARC
(11,22),-2.30829 # DEPENDENCYPART_ARC
(11,23),-2.39387 # DEPENDENCYPART_ARC
(12,8),-1.01468 # DEPENDENCYPART_ARC
(14,1),-0.768409 # DEPENDENCYPART_ARC
(14,2),-2.15579 # DEPENDENCYPART_ARC
(14,3),-1.17178 # DEPENDENCYPART_ARC
(14,4),-2.13049 # DEPENDENCYPART_ARC
(14,5),-1.12624 # DEPENDENCYPART_ARC
(14,6),-1.89435 # DEPENDENCYPART_ARC
(14,7),-1.69625 # DEPENDENCYPART_ARC
(14,8),-1.47045 # DEPENDENCYPART_ARC
(14,9),-1.75333 # DEPENDENCYPART_ARC
(14,10),-1.59275 # DEPENDENCYPART_ARC
(14,11),-1.90935 # DEPENDENCYPART_ARC
(14,12),-0.191099 # DEPENDENCYPART_ARC
(14,13),0.753588 # DEPENDENCYPART_ARC
(14,15),0.256613 # DEPENDENCYPART_ARC
(14,16),-0.342591 # DEPENDENCYPART_ARC
(14,17),-0.281074 # DEPENDENCYPART_ARC
(14,18),-1.04561 # DEPENDENCYPART_ARC
(14,20),-1.45221 # DEPENDENCYPART_ARC
(14,22),-1.84775 # DEPENDENCYPART_ARC
(14,25),0.784568 # DEPENDENCYPART_ARC
(15,16),-0.564085 # DEPENDENCYPART_ARC
(15,17),-1.60736 # DEPENDENCYPART_ARC
(15,18),-2.00942 # DEPENDENCYPART_ARC
(15,22),-2.23597 # DEPENDENCYPART_ARC
(16,15),0.160698 # DEPENDENCYPART_ARC
(16,17),-0.886625 # DEPENDENCYPART_ARC
(16,18),-1.87858 # DEPENDENCYPART_ARC
(16,22),-2.29954 # DEPENDENCYPART_ARC
(17,9),-2.72473 # DEPENDENCYPART_ARC
(17,10),-2.09838 # DEPENDENCYPART_ARC
(17,11),-2.39042 # DEPENDENCYPART_ARC
(17,12),-1.71688 # DEPENDENCYPART_ARC
(17,15),0.818249 # DEPENDENCYPART_ARC
(17,16),1.54061 # DEPENDENCYPART_ARC
(17,18),0.302462 # DEPENDENCYPART_ARC
(17,20),-1.87986 # DEPENDENCYPART_ARC
(17,21),-1.76143 # DEPENDENCYPART_ARC
(17,22),-1.74871 # DEPENDENCYPART_ARC
(17,23),-2.21892 # DEPENDENCYPART_ARC
(17,24),-2.04091 # DEPENDENCYPART_ARC
(17,25),-1.78352 # DEPENDENCYPART_ARC
(19,18),0.00467095 # DEPENDENCYPART_ARC
(19,20),-0.559837 # DEPENDENCYPART_ARC
(19,23),-1.54918 # DEPENDENCYPART_ARC
(20,17),-1.59927 # DEPENDENCYPART_ARC
(20,18),-1.34698 # DEPENDENCYPART_ARC
(20,19),-0.048583 # DEPENDENCYPART_ARC
(20,21),-0.310762 # DEPENDENCYPART_ARC
(20,23),-1.24468 # DEPENDENCYPART_ARC
(20,24),-1.54365 # DEPENDENCYPART_ARC
(21,19),-1.27622 # DEPENDENCYPART_ARC
(21,20),-0.342381 # DEPENDENCYPART_ARC
(21,22),-0.625084 # DEPENDENCYPART_ARC
(21,23),-1.10841 # DEPENDENCYPART_ARC
(21,24),-1.88041 # DEPENDENCYPART_ARC
(22,9),-2.37922 # DEPENDENCYPART_ARC
(22,10),-1.66131 # DEPENDENCYPART_ARC
(22,11),-2.35643 # DEPENDENCYPART_ARC
(22,13),-2.28728 # DEPENDENCYPART_ARC
(22,15),-1.57134 # DEPENDENCYPART_ARC
(22,16),-1.68523 # DEPENDENCYPART_ARC
(22,17),-1.84564 # DEPENDENCYPART_ARC
(22,18),-1.64754 # DEPENDENCYPART_ARC
(22,19),-0.477093 # DEPENDENCYPART_ARC
(22,20),0.179251 # DEPENDENCYPART_ARC
(22,21),1.74567 # DEPENDENCYPART_ARC
(22,23),0.498772 # DEPENDENCYPART_ARC
(22,24),-0.95554 # DEPENDENCYPART_ARC
(22,25),-0.813637 # DEPENDENCYPART_ARC
(23,22),-0.598705 # DEPENDENCYPART_ARC
(23,24),0.711294 # DEPENDENCYPART_ARC
(24,19),-2.24072 # DEPENDENCYPART_ARC
(24,20),-2.14792 # DEPENDENCYPART_ARC
(24,21),-1.41517 # DEPENDENCYPART_ARC
(24,25),-0.421287 # DEPENDENCYPART_ARC
(25,23),-1.42057 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.114209 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0129774 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.125276 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0750023 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.260701 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0919797 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00224094 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.000702823 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.052572 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0764621 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.117196 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0555186 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0506067 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00213468 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00907817 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.542065 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0601511 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00907817 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.00100504 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.195766 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0670658 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0868973 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0466368 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.000902712 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0106268 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0384515 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.000902712 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.00380104 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0667836 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0383564 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0100513 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.154271 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.003017 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0422041 # DEPENDENCYPART_SIBL
