# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(0,9),-1.47155 # DEPENDENCYPART_ARC
(0,19),1.9469 # DEPENDENCYPART_ARC
(1,2),-0.792955 # DEPENDENCYPART_ARC
(1,3),0.550708 # DEPENDENCYPART_ARC
(1,4),-1.84978 # DEPENDENCYPART_ARC
(1,5),-0.720313 # DEPENDENCYPART_ARC
(1,6),-1.16014 # DEPENDENCYPART_ARC
(1,7),-1.512 # DEPENDENCYPART_ARC
(1,8),-2.89938 # DEPENDENCYPART_ARC
(1,9),-0.346437 # DEPENDENCYPART_ARC
(1,10),-1.97913 # DEPENDENCYPART_ARC
(1,11),-1.47336 # DEPENDENCYPART_ARC
(1,15),-1.46414 # DEPENDENCYPART_ARC
(1,16),-1.48758 # DEPENDENCYPART_ARC
(1,19),-2.33172 # DEPENDENCYPART_ARC
(2,1),-1.83131 # DEPENDENCYPART_ARC
(2,5),-2.49968 # DEPENDENCYPART_ARC
(2,6),-2.36091 # DEPENDENCYPART_ARC
(3,1),-1.49721 # DEPENDENCYPART_ARC
(3,2),1.26435 # DEPENDENCYPART_ARC
(3,4),-0.999122 # DEPENDENCYPART_ARC
(3,5),-0.772046 # DEPENDENCYPART_ARC
(3,6),-0.729129 # DEPENDENCYPART_ARC
(3,7),-1.326 # DEPENDENCYPART_ARC
(3,8),-1.77129 # DEPENDENCYPART_ARC
(3,9),-1.13019 # DEPENDENCYPART_ARC
(3,10),-1.67846 # DEPENDENCYPART_ARC
(3,11),-1.77679 # DEPENDENCYPART_ARC
(3,14),-2.28787 # DEPENDENCYPART_ARC
(3,15),-1.47201 # DEPENDENCYPART_ARC
(3,16),-1.37857 # DEPENDENCYPART_ARC
(3,18),-3.01349 # DEPENDENCYPART_ARC
(3,19),-2.51027 # DEPENDENCYPART_ARC
(4,1),-1.82992 # DEPENDENCYPART_ARC
(4,3),-1.55149 # DEPENDENCYPART_ARC
(4,5),-1.64676 # DEPENDENCYPART_ARC
(4,6),-2.08272 # DEPENDENCYPART_ARC
(4,7),-2.2635 # DEPENDENCYPART_ARC
(4,9),-0.680789 # DEPENDENCYPART_ARC
(4,19),-1.0442 # DEPENDENCYPART_ARC
(5,1),-1.78796 # DEPENDENCYPART_ARC
(5,2),-0.427945 # DEPENDENCYPART_ARC
(5,3),-1.19951 # DEPENDENCYPART_ARC
(5,4),0.597823 # DEPENDENCYPART_ARC
(5,6),-1.09004 # DEPENDENCYPART_ARC
(5,7),-1.29538 # DEPENDENCYPART_ARC
(5,8),-2.03525 # DEPENDENCYPART_ARC
(5,9),-1.55887 # DEPENDENCYPART_ARC
(5,10),-1.96316 # DEPENDENCYPART_ARC
(5,11),-2.09267 # DEPENDENCYPART_ARC
(5,14),-2.0728 # DEPENDENCYPART_ARC
(5,15),-1.89491 # DEPENDENCYPART_ARC
(5,16),-1.50986 # DEPENDENCYPART_ARC
(5,18),-3.33247 # DEPENDENCYPART_ARC
(7,1),-3.09786 # DEPENDENCYPART_ARC
(7,4),-3.07034 # DEPENDENCYPART_ARC
(7,5),-2.92997 # DEPENDENCYPART_ARC
(7,6),-2.11347 # DEPENDENCYPART_ARC
