# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(0,1),-1.8689 # DEPENDENCYPART_ARC
(0,2),-2.47111 # DEPENDENCYPART_ARC
(0,3),-2.40233 # DEPENDENCYPART_ARC
(0,4),-2.4848 # DEPENDENCYPART_ARC
(0,5),-2.87248 # DEPENDENCYPART_ARC
(0,7),-3.20296 # DEPENDENCYPART_ARC
(0,13),-2.9065 # DEPENDENCYPART_ARC
(0,14),-3.42067 # DEPENDENCYPART_ARC
(0,28),-2.1762 # DEPENDENCYPART_ARC
(1,2),0.527807 # DEPENDENCYPART_ARC
(1,4),-1.09634 # DEPENDENCYPART_ARC
(1,5),-1.54263 # DEPENDENCYPART_ARC
(1,6),-1.79877 # DEPENDENCYPART_ARC
(1,9),-2.09352 # DEPENDENCYPART_ARC
(2,1),-0.570327 # DEPENDENCYPART_ARC
(2,4),-0.487621 # DEPENDENCYPART_ARC
(2,5),-1.28698 # DEPENDENCYPART_ARC
(2,6),-1.513 # DEPENDENCYPART_ARC
(2,7),-1.4229 # DEPENDENCYPART_ARC
(2,9),-1.37516 # DEPENDENCYPART_ARC
(2,10),-1.9226 # DEPENDENCYPART_ARC
(2,12),-1.82541 # DEPENDENCYPART_ARC
(2,13),-2.10662 # DEPENDENCYPART_ARC
(2,36),-2.35582 # DEPENDENCYPART_ARC
(3,4),-0.335542 # DEPENDENCYPART_ARC
(3,7),-1.62473 # DEPENDENCYPART_ARC
(4,1),-0.827879 # DEPENDENCYPART_ARC
(4,2),-1.27101 # DEPENDENCYPART_ARC
(4,3),0.48804 # DEPENDENCYPART_ARC
(4,5),0.828863 # DEPENDENCYPART_ARC
(4,6),-0.363808 # DEPENDENCYPART_ARC
(4,7),-0.0590867 # DEPENDENCYPART_ARC
(4,9),-0.679307 # DEPENDENCYPART_ARC
(4,10),-1.15771 # DEPENDENCYPART_ARC
(4,13),-1.59146 # DEPENDENCYPART_ARC
(4,14),-1.59868 # DEPENDENCYPART_ARC
(4,20),-1.65176 # DEPENDENCYPART_ARC
(4,27),-1.87135 # DEPENDENCYPART_ARC
(4,28),-1.25456 # DEPENDENCYPART_ARC
(4,32),-2.14818 # DEPENDENCYPART_ARC
(4,36),-1.20812 # DEPENDENCYPART_ARC
(5,1),-1.5581 # DEPENDENCYPART_ARC
(5,2),-1.44196 # DEPENDENCYPART_ARC
(5,3),-1.35296 # DEPENDENCYPART_ARC
(5,4),-0.199704 # DEPENDENCYPART_ARC
(5,6),0.0319307 # DEPENDENCYPART_ARC
(5,7),-0.652705 # DEPENDENCYPART_ARC
(5,9),-1.36655 # DEPENDENCYPART_ARC
(5,10),-1.58491 # DEPENDENCYPART_ARC
(5,13),-1.8003 # DEPENDENCYPART_ARC
(6,1),-1.30483 # DEPENDENCYPART_ARC
(6,3),-1.04923 # DEPENDENCYPART_ARC
(6,5),-0.0404325 # DEPENDENCYPART_ARC
(6,7),-0.443648 # DEPENDENCYPART_ARC
(6,9),-1.96184 # DEPENDENCYPART_ARC
(7,1),-0.738385 # DEPENDENCYPART_ARC
(7,2),-1.3182 # DEPENDENCYPART_ARC
(7,3),-1.09058 # DEPENDENCYPART_ARC
(7,4),-1.34959 # DEPENDENCYPART_ARC
(7,5),-0.692955 # DEPENDENCYPART_ARC
(7,6),1.2042 # DEPENDENCYPART_ARC
(7,8),0.204173 # DEPENDENCYPART_ARC
(7,9),0.172939 # DEPENDENCYPART_ARC
(7,10),-1.13055 # DEPENDENCYPART_ARC
(7,11),-1.43587 # DEPENDENCYPART_ARC
(7,12),-1.32359 # DEPENDENCYPART_ARC
(7,13),-1.61756 # DEPENDENCYPART_ARC
(7,14),-1.60817 # DEPENDENCYPART_ARC
(7,15),-2.13337 # DEPENDENCYPART_ARC
(7,16),-1.75838 # DEPENDENCYPART_ARC
(7,20),-2.20136 # DEPENDENCYPART_ARC
(7,27),-2.03646 # DEPENDENCYPART_ARC
(7,28),-1.47929 # DEPENDENCYPART_ARC
(7,32),-2.83533 # DEPENDENCYPART_ARC
(7,36),-1.54237 # DEPENDENCYPART_ARC
(9,1),-1.96537 # DEPENDENCYPART_ARC
(9,2),-2.01509 # DEPENDENCYPART_ARC
(9,3),-1.79366 # DEPENDENCYPART_ARC
(9,5),-1.40937 # DEPENDENCYPART_ARC
(9,6),-1.74856 # DEPENDENCYPART_ARC
(9,7),-0.959181 # DEPENDENCYPART_ARC
(9,8),0.905238 # DEPENDENCYPART_ARC
(9,10),0.0726543 # DEPENDENCYPART_ARC
(9,11),-1.36483 # DEPENDENCYPART_ARC
(9,12),-1.80475 # DEPENDENCYPART_ARC
(9,13),-2.03165 # DEPENDENCYPART_ARC
(9,14),-2.22692 # DEPENDENCYPART_ARC
(9,15),-2.67964 # DEPENDENCYPART_ARC
(9,16),-1.97206 # DEPENDENCYPART_ARC
(9,19),-2.22183 # DEPENDENCYPART_ARC
(9,27),-2.40997 # DEPENDENCYPART_ARC
(9,36),-2.3289 # DEPENDENCYPART_ARC
(11,8),-2.47578 # DEPENDENCYPART_ARC
(11,9),-2.08086 # DEPENDENCYPART_ARC
(11,10),-1.12805 # DEPENDENCYPART_ARC
(11,12),-0.644588 # DEPENDENCYPART_ARC
(11,13),-1.17081 # DEPENDENCYPART_ARC
(11,14),-1.24593 # DEPENDENCYPART_ARC
(12,8),-1.71578 # DEPENDENCYPART_ARC
(12,9),-1.81336 # DEPENDENCYPART_ARC
(12,10),-1.42857 # DEPENDENCYPART_ARC
(12,11),1.37275 # DEPENDENCYPART_ARC
(12,13),-0.71556 # DEPENDENCYPART_ARC
(12,14),-1.19144 # DEPENDENCYPART_ARC
(12,15),-2.0259 # DEPENDENCYPART_ARC
(12,16),-1.53554 # DEPENDENCYPART_ARC
(12,17),-1.8995 # DEPENDENCYPART_ARC
(13,1),-1.64603 # DEPENDENCYPART_ARC
(13,2),-1.60555 # DEPENDENCYPART_ARC
(13,3),-1.3737 # DEPENDENCYPART_ARC
(13,4),-1.49772 # DEPENDENCYPART_ARC
(13,5),-1.71844 # DEPENDENCYPART_ARC
(13,7),-1.40753 # DEPENDENCYPART_ARC
(13,9),-1.3412 # DEPENDENCYPART_ARC
(13,10),-0.575298 # DEPENDENCYPART_ARC
(13,11),-0.288306 # DEPENDENCYPART_ARC
(13,12),1.02826 # DEPENDENCYPART_ARC
(13,14),1.68748 # DEPENDENCYPART_ARC
(13,16),-1.11516 # DEPENDENCYPART_ARC
(13,17),-1.34106 # DEPENDENCYPART_ARC
(13,19),-1.56676 # DEPENDENCYPART_ARC
(13,20),-1.50899 # DEPENDENCYPART_ARC
(13,27),-1.24054 # DEPENDENCYPART_ARC
(13,28),-1.29047 # DEPENDENCYPART_ARC
(13,36),0.0177206 # DEPENDENCYPART_ARC
(14,1),-2.28849 # DEPENDENCYPART_ARC
(14,2),-3.11566 # DEPENDENCYPART_ARC
(14,3),-2.54649 # DEPENDENCYPART_ARC
(14,4),-2.18572 # DEPENDENCYPART_ARC
(14,5),-2.82929 # DEPENDENCYPART_ARC
(14,7),-2.17858 # DEPENDENCYPART_ARC
(14,10),-1.76261 # DEPENDENCYPART_ARC
(14,11),-1.40953 # DEPENDENCYPART_ARC
(14,12),-1.29232 # DEPENDENCYPART_ARC
(14,13),-0.722519 # DEPENDENCYPART_ARC
(14,15),0.0755143 # DEPENDENCYPART_ARC
(14,16),0.196506 # DEPENDENCYPART_ARC
(14,17),-0.746288 # DEPENDENCYPART_ARC
(14,18),-0.970197 # DEPENDENCYPART_ARC
(14,19),-0.528655 # DEPENDENCYPART_ARC
(14,20),-0.58612 # DEPENDENCYPART_ARC
(14,22),-1.23451 # DEPENDENCYPART_ARC
(14,23),-0.916018 # DEPENDENCYPART_ARC
(14,24),-1.55372 # DEPENDENCYPART_ARC
(14,26),-1.5681 # DEPENDENCYPART_ARC
(14,27),-1.14312 # DEPENDENCYPART_ARC
(14,28),-1.3353 # DEPENDENCYPART_ARC
(14,32),-2.29625 # DEPENDENCYPART_ARC
(14,36),-0.675312 # DEPENDENCYPART_ARC
(15,12),-1.44414 # DEPENDENCYPART_ARC
(15,16),-0.215939 # DEPENDENCYPART_ARC
(15,17),-1.079 # DEPENDENCYPART_ARC
(15,18),-1.08836 # DEPENDENCYPART_ARC
(15,19),-1.44739 # DEPENDENCYPART_ARC
(15,20),-1.62172 # DEPENDENCYPART_ARC
(15,23),-1.6247 # DEPENDENCYPART_ARC
(15,24),-1.84137 # DEPENDENCYPART_ARC
(16,3),-2.37522 # DEPENDENCYPART_ARC
(16,4),-2.22443 # DEPENDENCYPART_ARC
(16,8),-2.04575 # DEPENDENCYPART_ARC
(16,11),-1.17268 # DEPENDENCYPART_ARC
(16,12),-1.51764 # DEPENDENCYPART_ARC
(16,14),-1.00958 # DEPENDENCYPART_ARC
(16,15),1.10472 # DEPENDENCYPART_ARC
(16,17),0.606307 # DEPENDENCYPART_ARC
(16,18),-0.919463 # DEPENDENCYPART_ARC
(16,19),-0.914875 # DEPENDENCYPART_ARC
(16,20),-0.764969 # DEPENDENCYPART_ARC
(16,22),-1.18715 # DEPENDENCYPART_ARC
(16,23),-1.18172 # DEPENDENCYPART_ARC
(16,24),-1.45597 # DEPENDENCYPART_ARC
(16,26),-1.66917 # DEPENDENCYPART_ARC
(16,27),-1.55237 # DEPENDENCYPART_ARC
(16,31),-1.40636 # DEPENDENCYPART_ARC
(16,32),-1.90772 # DEPENDENCYPART_ARC
(16,35),-1.57876 # DEPENDENCYPART_ARC
(16,36),-1.79563 # DEPENDENCYPART_ARC
(17,15),-1.50229 # DEPENDENCYPART_ARC
(17,16),-0.464238 # DEPENDENCYPART_ARC
(17,18),-0.141487 # DEPENDENCYPART_ARC
(17,19),-0.177258 # DEPENDENCYPART_ARC
(17,20),-1.56924 # DEPENDENCYPART_ARC
(17,23),-1.9505 # DEPENDENCYPART_ARC
(18,20),-1.33655 # DEPENDENCYPART_ARC
(18,23),-1.87442 # DEPENDENCYPART_ARC
(19,8),-1.96649 # DEPENDENCYPART_ARC
(19,11),-1.44592 # DEPENDENCYPART_ARC
(19,12),-1.87209 # DEPENDENCYPART_ARC
(19,15),-0.727253 # DEPENDENCYPART_ARC
(19,16),-1.04381 # DEPENDENCYPART_ARC
(19,17),-0.848854 # DEPENDENCYPART_ARC
(19,18),1.58528 # DEPENDENCYPART_ARC
(19,20),0.325369 # DEPENDENCYPART_ARC
(19,23),-1.60661 # DEPENDENCYPART_ARC
(19,24),-1.52266 # DEPENDENCYPART_ARC
(19,25),-1.58008 # DEPENDENCYPART_ARC
(19,32),-2.00035 # DEPENDENCYPART_ARC
(20,16),-1.80879 # DEPENDENCYPART_ARC
(20,17),-1.39251 # DEPENDENCYPART_ARC
(20,18),-1.65973 # DEPENDENCYPART_ARC
(20,19),-0.7295 # DEPENDENCYPART_ARC
(20,21),-0.278375 # DEPENDENCYPART_ARC
(20,22),-0.960912 # DEPENDENCYPART_ARC
(20,23),-0.954434 # DEPENDENCYPART_ARC
(20,24),-1.80176 # DEPENDENCYPART_ARC
(20,25),-1.72636 # DEPENDENCYPART_ARC
(20,26),-1.94145 # DEPENDENCYPART_ARC
(20,28),-1.52632 # DEPENDENCYPART_ARC
(20,31),-3.10801 # DEPENDENCYPART_ARC
(21,22),-0.457306 # DEPENDENCYPART_ARC
(22,18),-1.48201 # DEPENDENCYPART_ARC
(22,19),-1.19389 # DEPENDENCYPART_ARC
(22,21),0.0226456 # DEPENDENCYPART_ARC
(22,24),-1.06028 # DEPENDENCYPART_ARC
(22,25),-1.12097 # DEPENDENCYPART_ARC
(22,26),-1.60948 # DEPENDENCYPART_ARC
(23,15),-1.3025 # DEPENDENCYPART_ARC
(23,17),-1.59101 # DEPENDENCYPART_ARC
(23,18),-1.04054 # DEPENDENCYPART_ARC
(23,19),-1.35234 # DEPENDENCYPART_ARC
(23,21),0.252457 # DEPENDENCYPART_ARC
(23,22),1.49039 # DEPENDENCYPART_ARC
(23,24),0.449295 # DEPENDENCYPART_ARC
(23,25),-1.00895 # DEPENDENCYPART_ARC
(23,26),-1.17362 # DEPENDENCYPART_ARC
(23,27),-1.50439 # DEPENDENCYPART_ARC
(23,28),-1.45447 # DEPENDENCYPART_ARC
(23,30),-1.36242 # DEPENDENCYPART_ARC
(23,31),-1.42734 # DEPENDENCYPART_ARC
(23,32),-1.41009 # DEPENDENCYPART_ARC
(23,35),-1.70509 # DEPENDENCYPART_ARC
(24,22),-1.5489 # DEPENDENCYPART_ARC
(24,25),-0.449799 # DEPENDENCYPART_ARC
(24,26),-0.86359 # DEPENDENCYPART_ARC
(24,28),-1.47647 # DEPENDENCYPART_ARC
(24,31),-2.63814 # DEPENDENCYPART_ARC
(25,21),-1.28836 # DEPENDENCYPART_ARC
(25,22),-1.06638 # DEPENDENCYPART_ARC
(25,23),-0.913609 # DEPENDENCYPART_ARC
(25,24),0.235949 # DEPENDENCYPART_ARC
(25,26),0.0193575 # DEPENDENCYPART_ARC
(25,27),-1.17176 # DEPENDENCYPART_ARC
(25,28),-1.47121 # DEPENDENCYPART_ARC
(25,30),-1.91365 # DEPENDENCYPART_ARC
(25,31),-2.11824 # DEPENDENCYPART_ARC
(25,35),-2.23486 # DEPENDENCYPART_ARC
(26,17),-0.691856 # DEPENDENCYPART_ARC
(26,21),-0.916156 # DEPENDENCYPART_ARC
(26,22),-0.894046 # DEPENDENCYPART_ARC
(26,23),-0.725033 # DEPENDENCYPART_ARC
(26,24),-0.744597 # DEPENDENCYPART_ARC
(26,25),0.818816 # DEPENDENCYPART_ARC
(26,27),0.0981646 # DEPENDENCYPART_ARC
(26,28),-1.24962 # DEPENDENCYPART_ARC
(26,30),-1.35 # DEPENDENCYPART_ARC
(26,31),-1.58797 # DEPENDENCYPART_ARC
(26,32),-1.59851 # DEPENDENCYPART_ARC
(26,35),-1.68259 # DEPENDENCYPART_ARC
(28,1),-1.22354 # DEPENDENCYPART_ARC
(28,2),-2.199 # DEPENDENCYPART_ARC
(28,3),-1.82892 # DEPENDENCYPART_ARC
(28,4),-2.48742 # DEPENDENCYPART_ARC
(28,5),-1.29293 # DEPENDENCYPART_ARC
(28,6),-2.53699 # DEPENDENCYPART_ARC
(28,7),-2.28629 # DEPENDENCYPART_ARC
(28,9),-1.66278 # DEPENDENCYPART_ARC
(28,10),-2.53051 # DEPENDENCYPART_ARC
(28,11),-2.20316 # DEPENDENCYPART_ARC
(28,12),-2.14385 # DEPENDENCYPART_ARC
(28,13),-1.68486 # DEPENDENCYPART_ARC
(28,14),-1.82172 # DEPENDENCYPART_ARC
(28,15),-1.78997 # DEPENDENCYPART_ARC
(28,16),-1.58966 # DEPENDENCYPART_ARC
(28,17),-1.86372 # DEPENDENCYPART_ARC
(28,18),-2.17615 # DEPENDENCYPART_ARC
(28,19),-1.56671 # DEPENDENCYPART_ARC
(28,20),-1.69437 # DEPENDENCYPART_ARC
(28,21),-2.02016 # DEPENDENCYPART_ARC
(28,22),-1.95914 # DEPENDENCYPART_ARC
(28,23),-1.40973 # DEPENDENCYPART_ARC
(28,24),-1.62984 # DEPENDENCYPART_ARC
(28,25),-1.23021 # DEPENDENCYPART_ARC
(28,26),-1.11798 # DEPENDENCYPART_ARC
(28,27),1.07507 # DEPENDENCYPART_ARC
(28,29),-0.0937741 # DEPENDENCYPART_ARC
(28,30),-0.695549 # DEPENDENCYPART_ARC
(28,31),-1.18277 # DEPENDENCYPART_ARC
(28,32),-1.67565 # DEPENDENCYPART_ARC
(28,33),-1.63185 # DEPENDENCYPART_ARC
(28,34),-1.42523 # DEPENDENCYPART_ARC
(28,35),-1.91246 # DEPENDENCYPART_ARC
(28,36),-0.66841 # DEPENDENCYPART_ARC
(29,30),-0.448281 # DEPENDENCYPART_ARC
(30,25),-2.88072 # DEPENDENCYPART_ARC
(30,29),-0.00601702 # DEPENDENCYPART_ARC
(30,31),-0.515858 # DEPENDENCYPART_ARC
(30,32),-0.931007 # DEPENDENCYPART_ARC
(30,35),-1.97144 # DEPENDENCYPART_ARC
(31,21),-2.14837 # DEPENDENCYPART_ARC
(31,22),-2.23579 # DEPENDENCYPART_ARC
(31,25),-2.20174 # DEPENDENCYPART_ARC
(31,26),-2.0278 # DEPENDENCYPART_ARC
(31,29),0.370062 # DEPENDENCYPART_ARC
(31,30),1.82703 # DEPENDENCYPART_ARC
(31,32),0.127199 # DEPENDENCYPART_ARC
(31,33),-1.6476 # DEPENDENCYPART_ARC
(31,34),-1.51973 # DEPENDENCYPART_ARC
(31,35),-1.65257 # DEPENDENCYPART_ARC
(32,31),-0.749257 # DEPENDENCYPART_ARC
(32,33),-0.106886 # DEPENDENCYPART_ARC
(32,34),-0.707487 # DEPENDENCYPART_ARC
(32,35),-0.309749 # DEPENDENCYPART_ARC
(32,36),-0.980262 # DEPENDENCYPART_ARC
(33,34),-0.486742 # DEPENDENCYPART_ARC
(34,33),0.0592036 # DEPENDENCYPART_ARC
(35,26),-2.36736 # DEPENDENCYPART_ARC
(35,29),-2.11033 # DEPENDENCYPART_ARC
(35,30),-0.666007 # DEPENDENCYPART_ARC
(35,31),-0.976218 # DEPENDENCYPART_ARC
(35,33),0.360565 # DEPENDENCYPART_ARC
(35,34),1.47921 # DEPENDENCYPART_ARC
(35,36),-0.543024 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00805517 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0135734 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.128391 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0548829 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.128389 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0493534 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.124102 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.0588843 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0173628 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.119786 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0193473 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.122225 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0459807 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.12795 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0765833 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0971237 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.00468836 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0971237 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0160703 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0971296 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.025143 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0713038 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.224562 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.116137 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.224687 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.142034 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.102217 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0279038 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.103436 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.057834 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.116131 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.225597 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.144463 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.11989 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.0691538 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.144913 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.030565 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0271877 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0409864 # DEPENDENCYPART_SIBL
