# _root_ Mortgage-Backed Securities
#goldHeads=2,0,
#predictedHeads=2,0,
(0,1),-1.74884 # DEPENDENCYPART_ARC
(0,2),-2.48158 # DEPENDENCYPART_ARC
(1,2),-0.61253 # DEPENDENCYPART_ARC
(2,1),1.17894 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0162327 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.602804 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,2),-0.489222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-0.976141 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,2),-0.989777 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,3),-0.601854 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(0,3),-0.641918 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.455132 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.529452 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.404008 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.733187 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.417129 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.464663 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,1),-0.450393 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.438347 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.380179 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.504755 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.429566 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.966763 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,2),-1.21814 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.0832582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.0450372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0675976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.188491 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,3),-0.0835644 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,1),0.0664308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.258485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.153759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),-0.0832416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,1),0.0997202 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),-0.0678854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.150874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.126863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),0.0101323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.121342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,-1),0.0378434 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,1),(0,2),-0.115668 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,3),0.175573 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,2),(0,3),0.371239 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,1),(0,2),(0,3),-0.0643915 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.0906326 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,1),(2,-1),-0.169472 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,1),0.113215 # DEPENDENCYPART_HEADBIGRAM
(0,2),(2,1),0.133359 # DEPENDENCYPART_HEADBIGRAM
(1,2),(0,1),-0.10488 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),-0.0300966 # DEPENDENCYPART_HEADBIGRAM
