# _root_ The high point of foreigners ' copper stocks this year was 136,000 tons at the end of April , according to Mr. Demler .
#goldHeads=3,3,11,3,8,5,8,4,10,11,0,13,11,11,16,14,16,17,11,11,20,23,21,11,
#predictedHeads=3,3,11,3,8,5,8,4,10,3,0,13,11,11,16,14,16,17,11,11,20,23,21,11,
(0,3),-2.51592 # DEPENDENCYPART_ARC
(0,8),-2.42973 # DEPENDENCYPART_ARC
(0,11),-1.61297 # DEPENDENCYPART_ARC
(0,20),-2.93934 # DEPENDENCYPART_ARC
(1,2),-0.542959 # DEPENDENCYPART_ARC
(1,4),-1.35864 # DEPENDENCYPART_ARC
(2,1),0.0892259 # DEPENDENCYPART_ARC
(2,4),-1.16189 # DEPENDENCYPART_ARC
(2,8),-1.72302 # DEPENDENCYPART_ARC
(3,1),0.152121 # DEPENDENCYPART_ARC
(3,2),1.38974 # DEPENDENCYPART_ARC
(3,4),0.628275 # DEPENDENCYPART_ARC
(3,5),-0.908994 # DEPENDENCYPART_ARC
(3,6),-0.758349 # DEPENDENCYPART_ARC
(3,7),-1.28619 # DEPENDENCYPART_ARC
(3,8),-1.35541 # DEPENDENCYPART_ARC
(3,9),-1.45512 # DEPENDENCYPART_ARC
(3,10),-1.39619 # DEPENDENCYPART_ARC
(3,11),-1.00938 # DEPENDENCYPART_ARC
(3,12),-2.05702 # DEPENDENCYPART_ARC
(3,13),-1.44229 # DEPENDENCYPART_ARC
(3,14),-1.08224 # DEPENDENCYPART_ARC
(3,16),-1.53497 # DEPENDENCYPART_ARC
(3,17),-2.22125 # DEPENDENCYPART_ARC
(3,19),-2.0701 # DEPENDENCYPART_ARC
(3,21),-1.93244 # DEPENDENCYPART_ARC
(3,24),-1.57382 # DEPENDENCYPART_ARC
(4,2),-1.48977 # DEPENDENCYPART_ARC
(4,5),0.26353 # DEPENDENCYPART_ARC
(4,7),-1.28911 # DEPENDENCYPART_ARC
(4,8),-1.16117 # DEPENDENCYPART_ARC
(4,10),-2.00511 # DEPENDENCYPART_ARC
(4,13),-2.70022 # DEPENDENCYPART_ARC
(5,1),-1.48605 # DEPENDENCYPART_ARC
(5,2),-1.44485 # DEPENDENCYPART_ARC
(5,3),-0.749272 # DEPENDENCYPART_ARC
(5,4),-0.132443 # DEPENDENCYPART_ARC
(5,6),0.893026 # DEPENDENCYPART_ARC
(5,7),-1.10698 # DEPENDENCYPART_ARC
(5,8),-1.36363 # DEPENDENCYPART_ARC
(5,10),-1.51832 # DEPENDENCYPART_ARC
(5,11),-1.1656 # DEPENDENCYPART_ARC
(5,14),-1.33276 # DEPENDENCYPART_ARC
(5,19),-1.848 # DEPENDENCYPART_ARC
(5,24),-2.36791 # DEPENDENCYPART_ARC
(7,2),-2.26847 # DEPENDENCYPART_ARC
(7,3),-1.77797 # DEPENDENCYPART_ARC
(7,5),-0.581391 # DEPENDENCYPART_ARC
(7,6),-0.560305 # DEPENDENCYPART_ARC
(7,8),-0.607254 # DEPENDENCYPART_ARC
(7,10),-1.65824 # DEPENDENCYPART_ARC
(7,11),-1.40698 # DEPENDENCYPART_ARC
(7,13),-1.90697 # DEPENDENCYPART_ARC
(7,14),-1.66397 # DEPENDENCYPART_ARC
(8,1),-1.88455 # DEPENDENCYPART_ARC
(8,2),-1.61798 # DEPENDENCYPART_ARC
(8,3),-1.19464 # DEPENDENCYPART_ARC
(8,4),-1.31325 # DEPENDENCYPART_ARC
(8,5),-0.124864 # DEPENDENCYPART_ARC
(8,6),-0.928787 # DEPENDENCYPART_ARC
(8,7),1.61543 # DEPENDENCYPART_ARC
(8,9),-0.728232 # DEPENDENCYPART_ARC
(8,10),-1.06434 # DEPENDENCYPART_ARC
(8,11),-0.95028 # DEPENDENCYPART_ARC
(8,12),-1.93819 # DEPENDENCYPART_ARC
(8,13),-1.48398 # DEPENDENCYPART_ARC
(8,14),-1.46607 # DEPENDENCYPART_ARC
(8,16),-1.60157 # DEPENDENCYPART_ARC
(8,17),-2.20335 # DEPENDENCYPART_ARC
(8,18),-1.80756 # DEPENDENCYPART_ARC
(8,19),-1.8034 # DEPENDENCYPART_ARC
(8,20),-2.43184 # DEPENDENCYPART_ARC
(8,23),-2.01834 # DEPENDENCYPART_ARC
(8,24),-2.26305 # DEPENDENCYPART_ARC
(10,1),-2.63663 # DEPENDENCYPART_ARC
(10,2),-2.2858 # DEPENDENCYPART_ARC
(10,3),-2.20427 # DEPENDENCYPART_ARC
(10,5),-0.98696 # DEPENDENCYPART_ARC
(10,7),-0.754573 # DEPENDENCYPART_ARC
(10,8),-0.603454 # DEPENDENCYPART_ARC
(10,9),1.26605 # DEPENDENCYPART_ARC
(10,11),-0.431189 # DEPENDENCYPART_ARC
