# _root_ Spencer J. Volk , president and chief operating officer of this consumer and industrial products company , was elected a director .
#goldHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
#predictedHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
(0,2),-2.43403 # DEPENDENCYPART_ARC
(0,3),-2.82165 # DEPENDENCYPART_ARC
(0,6),-2.87156 # DEPENDENCYPART_ARC
(0,9),-3.53459 # DEPENDENCYPART_ARC
(0,13),-3.24565 # DEPENDENCYPART_ARC
(0,18),-1.24062 # DEPENDENCYPART_ARC
(0,19),-1.89468 # DEPENDENCYPART_ARC
(1,2),-0.550705 # DEPENDENCYPART_ARC
(1,3),-1.57867 # DEPENDENCYPART_ARC
(1,4),-1.83063 # DEPENDENCYPART_ARC
(1,5),-2.02058 # DEPENDENCYPART_ARC
(1,6),-1.69892 # DEPENDENCYPART_ARC
(1,9),-2.13133 # DEPENDENCYPART_ARC
(1,17),-2.08872 # DEPENDENCYPART_ARC
(1,18),-1.78473 # DEPENDENCYPART_ARC
(2,1),0.123924 # DEPENDENCYPART_ARC
(2,3),-0.765835 # DEPENDENCYPART_ARC
(2,4),-1.87933 # DEPENDENCYPART_ARC
(2,5),-2.05568 # DEPENDENCYPART_ARC
(2,6),-1.78578 # DEPENDENCYPART_ARC
(2,9),-2.12754 # DEPENDENCYPART_ARC
(2,13),-1.42975 # DEPENDENCYPART_ARC
(2,16),-2.55364 # DEPENDENCYPART_ARC
(2,17),-2.29583 # DEPENDENCYPART_ARC
(2,18),-2.02006 # DEPENDENCYPART_ARC
(2,22),-2.16879 # DEPENDENCYPART_ARC
(3,1),0.462811 # DEPENDENCYPART_ARC
(3,2),1.38529 # DEPENDENCYPART_ARC
(3,4),0.226926 # DEPENDENCYPART_ARC
(3,5),-1.35444 # DEPENDENCYPART_ARC
(3,6),-1.42874 # DEPENDENCYPART_ARC
(3,7),-1.6569 # DEPENDENCYPART_ARC
(3,8),-1.83523 # DEPENDENCYPART_ARC
(3,9),-1.68391 # DEPENDENCYPART_ARC
(3,10),-2.40492 # DEPENDENCYPART_ARC
(3,12),-2.08252 # DEPENDENCYPART_ARC
(3,13),-1.16392 # DEPENDENCYPART_ARC
(3,16),-1.96408 # DEPENDENCYPART_ARC
(3,17),-1.197 # DEPENDENCYPART_ARC
(3,18),-1.97321 # DEPENDENCYPART_ARC
(3,21),-2.40186 # DEPENDENCYPART_ARC
(3,22),-1.93654 # DEPENDENCYPART_ARC
(5,1),-1.67423 # DEPENDENCYPART_ARC
(5,2),-1.52751 # DEPENDENCYPART_ARC
(5,3),-1.28366 # DEPENDENCYPART_ARC
(5,4),-0.484938 # DEPENDENCYPART_ARC
(5,10),-1.1615 # DEPENDENCYPART_ARC
(6,1),-1.21346 # DEPENDENCYPART_ARC
(6,2),-1.11967 # DEPENDENCYPART_ARC
(6,3),-0.735496 # DEPENDENCYPART_ARC
(6,4),-0.135088 # DEPENDENCYPART_ARC
(6,5),2.17259 # DEPENDENCYPART_ARC
(6,7),1.96125 # DEPENDENCYPART_ARC
(6,8),0.193869 # DEPENDENCYPART_ARC
(6,9),-0.210299 # DEPENDENCYPART_ARC
(6,10),-1.0739 # DEPENDENCYPART_ARC
(6,11),-1.48549 # DEPENDENCYPART_ARC
(6,12),-1.70303 # DEPENDENCYPART_ARC
(6,13),-0.806316 # DEPENDENCYPART_ARC
(6,14),-1.41852 # DEPENDENCYPART_ARC
(6,15),-1.66305 # DEPENDENCYPART_ARC
(6,16),-1.93453 # DEPENDENCYPART_ARC
(6,17),-1.58672 # DEPENDENCYPART_ARC
