# _root_ The internal investigation also criticized MiniScribe 's auditors , Coopers & Lybrand , for allegedly ignoring numerous red flags .
#goldHeads=3,3,5,5,0,8,6,5,8,11,8,11,8,5,16,14,19,19,16,5,
#predictedHeads=3,3,5,5,0,8,6,5,8,11,8,11,8,5,16,14,19,19,16,5,
(0,3),-2.49062 # DEPENDENCYPART_ARC
(0,4),-2.55032 # DEPENDENCYPART_ARC
(0,5),-2.00938 # DEPENDENCYPART_ARC
(0,6),-2.68392 # DEPENDENCYPART_ARC
(0,8),-2.8221 # DEPENDENCYPART_ARC
(0,11),-2.19296 # DEPENDENCYPART_ARC
(0,16),-1.90153 # DEPENDENCYPART_ARC
(0,19),-2.80641 # DEPENDENCYPART_ARC
(1,2),-0.611417 # DEPENDENCYPART_ARC
(1,9),-1.53014 # DEPENDENCYPART_ARC
(2,1),0.039492 # DEPENDENCYPART_ARC
(2,3),-0.440294 # DEPENDENCYPART_ARC
(2,4),-1.30797 # DEPENDENCYPART_ARC
(2,5),-1.20033 # DEPENDENCYPART_ARC
(3,1),0.390893 # DEPENDENCYPART_ARC
(3,2),1.5492 # DEPENDENCYPART_ARC
(3,4),-0.373923 # DEPENDENCYPART_ARC
(3,5),-0.92569 # DEPENDENCYPART_ARC
(3,6),-1.48738 # DEPENDENCYPART_ARC
(3,8),-1.73128 # DEPENDENCYPART_ARC
(3,9),-1.88736 # DEPENDENCYPART_ARC
(3,11),-1.76692 # DEPENDENCYPART_ARC
(3,13),-1.98374 # DEPENDENCYPART_ARC
(3,14),-2.01145 # DEPENDENCYPART_ARC
(3,19),-2.17527 # DEPENDENCYPART_ARC
(3,20),-2.07008 # DEPENDENCYPART_ARC
(4,1),-1.58612 # DEPENDENCYPART_ARC
(4,2),-1.38682 # DEPENDENCYPART_ARC
(4,3),-0.433965 # DEPENDENCYPART_ARC
(4,5),-0.29699 # DEPENDENCYPART_ARC
(4,6),-1.0786 # DEPENDENCYPART_ARC
(4,8),-1.51019 # DEPENDENCYPART_ARC
(4,9),-1.82573 # DEPENDENCYPART_ARC
(5,1),-0.926636 # DEPENDENCYPART_ARC
(5,2),-0.840567 # DEPENDENCYPART_ARC
(5,3),-0.161783 # DEPENDENCYPART_ARC
(5,4),1.01805 # DEPENDENCYPART_ARC
(5,6),0.696268 # DEPENDENCYPART_ARC
(5,8),-0.0816017 # DEPENDENCYPART_ARC
(5,9),-1.02168 # DEPENDENCYPART_ARC
(5,10),-1.34043 # DEPENDENCYPART_ARC
(5,11),-1.25753 # DEPENDENCYPART_ARC
(5,12),-1.68133 # DEPENDENCYPART_ARC
(5,13),-1.4442 # DEPENDENCYPART_ARC
(5,14),-0.987991 # DEPENDENCYPART_ARC
(5,15),-1.58611 # DEPENDENCYPART_ARC
(5,16),-1.25862 # DEPENDENCYPART_ARC
(5,17),-1.4728 # DEPENDENCYPART_ARC
(5,18),-1.54681 # DEPENDENCYPART_ARC
(5,20),-1.09945 # DEPENDENCYPART_ARC
(6,1),-1.85829 # DEPENDENCYPART_ARC
(6,2),-1.60267 # DEPENDENCYPART_ARC
(6,3),-1.40218 # DEPENDENCYPART_ARC
(6,4),-1.14286 # DEPENDENCYPART_ARC
(6,5),-0.123107 # DEPENDENCYPART_ARC
(6,7),1.02552 # DEPENDENCYPART_ARC
(6,8),-1.06891 # DEPENDENCYPART_ARC
(6,9),-1.40575 # DEPENDENCYPART_ARC
(6,11),-1.51568 # DEPENDENCYPART_ARC
(6,13),-1.57986 # DEPENDENCYPART_ARC
(6,14),-1.57832 # DEPENDENCYPART_ARC
(6,15),-1.43806 # DEPENDENCYPART_ARC
(6,16),-1.75743 # DEPENDENCYPART_ARC
(6,20),-1.45433 # DEPENDENCYPART_ARC
(8,1),-2.28959 # DEPENDENCYPART_ARC
(8,2),-1.67157 # DEPENDENCYPART_ARC
(8,3),-1.14937 # DEPENDENCYPART_ARC
(8,4),-1.30961 # DEPENDENCYPART_ARC
(8,5),-1.01269 # DEPENDENCYPART_ARC
(8,6),0.470323 # DEPENDENCYPART_ARC
(8,7),-0.0120301 # DEPENDENCYPART_ARC
(8,9),0.0213017 # DEPENDENCYPART_ARC
(8,10),-1.3718 # DEPENDENCYPART_ARC
(8,11),-1.66205 # DEPENDENCYPART_ARC
(8,12),-1.52724 # DEPENDENCYPART_ARC
(8,13),-1.38546 # DEPENDENCYPART_ARC
(8,14),-1.74748 # DEPENDENCYPART_ARC
(8,15),-1.63812 # DEPENDENCYPART_ARC
(8,16),-2.08692 # DEPENDENCYPART_ARC
(8,17),-1.78222 # DEPENDENCYPART_ARC
(8,18),-1.88979 # DEPENDENCYPART_ARC
(8,19),-2.11474 # DEPENDENCYPART_ARC
(8,20),-1.74532 # DEPENDENCYPART_ARC
(10,6),-2.20981 # DEPENDENCYPART_ARC
(10,8),-1.75078 # DEPENDENCYPART_ARC
(10,9),-1.01475 # DEPENDENCYPART_ARC
(10,12),-1.2321 # DEPENDENCYPART_ARC
(10,13),-1.7271 # DEPENDENCYPART_ARC
(10,14),-2.00192 # DEPENDENCYPART_ARC
(10,19),-2.09062 # DEPENDENCYPART_ARC
(11,1),-1.57731 # DEPENDENCYPART_ARC
(11,2),-1.40262 # DEPENDENCYPART_ARC
(11,3),-1.17295 # DEPENDENCYPART_ARC
(11,4),-1.45098 # DEPENDENCYPART_ARC
(11,5),-1.4368 # DEPENDENCYPART_ARC
(11,6),-0.597124 # DEPENDENCYPART_ARC
(11,8),-0.353545 # DEPENDENCYPART_ARC
(11,9),-0.139083 # DEPENDENCYPART_ARC
(11,10),2.57219 # DEPENDENCYPART_ARC
(11,12),2.08247 # DEPENDENCYPART_ARC
(11,13),-0.568243 # DEPENDENCYPART_ARC
(11,14),-1.55114 # DEPENDENCYPART_ARC
(11,15),-1.46269 # DEPENDENCYPART_ARC
(11,16),-1.67209 # DEPENDENCYPART_ARC
(11,17),-2.00242 # DEPENDENCYPART_ARC
(11,18),-2.00816 # DEPENDENCYPART_ARC
(11,19),-1.96994 # DEPENDENCYPART_ARC
(11,20),-2.18209 # DEPENDENCYPART_ARC
(12,6),-3.01628 # DEPENDENCYPART_ARC
(12,8),-2.6782 # DEPENDENCYPART_ARC
(12,9),-2.36431 # DEPENDENCYPART_ARC
(12,10),-1.32148 # DEPENDENCYPART_ARC
(12,13),-0.740564 # DEPENDENCYPART_ARC
(12,14),-2.3066 # DEPENDENCYPART_ARC
(12,15),-2.30897 # DEPENDENCYPART_ARC
(12,16),-2.71756 # DEPENDENCYPART_ARC
(12,19),-2.47738 # DEPENDENCYPART_ARC
(14,11),-1.46465 # DEPENDENCYPART_ARC
(14,13),-0.034904 # DEPENDENCYPART_ARC
(14,15),-0.448405 # DEPENDENCYPART_ARC
(14,16),-0.521142 # DEPENDENCYPART_ARC
(14,17),-1.44448 # DEPENDENCYPART_ARC
(14,18),-1.57286 # DEPENDENCYPART_ARC
(14,19),-1.47769 # DEPENDENCYPART_ARC
(14,20),-1.30743 # DEPENDENCYPART_ARC
(15,3),-2.14689 # DEPENDENCYPART_ARC
(15,8),-2.01958 # DEPENDENCYPART_ARC
(15,11),-2.34871 # DEPENDENCYPART_ARC
(15,14),-0.651791 # DEPENDENCYPART_ARC
(15,16),0.000924548 # DEPENDENCYPART_ARC
(15,17),-0.977983 # DEPENDENCYPART_ARC
(15,18),-1.07577 # DEPENDENCYPART_ARC
(15,19),-1.30781 # DEPENDENCYPART_ARC
(16,5),-2.4596 # DEPENDENCYPART_ARC
(16,8),-1.62603 # DEPENDENCYPART_ARC
(16,11),-2.39489 # DEPENDENCYPART_ARC
(16,13),-1.76654 # DEPENDENCYPART_ARC
(16,14),-1.05646 # DEPENDENCYPART_ARC
(16,15),0.0737 # DEPENDENCYPART_ARC
(16,17),0.0752108 # DEPENDENCYPART_ARC
(16,18),-1.035 # DEPENDENCYPART_ARC
(16,19),-0.443828 # DEPENDENCYPART_ARC
(16,20),-0.615193 # DEPENDENCYPART_ARC
(17,3),-1.69926 # DEPENDENCYPART_ARC
(17,11),-1.88891 # DEPENDENCYPART_ARC
(17,15),-1.17416 # DEPENDENCYPART_ARC
(17,16),-0.162734 # DEPENDENCYPART_ARC
(17,18),-0.29596 # DEPENDENCYPART_ARC
(17,19),-1.30962 # DEPENDENCYPART_ARC
(17,20),-1.27133 # DEPENDENCYPART_ARC
(18,3),-1.57613 # DEPENDENCYPART_ARC
(18,15),-1.29324 # DEPENDENCYPART_ARC
(18,17),0.184333 # DEPENDENCYPART_ARC
(18,20),-1.47322 # DEPENDENCYPART_ARC
(19,9),-2.20955 # DEPENDENCYPART_ARC
(19,11),-1.70417 # DEPENDENCYPART_ARC
(19,13),-2.06856 # DEPENDENCYPART_ARC
(19,14),-1.35221 # DEPENDENCYPART_ARC
(19,15),-0.984867 # DEPENDENCYPART_ARC
(19,16),-0.983908 # DEPENDENCYPART_ARC
(19,17),0.487906 # DEPENDENCYPART_ARC
(19,18),1.53692 # DEPENDENCYPART_ARC
(19,20),-0.537571 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0212091 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.124451 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0575868 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0575868 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0820563 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.125135 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0575868 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.1117 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0139276 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0139276 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0318489 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.108963 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0139276 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0756885 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0756885 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.14571 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.227556 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0756885 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0574866 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0820556 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.12425 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0574866 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0820556 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.124232 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0574866 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.131961 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0476199 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0756839 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0326278 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.10587 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.11789 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.161691 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00321066 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00465733 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0247543 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.091377 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0101338 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.141055 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00875208 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00875223 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0290515 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.03308 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0290515 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.008717 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00875221 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0690608 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0252128 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0262794 # DEPENDENCYPART_SIBL
(3,2),(3,6),-3.45747e-05 # DEPENDENCYPART_SIBL
(3,2),(3,8),-3.45097e-05 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00731293 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0218555 # DEPENDENCYPART_SIBL
