# _root_ MCI Communications Corp. said it won a $ 27 million contract from Stuart-James Co. , a Denver investment banking concern , to provide voice and data telecommunications services .
#goldHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,28,23,4,
#predictedHeads=3,3,4,0,6,4,11,11,8,8,6,6,14,12,14,20,20,20,20,14,14,23,11,25,28,25,25,23,4,
(0,3),-2.77166 # DEPENDENCYPART_ARC
(0,4),-1.24538 # DEPENDENCYPART_ARC
(0,6),-2.73821 # DEPENDENCYPART_ARC
(1,2),-0.482158 # DEPENDENCYPART_ARC
(1,3),-1.45844 # DEPENDENCYPART_ARC
(1,4),-0.987745 # DEPENDENCYPART_ARC
(1,6),-1.50742 # DEPENDENCYPART_ARC
(2,1),0.0381592 # DEPENDENCYPART_ARC
(2,3),-0.608317 # DEPENDENCYPART_ARC
(2,4),-0.995734 # DEPENDENCYPART_ARC
(2,5),-1.60826 # DEPENDENCYPART_ARC
(2,6),-1.60541 # DEPENDENCYPART_ARC
(2,8),-1.73356 # DEPENDENCYPART_ARC
(3,1),0.62877 # DEPENDENCYPART_ARC
(3,2),1.65005 # DEPENDENCYPART_ARC
(3,4),-0.404426 # DEPENDENCYPART_ARC
(3,5),-1.28901 # DEPENDENCYPART_ARC
(3,6),-1.42121 # DEPENDENCYPART_ARC
(3,8),-1.56826 # DEPENDENCYPART_ARC
(3,12),-1.0192 # DEPENDENCYPART_ARC
(3,20),-2.27749 # DEPENDENCYPART_ARC
(3,21),-1.53836 # DEPENDENCYPART_ARC
(3,29),-1.24823 # DEPENDENCYPART_ARC
(4,1),-0.427925 # DEPENDENCYPART_ARC
(4,2),-0.415439 # DEPENDENCYPART_ARC
(4,3),0.86831 # DEPENDENCYPART_ARC
(4,5),0.145242 # DEPENDENCYPART_ARC
(4,6),0.111026 # DEPENDENCYPART_ARC
(4,8),-1.13097 # DEPENDENCYPART_ARC
(4,9),-1.29522 # DEPENDENCYPART_ARC
(4,11),-1.24716 # DEPENDENCYPART_ARC
(4,12),-1.17768 # DEPENDENCYPART_ARC
(4,15),-1.58913 # DEPENDENCYPART_ARC
(4,25),-0.742007 # DEPENDENCYPART_ARC
(4,29),0.716215 # DEPENDENCYPART_ARC
(5,6),-0.0624503 # DEPENDENCYPART_ARC
(6,1),-1.25757 # DEPENDENCYPART_ARC
(6,2),-1.28724 # DEPENDENCYPART_ARC
(6,3),-1.14804 # DEPENDENCYPART_ARC
(6,4),-1.30185 # DEPENDENCYPART_ARC
(6,5),0.653385 # DEPENDENCYPART_ARC
(6,7),0.224298 # DEPENDENCYPART_ARC
(6,8),-0.651331 # DEPENDENCYPART_ARC
(6,9),-0.906985 # DEPENDENCYPART_ARC
(6,10),-1.11237 # DEPENDENCYPART_ARC
(6,11),-0.171316 # DEPENDENCYPART_ARC
(6,12),-0.475443 # DEPENDENCYPART_ARC
(6,13),-1.00776 # DEPENDENCYPART_ARC
(6,14),-0.84132 # DEPENDENCYPART_ARC
(6,15),-1.20904 # DEPENDENCYPART_ARC
(6,18),-1.89319 # DEPENDENCYPART_ARC
(6,20),-1.54895 # DEPENDENCYPART_ARC
(6,21),-1.79907 # DEPENDENCYPART_ARC
(6,22),-1.41495 # DEPENDENCYPART_ARC
(6,23),-1.10073 # DEPENDENCYPART_ARC
(6,24),-1.82663 # DEPENDENCYPART_ARC
(6,25),-0.756921 # DEPENDENCYPART_ARC
(6,29),-1.34684 # DEPENDENCYPART_ARC
(7,12),-1.22546 # DEPENDENCYPART_ARC
(8,7),0.132357 # DEPENDENCYPART_ARC
(8,9),0.885559 # DEPENDENCYPART_ARC
(8,10),0.487471 # DEPENDENCYPART_ARC
(8,11),-0.891702 # DEPENDENCYPART_ARC
(8,12),-1.07002 # DEPENDENCYPART_ARC
(8,13),-1.10425 # DEPENDENCYPART_ARC
(8,14),-1.33668 # DEPENDENCYPART_ARC
(8,15),-0.997411 # DEPENDENCYPART_ARC
(8,17),-1.77643 # DEPENDENCYPART_ARC
(8,18),-1.91956 # DEPENDENCYPART_ARC
(8,19),-1.93874 # DEPENDENCYPART_ARC
(8,20),-2.01855 # DEPENDENCYPART_ARC
(8,21),-1.64178 # DEPENDENCYPART_ARC
(8,29),-1.07772 # DEPENDENCYPART_ARC
(9,7),-1.16505 # DEPENDENCYPART_ARC
(9,8),-0.258554 # DEPENDENCYPART_ARC
(9,10),-0.543994 # DEPENDENCYPART_ARC
(9,11),-0.766261 # DEPENDENCYPART_ARC
(9,12),-1.00788 # DEPENDENCYPART_ARC
(9,13),-1.18863 # DEPENDENCYPART_ARC
(9,14),-1.29628 # DEPENDENCYPART_ARC
(9,15),-1.02326 # DEPENDENCYPART_ARC
(9,21),-1.5541 # DEPENDENCYPART_ARC
(10,7),-1.30675 # DEPENDENCYPART_ARC
(10,8),-1.1194 # DEPENDENCYPART_ARC
(10,9),-0.0107724 # DEPENDENCYPART_ARC
(10,11),-0.0398851 # DEPENDENCYPART_ARC
(10,14),-1.45753 # DEPENDENCYPART_ARC
(11,3),-2.21141 # DEPENDENCYPART_ARC
(11,4),-1.69683 # DEPENDENCYPART_ARC
(11,6),-1.25769 # DEPENDENCYPART_ARC
(11,7),-0.306368 # DEPENDENCYPART_ARC
(11,8),-0.867214 # DEPENDENCYPART_ARC
(11,9),-0.679757 # DEPENDENCYPART_ARC
(11,10),0.737295 # DEPENDENCYPART_ARC
(11,12),0.486873 # DEPENDENCYPART_ARC
(11,13),-0.794113 # DEPENDENCYPART_ARC
(11,14),-1.23145 # DEPENDENCYPART_ARC
(11,15),-1.06685 # DEPENDENCYPART_ARC
(11,17),-1.65517 # DEPENDENCYPART_ARC
(11,18),-1.7706 # DEPENDENCYPART_ARC
(11,19),-1.912 # DEPENDENCYPART_ARC
(11,20),-1.98327 # DEPENDENCYPART_ARC
(11,21),-1.0404 # DEPENDENCYPART_ARC
(11,22),-1.19354 # DEPENDENCYPART_ARC
(11,23),-1.39935 # DEPENDENCYPART_ARC
(11,25),-0.663535 # DEPENDENCYPART_ARC
(11,28),-2.40562 # DEPENDENCYPART_ARC
(12,10),-1.45502 # DEPENDENCYPART_ARC
(12,11),-0.389744 # DEPENDENCYPART_ARC
(12,13),0.600644 # DEPENDENCYPART_ARC
(12,14),0.18941 # DEPENDENCYPART_ARC
(12,15),-0.872655 # DEPENDENCYPART_ARC
(12,20),-2.62843 # DEPENDENCYPART_ARC
(12,22),-1.59154 # DEPENDENCYPART_ARC
(12,25),-0.77104 # DEPENDENCYPART_ARC
(12,28),-3.40679 # DEPENDENCYPART_ARC
(13,8),-3.03401 # DEPENDENCYPART_ARC
(13,14),-0.567743 # DEPENDENCYPART_ARC
(13,20),-2.42441 # DEPENDENCYPART_ARC
(14,3),-2.32949 # DEPENDENCYPART_ARC
(14,7),-1.62869 # DEPENDENCYPART_ARC
(14,8),-1.81329 # DEPENDENCYPART_ARC
(14,10),-1.33242 # DEPENDENCYPART_ARC
(14,11),-1.10134 # DEPENDENCYPART_ARC
(14,12),-1.07098 # DEPENDENCYPART_ARC
(14,13),1.7654 # DEPENDENCYPART_ARC
(14,15),0.475876 # DEPENDENCYPART_ARC
(14,17),-1.57543 # DEPENDENCYPART_ARC
(14,18),-1.69512 # DEPENDENCYPART_ARC
(14,19),-1.84203 # DEPENDENCYPART_ARC
(14,20),-1.95168 # DEPENDENCYPART_ARC
(14,21),-1.03471 # DEPENDENCYPART_ARC
(14,24),-2.25163 # DEPENDENCYPART_ARC
(14,25),-1.02516 # DEPENDENCYPART_ARC
(17,16),-0.612329 # DEPENDENCYPART_ARC
(17,18),-0.505971 # DEPENDENCYPART_ARC
(17,19),-1.42624 # DEPENDENCYPART_ARC
(18,16),-0.724888 # DEPENDENCYPART_ARC
(18,17),0.269727 # DEPENDENCYPART_ARC
(18,19),-0.474505 # DEPENDENCYPART_ARC
(18,22),-2.02923 # DEPENDENCYPART_ARC
