# _root_ That may leave a lot of leeway for U.S. Bankruptcy Judge Burton R. Lifland to decide what , if anything , the pilots actually collect .
#goldHeads=2,0,2,5,3,5,6,16,14,14,14,14,14,16,16,7,25,25,20,25,25,23,25,25,16,2,
#predictedHeads=2,0,2,5,3,5,6,7,14,14,14,14,14,8,16,5,25,25,25,19,25,23,25,25,16,2,
(0,1),-1.4241 # DEPENDENCYPART_ARC
(0,2),-2.00351 # DEPENDENCYPART_ARC
(0,3),-1.86365 # DEPENDENCYPART_ARC
(0,25),-2.66566 # DEPENDENCYPART_ARC
(1,2),-0.442065 # DEPENDENCYPART_ARC
(1,3),-1.18683 # DEPENDENCYPART_ARC
(2,1),0.492678 # DEPENDENCYPART_ARC
(2,3),1.67563 # DEPENDENCYPART_ARC
(2,5),-0.946646 # DEPENDENCYPART_ARC
(2,6),-1.19212 # DEPENDENCYPART_ARC
(2,7),-1.19678 # DEPENDENCYPART_ARC
(2,8),-1.34386 # DEPENDENCYPART_ARC
(2,16),-1.83958 # DEPENDENCYPART_ARC
(2,18),-1.8337 # DEPENDENCYPART_ARC
(2,21),-2.2882 # DEPENDENCYPART_ARC
(2,26),-0.159919 # DEPENDENCYPART_ARC
(3,1),-1.09519 # DEPENDENCYPART_ARC
(3,2),-0.63865 # DEPENDENCYPART_ARC
(3,4),-0.149688 # DEPENDENCYPART_ARC
(3,5),0.252707 # DEPENDENCYPART_ARC
(3,6),-1.0689 # DEPENDENCYPART_ARC
(3,7),-0.570109 # DEPENDENCYPART_ARC
(3,8),-1.02945 # DEPENDENCYPART_ARC
(3,11),-1.46701 # DEPENDENCYPART_ARC
(3,12),-1.40811 # DEPENDENCYPART_ARC
(3,13),-1.49765 # DEPENDENCYPART_ARC
(3,14),-1.39727 # DEPENDENCYPART_ARC
(3,15),-1.43155 # DEPENDENCYPART_ARC
(3,16),-0.733918 # DEPENDENCYPART_ARC
(3,18),-1.76332 # DEPENDENCYPART_ARC
(3,19),-2.95759 # DEPENDENCYPART_ARC
(3,21),-2.48201 # DEPENDENCYPART_ARC
(3,24),-2.28458 # DEPENDENCYPART_ARC
(3,25),-1.80945 # DEPENDENCYPART_ARC
(3,26),-0.564053 # DEPENDENCYPART_ARC
(4,6),-1.28389 # DEPENDENCYPART_ARC
(4,8),-1.59105 # DEPENDENCYPART_ARC
