# _root_ Mr. Ehrlich was succeeded as chairman by Gerd Krick , a director of Fresenius , a West German pharmaceutical concern .
#goldHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
#predictedHeads=2,3,0,3,4,5,4,9,7,9,12,9,12,13,14,20,18,20,20,14,3,
(0,2),-2.37776 # DEPENDENCYPART_ARC
(0,3),-1.51506 # DEPENDENCYPART_ARC
(0,4),-2.43229 # DEPENDENCYPART_ARC
(1,2),-0.659607 # DEPENDENCYPART_ARC
(1,3),-0.88876 # DEPENDENCYPART_ARC
(1,4),-1.38937 # DEPENDENCYPART_ARC
(1,5),-1.28687 # DEPENDENCYPART_ARC
(1,6),-1.87421 # DEPENDENCYPART_ARC
(1,7),-1.4319 # DEPENDENCYPART_ARC
(2,1),1.66996 # DEPENDENCYPART_ARC
(2,3),-0.526584 # DEPENDENCYPART_ARC
(2,4),-1.36559 # DEPENDENCYPART_ARC
(2,5),-1.33121 # DEPENDENCYPART_ARC
(2,6),-1.5353 # DEPENDENCYPART_ARC
(2,7),-1.71188 # DEPENDENCYPART_ARC
(2,10),-1.98999 # DEPENDENCYPART_ARC
(2,12),-2.09862 # DEPENDENCYPART_ARC
(2,15),-1.99785 # DEPENDENCYPART_ARC
(2,20),-2.62451 # DEPENDENCYPART_ARC
(2,21),-2.26816 # DEPENDENCYPART_ARC
(3,1),-0.375019 # DEPENDENCYPART_ARC
(3,2),1.05198 # DEPENDENCYPART_ARC
(3,4),1.51282 # DEPENDENCYPART_ARC
(3,5),-0.958282 # DEPENDENCYPART_ARC
(3,6),-1.29733 # DEPENDENCYPART_ARC
(3,7),-1.27573 # DEPENDENCYPART_ARC
(3,9),-1.95624 # DEPENDENCYPART_ARC
(3,10),-1.80252 # DEPENDENCYPART_ARC
(3,15),-2.26177 # DEPENDENCYPART_ARC
(3,17),-1.9115 # DEPENDENCYPART_ARC
(3,21),0.130479 # DEPENDENCYPART_ARC
(4,1),-1.26431 # DEPENDENCYPART_ARC
(4,2),-1.29026 # DEPENDENCYPART_ARC
(4,3),-0.940301 # DEPENDENCYPART_ARC
(4,5),0.401344 # DEPENDENCYPART_ARC
(4,6),-0.883915 # DEPENDENCYPART_ARC
(4,7),-0.696794 # DEPENDENCYPART_ARC
(4,9),-1.42764 # DEPENDENCYPART_ARC
(4,10),-1.58349 # DEPENDENCYPART_ARC
(4,12),-2.64979 # DEPENDENCYPART_ARC
(4,13),-2.40327 # DEPENDENCYPART_ARC
(4,15),-2.06587 # DEPENDENCYPART_ARC
(4,17),-1.75819 # DEPENDENCYPART_ARC
(4,18),-1.80383 # DEPENDENCYPART_ARC
(4,20),-2.21422 # DEPENDENCYPART_ARC
(4,21),-0.770013 # DEPENDENCYPART_ARC
(5,6),0.307101 # DEPENDENCYPART_ARC
(5,7),-1.30651 # DEPENDENCYPART_ARC
(5,8),-1.92732 # DEPENDENCYPART_ARC
(5,9),-1.77672 # DEPENDENCYPART_ARC
(5,10),-1.63547 # DEPENDENCYPART_ARC
(6,2),-2.00048 # DEPENDENCYPART_ARC
(6,5),-0.611138 # DEPENDENCYPART_ARC
(6,7),0.286108 # DEPENDENCYPART_ARC
(6,8),-1.05859 # DEPENDENCYPART_ARC
(6,9),-1.33855 # DEPENDENCYPART_ARC
(6,10),-1.79287 # DEPENDENCYPART_ARC
(6,12),-1.68754 # DEPENDENCYPART_ARC
(6,13),-2.07514 # DEPENDENCYPART_ARC
(6,14),-1.88304 # DEPENDENCYPART_ARC
(6,15),-1.84805 # DEPENDENCYPART_ARC
(6,17),-1.8263 # DEPENDENCYPART_ARC
(6,18),-1.87478 # DEPENDENCYPART_ARC
(6,20),-2.11882 # DEPENDENCYPART_ARC
(6,21),-1.73557 # DEPENDENCYPART_ARC
(7,5),-1.4006 # DEPENDENCYPART_ARC
(7,6),-0.713695 # DEPENDENCYPART_ARC
(7,8),0.246238 # DEPENDENCYPART_ARC
(7,9),0.0168477 # DEPENDENCYPART_ARC
(7,10),-1.13893 # DEPENDENCYPART_ARC
(7,12),-2.09369 # DEPENDENCYPART_ARC
(7,13),-1.81185 # DEPENDENCYPART_ARC
(7,14),-2.41083 # DEPENDENCYPART_ARC
(7,20),-2.21894 # DEPENDENCYPART_ARC
(8,9),-0.638763 # DEPENDENCYPART_ARC
(8,12),-1.97676 # DEPENDENCYPART_ARC
(8,20),-2.60494 # DEPENDENCYPART_ARC
(9,6),-1.04124 # DEPENDENCYPART_ARC
(9,7),-1.37831 # DEPENDENCYPART_ARC
(9,8),1.60473 # DEPENDENCYPART_ARC
(9,10),0.286753 # DEPENDENCYPART_ARC
(9,12),-1.60858 # DEPENDENCYPART_ARC
(9,13),-2.07687 # DEPENDENCYPART_ARC
(9,14),-1.89205 # DEPENDENCYPART_ARC
(9,15),-1.18676 # DEPENDENCYPART_ARC
(9,20),-2.33272 # DEPENDENCYPART_ARC
(9,21),-1.59639 # DEPENDENCYPART_ARC
(11,10),-0.184295 # DEPENDENCYPART_ARC
(11,13),-1.4319 # DEPENDENCYPART_ARC
(12,8),-1.7291 # DEPENDENCYPART_ARC
(12,10),-1.31676 # DEPENDENCYPART_ARC
(12,11),1.11722 # DEPENDENCYPART_ARC
(12,13),0.618018 # DEPENDENCYPART_ARC
(12,14),-0.810649 # DEPENDENCYPART_ARC
(12,15),-1.3545 # DEPENDENCYPART_ARC
(12,16),-1.64918 # DEPENDENCYPART_ARC
(12,17),-1.58511 # DEPENDENCYPART_ARC
(12,18),-1.56578 # DEPENDENCYPART_ARC
(12,19),-1.62376 # DEPENDENCYPART_ARC
(12,20),-1.58275 # DEPENDENCYPART_ARC
(12,21),-1.2603 # DEPENDENCYPART_ARC
(13,11),-1.34404 # DEPENDENCYPART_ARC
(13,14),0.861799 # DEPENDENCYPART_ARC
(13,17),-1.77662 # DEPENDENCYPART_ARC
(13,18),-1.89054 # DEPENDENCYPART_ARC
(13,20),-2.26312 # DEPENDENCYPART_ARC
(14,11),-2.00528 # DEPENDENCYPART_ARC
(14,15),-0.117424 # DEPENDENCYPART_ARC
(14,17),-1.72164 # DEPENDENCYPART_ARC
(14,18),-1.86223 # DEPENDENCYPART_ARC
(14,19),-1.98885 # DEPENDENCYPART_ARC
(14,20),-1.82248 # DEPENDENCYPART_ARC
(14,21),-1.65996 # DEPENDENCYPART_ARC
(16,15),0.0097356 # DEPENDENCYPART_ARC
(16,17),-0.584217 # DEPENDENCYPART_ARC
(16,18),-1.44157 # DEPENDENCYPART_ARC
(17,6),-1.55547 # DEPENDENCYPART_ARC
(17,12),-1.94186 # DEPENDENCYPART_ARC
(17,14),-1.69756 # DEPENDENCYPART_ARC
(17,16),-0.0929215 # DEPENDENCYPART_ARC
(17,18),-0.264059 # DEPENDENCYPART_ARC
(17,19),-1.1103 # DEPENDENCYPART_ARC
(17,21),-1.19424 # DEPENDENCYPART_ARC
(18,6),-1.39537 # DEPENDENCYPART_ARC
(18,12),-1.76643 # DEPENDENCYPART_ARC
(18,14),-1.61707 # DEPENDENCYPART_ARC
(18,15),-1.50773 # DEPENDENCYPART_ARC
(18,16),-1.02676 # DEPENDENCYPART_ARC
(18,17),0.195975 # DEPENDENCYPART_ARC
(18,19),-0.405342 # DEPENDENCYPART_ARC
(18,21),-1.24505 # DEPENDENCYPART_ARC
(19,6),-1.38379 # DEPENDENCYPART_ARC
(19,12),-1.78439 # DEPENDENCYPART_ARC
(19,16),-1.34357 # DEPENDENCYPART_ARC
