# _root_ The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .
#goldHeads=2,3,26,3,4,7,9,7,13,13,12,13,5,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
#predictedHeads=2,3,26,3,4,7,9,7,5,4,12,13,4,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
(0,3),-1.2401 # DEPENDENCYPART_ARC
(0,13),-2.10378 # DEPENDENCYPART_ARC
(0,26),1.4004 # DEPENDENCYPART_ARC
(1,3),-1.22225 # DEPENDENCYPART_ARC
(1,5),-1.72837 # DEPENDENCYPART_ARC
(2,1),1.59614 # DEPENDENCYPART_ARC
(2,3),-0.499643 # DEPENDENCYPART_ARC
(2,4),-1.48379 # DEPENDENCYPART_ARC
(2,5),-1.58017 # DEPENDENCYPART_ARC
(2,13),-1.68979 # DEPENDENCYPART_ARC
(3,1),-0.833986 # DEPENDENCYPART_ARC
(3,2),0.874729 # DEPENDENCYPART_ARC
(3,4),0.325352 # DEPENDENCYPART_ARC
(3,5),-0.69382 # DEPENDENCYPART_ARC
(3,7),-0.898521 # DEPENDENCYPART_ARC
(3,8),-1.16161 # DEPENDENCYPART_ARC
(3,9),-1.08664 # DEPENDENCYPART_ARC
(3,10),-1.111 # DEPENDENCYPART_ARC
(3,12),-2.00924 # DEPENDENCYPART_ARC
(3,13),-1.31216 # DEPENDENCYPART_ARC
(3,15),-1.81493 # DEPENDENCYPART_ARC
(3,16),-2.23013 # DEPENDENCYPART_ARC
(3,17),-2.15832 # DEPENDENCYPART_ARC
(3,18),-2.25965 # DEPENDENCYPART_ARC
(3,22),-2.01038 # DEPENDENCYPART_ARC
(3,23),-0.701293 # DEPENDENCYPART_ARC
(3,26),-3.65722 # DEPENDENCYPART_ARC
(3,27),-0.790647 # DEPENDENCYPART_ARC
(4,1),-1.14805 # DEPENDENCYPART_ARC
(4,2),-1.28033 # DEPENDENCYPART_ARC
(4,5),0.587795 # DEPENDENCYPART_ARC
(4,6),-0.544262 # DEPENDENCYPART_ARC
(4,7),-0.656001 # DEPENDENCYPART_ARC
(4,9),-0.926799 # DEPENDENCYPART_ARC
(4,10),-0.763636 # DEPENDENCYPART_ARC
(4,12),-1.52982 # DEPENDENCYPART_ARC
(4,13),-0.810453 # DEPENDENCYPART_ARC
(4,16),-1.54115 # DEPENDENCYPART_ARC
(4,19),-1.7881 # DEPENDENCYPART_ARC
(4,22),-1.40933 # DEPENDENCYPART_ARC
(4,27),-0.740303 # DEPENDENCYPART_ARC
(5,2),-1.52958 # DEPENDENCYPART_ARC
(5,4),-0.559963 # DEPENDENCYPART_ARC
(5,6),0.155024 # DEPENDENCYPART_ARC
(5,7),-0.11214 # DEPENDENCYPART_ARC
(5,9),-0.522244 # DEPENDENCYPART_ARC
(5,10),-1.25161 # DEPENDENCYPART_ARC
(5,12),-2.08206 # DEPENDENCYPART_ARC
(5,13),-1.88755 # DEPENDENCYPART_ARC
(5,16),-2.3623 # DEPENDENCYPART_ARC
(7,2),-1.75469 # DEPENDENCYPART_ARC
(7,3),-1.49151 # DEPENDENCYPART_ARC
(7,4),-1.25289 # DEPENDENCYPART_ARC
(7,5),-0.844955 # DEPENDENCYPART_ARC
(7,6),1.76402 # DEPENDENCYPART_ARC
(7,8),1.09329 # DEPENDENCYPART_ARC
(7,9),-1.04356 # DEPENDENCYPART_ARC
(7,10),-1.36444 # DEPENDENCYPART_ARC
(7,12),-1.66285 # DEPENDENCYPART_ARC
(7,13),-0.96337 # DEPENDENCYPART_ARC
(7,16),-1.58497 # DEPENDENCYPART_ARC
(7,17),-1.62626 # DEPENDENCYPART_ARC
(7,18),-1.64774 # DEPENDENCYPART_ARC
(9,2),-1.78385 # DEPENDENCYPART_ARC
(9,4),-1.18462 # DEPENDENCYPART_ARC
(9,5),-1.03649 # DEPENDENCYPART_ARC
(9,6),-0.84702 # DEPENDENCYPART_ARC
(9,7),0.554103 # DEPENDENCYPART_ARC
(9,8),0.115374 # DEPENDENCYPART_ARC
(9,10),-0.273498 # DEPENDENCYPART_ARC
(9,12),-1.75332 # DEPENDENCYPART_ARC
(9,13),-1.70977 # DEPENDENCYPART_ARC
(9,15),-2.00426 # DEPENDENCYPART_ARC
(9,16),-1.90257 # DEPENDENCYPART_ARC
(9,17),-2.11822 # DEPENDENCYPART_ARC
(9,18),-2.02165 # DEPENDENCYPART_ARC
(9,19),-2.35141 # DEPENDENCYPART_ARC
(9,21),-1.90976 # DEPENDENCYPART_ARC
(9,22),-1.85224 # DEPENDENCYPART_ARC
(9,23),-1.44511 # DEPENDENCYPART_ARC
(12,4),-2.3828 # DEPENDENCYPART_ARC
(12,6),-2.14923 # DEPENDENCYPART_ARC
(12,7),-1.65268 # DEPENDENCYPART_ARC
(12,9),-1.62942 # DEPENDENCYPART_ARC
(12,10),-1.23827 # DEPENDENCYPART_ARC
(12,11),0.949015 # DEPENDENCYPART_ARC
(12,15),-1.63964 # DEPENDENCYPART_ARC
(12,16),-1.72497 # DEPENDENCYPART_ARC
(12,17),-1.81011 # DEPENDENCYPART_ARC
(12,18),-1.53222 # DEPENDENCYPART_ARC
(13,1),-3.01819 # DEPENDENCYPART_ARC
(13,2),-2.13463 # DEPENDENCYPART_ARC
(13,3),-1.18719 # DEPENDENCYPART_ARC
(13,4),-1.53321 # DEPENDENCYPART_ARC
(13,5),-1.97689 # DEPENDENCYPART_ARC
(13,6),-1.83866 # DEPENDENCYPART_ARC
(13,7),-1.85776 # DEPENDENCYPART_ARC
(13,9),-1.42087 # DEPENDENCYPART_ARC
(13,10),-0.668713 # DEPENDENCYPART_ARC
(13,11),-0.679829 # DEPENDENCYPART_ARC
(13,12),0.664971 # DEPENDENCYPART_ARC
(13,14),0.195612 # DEPENDENCYPART_ARC
(13,15),-0.619037 # DEPENDENCYPART_ARC
(13,16),-0.183153 # DEPENDENCYPART_ARC
(13,17),-1.45832 # DEPENDENCYPART_ARC
(13,18),-1.24273 # DEPENDENCYPART_ARC
(13,19),-1.44017 # DEPENDENCYPART_ARC
(13,21),-1.72243 # DEPENDENCYPART_ARC
(13,22),-1.68909 # DEPENDENCYPART_ARC
(13,23),-1.22297 # DEPENDENCYPART_ARC
(13,25),-2.45364 # DEPENDENCYPART_ARC
(13,26),-3.28873 # DEPENDENCYPART_ARC
(13,27),-1.55384 # DEPENDENCYPART_ARC
(15,9),-1.90188 # DEPENDENCYPART_ARC
(15,12),-1.23638 # DEPENDENCYPART_ARC
(15,14),-0.25875 # DEPENDENCYPART_ARC
