# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(0,1),-1.37157 # DEPENDENCYPART_ARC
(0,5),-3.26956 # DEPENDENCYPART_ARC
(0,6),-3.10741 # DEPENDENCYPART_ARC
(0,9),-2.39397 # DEPENDENCYPART_ARC
(1,2),-0.198158 # DEPENDENCYPART_ARC
(1,3),-1.42097 # DEPENDENCYPART_ARC
(1,4),-1.52971 # DEPENDENCYPART_ARC
(1,5),-1.77788 # DEPENDENCYPART_ARC
(1,6),-1.78667 # DEPENDENCYPART_ARC
(1,8),-1.9991 # DEPENDENCYPART_ARC
(1,9),-1.76684 # DEPENDENCYPART_ARC
(2,1),-0.278254 # DEPENDENCYPART_ARC
(3,2),0.095487 # DEPENDENCYPART_ARC
(3,4),-0.461946 # DEPENDENCYPART_ARC
(3,6),-1.29096 # DEPENDENCYPART_ARC
(4,1),-1.79803 # DEPENDENCYPART_ARC
(4,2),-1.29261 # DEPENDENCYPART_ARC
(4,3),-0.0980947 # DEPENDENCYPART_ARC
(4,5),-0.370045 # DEPENDENCYPART_ARC
(4,6),-0.968774 # DEPENDENCYPART_ARC
(4,7),-1.08294 # DEPENDENCYPART_ARC
(4,8),-1.56897 # DEPENDENCYPART_ARC
(4,12),-1.80052 # DEPENDENCYPART_ARC
(4,23),-1.18428 # DEPENDENCYPART_ARC
(5,1),-1.58691 # DEPENDENCYPART_ARC
(5,2),-1.48954 # DEPENDENCYPART_ARC
(5,3),0.271034 # DEPENDENCYPART_ARC
(5,4),1.51209 # DEPENDENCYPART_ARC
(5,6),0.48166 # DEPENDENCYPART_ARC
(5,7),-1.08809 # DEPENDENCYPART_ARC
(5,8),-1.29879 # DEPENDENCYPART_ARC
(5,9),-1.06576 # DEPENDENCYPART_ARC
(5,10),-1.37055 # DEPENDENCYPART_ARC
(5,12),-1.52434 # DEPENDENCYPART_ARC
(5,13),-1.47149 # DEPENDENCYPART_ARC
(5,16),-1.82082 # DEPENDENCYPART_ARC
(5,17),-1.54928 # DEPENDENCYPART_ARC
(5,20),-2.16365 # DEPENDENCYPART_ARC
(5,21),-2.20202 # DEPENDENCYPART_ARC
(5,23),-2.46101 # DEPENDENCYPART_ARC
(6,4),-1.33898 # DEPENDENCYPART_ARC
(6,5),-0.485238 # DEPENDENCYPART_ARC
(6,7),0.149695 # DEPENDENCYPART_ARC
(6,8),0.237687 # DEPENDENCYPART_ARC
(6,9),-0.959629 # DEPENDENCYPART_ARC
(6,10),-1.22834 # DEPENDENCYPART_ARC
(6,12),-1.80062 # DEPENDENCYPART_ARC
(6,13),-1.34345 # DEPENDENCYPART_ARC
(6,16),-2.32686 # DEPENDENCYPART_ARC
(6,20),-3.44175 # DEPENDENCYPART_ARC
(6,23),-1.005 # DEPENDENCYPART_ARC
(7,1),-2.16062 # DEPENDENCYPART_ARC
(7,3),-1.69966 # DEPENDENCYPART_ARC
(7,4),-1.58932 # DEPENDENCYPART_ARC
(7,5),-1.37655 # DEPENDENCYPART_ARC
(7,6),-0.527306 # DEPENDENCYPART_ARC
(7,9),-0.93123 # DEPENDENCYPART_ARC
(7,10),-1.34066 # DEPENDENCYPART_ARC
(7,12),-1.69437 # DEPENDENCYPART_ARC
(8,1),-2.0062 # DEPENDENCYPART_ARC
(8,2),-1.84006 # DEPENDENCYPART_ARC
(8,3),-1.02549 # DEPENDENCYPART_ARC
(8,4),-0.58575 # DEPENDENCYPART_ARC
(8,5),-1.05988 # DEPENDENCYPART_ARC
(8,6),-0.672221 # DEPENDENCYPART_ARC
(8,7),1.48656 # DEPENDENCYPART_ARC
(8,9),-0.170274 # DEPENDENCYPART_ARC
(8,10),-1.17203 # DEPENDENCYPART_ARC
(8,12),-1.41046 # DEPENDENCYPART_ARC
(8,13),-1.35863 # DEPENDENCYPART_ARC
(8,16),-1.7229 # DEPENDENCYPART_ARC
(8,17),-1.51624 # DEPENDENCYPART_ARC
(8,20),-2.1473 # DEPENDENCYPART_ARC
(9,1),-1.45737 # DEPENDENCYPART_ARC
(9,2),-0.76375 # DEPENDENCYPART_ARC
(9,3),-1.22195 # DEPENDENCYPART_ARC
(9,4),-1.03101 # DEPENDENCYPART_ARC
(9,5),-0.320934 # DEPENDENCYPART_ARC
(9,6),-0.394538 # DEPENDENCYPART_ARC
(9,7),-0.637466 # DEPENDENCYPART_ARC
(9,8),0.533719 # DEPENDENCYPART_ARC
(9,10),0.750249 # DEPENDENCYPART_ARC
(9,11),-0.505752 # DEPENDENCYPART_ARC
(9,12),-0.145788 # DEPENDENCYPART_ARC
(9,13),-0.653148 # DEPENDENCYPART_ARC
(9,15),-1.00884 # DEPENDENCYPART_ARC
(9,16),-0.853796 # DEPENDENCYPART_ARC
(9,17),-1.01169 # DEPENDENCYPART_ARC
(9,20),-1.59819 # DEPENDENCYPART_ARC
(9,21),-1.74561 # DEPENDENCYPART_ARC
(9,22),-2.01695 # DEPENDENCYPART_ARC
(9,23),0.00515386 # DEPENDENCYPART_ARC
(10,2),-1.85085 # DEPENDENCYPART_ARC
(10,5),-1.61011 # DEPENDENCYPART_ARC
(10,6),-1.57873 # DEPENDENCYPART_ARC
(10,7),-1.64492 # DEPENDENCYPART_ARC
(10,8),-1.43341 # DEPENDENCYPART_ARC
(10,11),0.0535869 # DEPENDENCYPART_ARC
(10,12),-0.853015 # DEPENDENCYPART_ARC
(10,13),-0.935387 # DEPENDENCYPART_ARC
(10,15),-1.31632 # DEPENDENCYPART_ARC
(10,16),-1.45348 # DEPENDENCYPART_ARC
