# _root_ As they did when the Philippines was a colony of the U.S. , teachers for the most part teach in English , even though it is a foreign language for most Philippine children .
#goldHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,19,18,18,15,0,19,20,19,26,26,26,19,29,29,26,26,33,33,30,19,
#predictedHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,14,18,18,15,0,19,20,19,26,26,26,19,29,29,26,29,33,33,30,19,
(0,1),-1.96098 # DEPENDENCYPART_ARC
(0,3),-2.07294 # DEPENDENCYPART_ARC
(0,7),-2.68919 # DEPENDENCYPART_ARC
(0,19),-3.24449 # DEPENDENCYPART_ARC
(0,26),-2.73405 # DEPENDENCYPART_ARC
(1,2),-0.026612 # DEPENDENCYPART_ARC
(1,3),-0.928702 # DEPENDENCYPART_ARC
(1,6),-1.89292 # DEPENDENCYPART_ARC
(1,7),-1.76615 # DEPENDENCYPART_ARC
(1,9),-2.55473 # DEPENDENCYPART_ARC
(2,3),-0.229529 # DEPENDENCYPART_ARC
(2,6),-1.46007 # DEPENDENCYPART_ARC
(2,7),-1.53006 # DEPENDENCYPART_ARC
(2,9),-1.59337 # DEPENDENCYPART_ARC
(3,1),0.346305 # DEPENDENCYPART_ARC
(3,2),1.12636 # DEPENDENCYPART_ARC
(3,5),-1.0585 # DEPENDENCYPART_ARC
(3,6),-0.824606 # DEPENDENCYPART_ARC
(3,7),-0.548402 # DEPENDENCYPART_ARC
(3,9),-1.43209 # DEPENDENCYPART_ARC
(3,10),-2.13127 # DEPENDENCYPART_ARC
(3,12),-1.75575 # DEPENDENCYPART_ARC
(3,13),-2.00491 # DEPENDENCYPART_ARC
(3,15),-2.77791 # DEPENDENCYPART_ARC
(3,19),-2.5022 # DEPENDENCYPART_ARC
(3,22),-2.73716 # DEPENDENCYPART_ARC
(3,26),-2.00883 # DEPENDENCYPART_ARC
(3,34),-0.63077 # DEPENDENCYPART_ARC
(5,7),-1.08697 # DEPENDENCYPART_ARC
(6,2),-1.86736 # DEPENDENCYPART_ARC
(6,3),-1.70411 # DEPENDENCYPART_ARC
(6,5),0.913943 # DEPENDENCYPART_ARC
(6,7),-0.433362 # DEPENDENCYPART_ARC
(6,9),-1.49624 # DEPENDENCYPART_ARC
(6,10),-1.6282 # DEPENDENCYPART_ARC
(6,12),-1.81315 # DEPENDENCYPART_ARC
(6,14),-2.0676 # DEPENDENCYPART_ARC
(7,1),-0.212402 # DEPENDENCYPART_ARC
(7,2),-1.54189 # DEPENDENCYPART_ARC
(7,3),-1.31404 # DEPENDENCYPART_ARC
(7,4),0.123929 # DEPENDENCYPART_ARC
(7,5),-0.437465 # DEPENDENCYPART_ARC
(7,6),0.833332 # DEPENDENCYPART_ARC
(7,8),-0.000454892 # DEPENDENCYPART_ARC
(7,9),0.34077 # DEPENDENCYPART_ARC
(7,10),-0.971438 # DEPENDENCYPART_ARC
(7,11),-1.25066 # DEPENDENCYPART_ARC
(7,12),-0.706125 # DEPENDENCYPART_ARC
(7,13),-1.02925 # DEPENDENCYPART_ARC
(7,14),-1.59161 # DEPENDENCYPART_ARC
(7,15),-2.0449 # DEPENDENCYPART_ARC
(7,18),-2.12726 # DEPENDENCYPART_ARC
(7,19),-2.30143 # DEPENDENCYPART_ARC
(7,22),-1.65845 # DEPENDENCYPART_ARC
(7,23),-1.98399 # DEPENDENCYPART_ARC
(7,24),-2.89643 # DEPENDENCYPART_ARC
(7,26),-2.08292 # DEPENDENCYPART_ARC
(7,34),0.787068 # DEPENDENCYPART_ARC
(8,10),-1.11089 # DEPENDENCYPART_ARC
(9,3),-1.69494 # DEPENDENCYPART_ARC
(9,5),-1.60955 # DEPENDENCYPART_ARC
(9,6),-1.39092 # DEPENDENCYPART_ARC
(9,7),-1.05637 # DEPENDENCYPART_ARC
(9,8),1.26086 # DEPENDENCYPART_ARC
(9,10),0.647462 # DEPENDENCYPART_ARC
(9,11),-1.20791 # DEPENDENCYPART_ARC
(9,12),-1.09919 # DEPENDENCYPART_ARC
(9,13),-1.52067 # DEPENDENCYPART_ARC
(9,14),-1.51895 # DEPENDENCYPART_ARC
(9,15),-1.38649 # DEPENDENCYPART_ARC
(9,18),-1.59177 # DEPENDENCYPART_ARC
(9,19),-1.70274 # DEPENDENCYPART_ARC
(9,20),-2.44919 # DEPENDENCYPART_ARC
(9,22),-1.85813 # DEPENDENCYPART_ARC
(9,23),-1.54143 # DEPENDENCYPART_ARC
(9,24),-2.11676 # DEPENDENCYPART_ARC
(9,26),-1.7451 # DEPENDENCYPART_ARC
(9,29),-1.64186 # DEPENDENCYPART_ARC
(9,30),-1.74938 # DEPENDENCYPART_ARC
(9,34),-2.09541 # DEPENDENCYPART_ARC
(10,8),-1.49074 # DEPENDENCYPART_ARC
(10,9),-0.643864 # DEPENDENCYPART_ARC
(10,11),-0.0899243 # DEPENDENCYPART_ARC
(10,12),-0.0231297 # DEPENDENCYPART_ARC
(10,13),-1.27768 # DEPENDENCYPART_ARC
(10,14),-1.7952 # DEPENDENCYPART_ARC
(10,15),-1.83796 # DEPENDENCYPART_ARC
(10,18),-2.47592 # DEPENDENCYPART_ARC
(12,8),-2.21623 # DEPENDENCYPART_ARC
(12,11),0.565757 # DEPENDENCYPART_ARC
(12,13),-0.305181 # DEPENDENCYPART_ARC
(12,14),-1.47294 # DEPENDENCYPART_ARC
(12,15),-1.72149 # DEPENDENCYPART_ARC
(12,17),-2.09704 # DEPENDENCYPART_ARC
(12,18),-2.04273 # DEPENDENCYPART_ARC
(12,19),-2.12308 # DEPENDENCYPART_ARC
(12,22),-1.69767 # DEPENDENCYPART_ARC
(12,26),-2.34279 # DEPENDENCYPART_ARC
(12,34),-2.69671 # DEPENDENCYPART_ARC
(14,8),-2.09893 # DEPENDENCYPART_ARC
(14,9),-1.72515 # DEPENDENCYPART_ARC
(14,10),-1.39646 # DEPENDENCYPART_ARC
(14,11),-0.611153 # DEPENDENCYPART_ARC
(14,12),-0.405232 # DEPENDENCYPART_ARC
(14,13),-0.01415 # DEPENDENCYPART_ARC
(14,15),0.489657 # DEPENDENCYPART_ARC
(14,16),-1.46594 # DEPENDENCYPART_ARC
(14,17),-1.35668 # DEPENDENCYPART_ARC
(14,18),-1.52133 # DEPENDENCYPART_ARC
(14,19),-1.26156 # DEPENDENCYPART_ARC
(14,20),-1.60546 # DEPENDENCYPART_ARC
(14,22),-2.01486 # DEPENDENCYPART_ARC
(14,30),-2.00198 # DEPENDENCYPART_ARC
(14,34),-2.35057 # DEPENDENCYPART_ARC
(15,13),-1.55805 # DEPENDENCYPART_ARC
(15,14),-0.734858 # DEPENDENCYPART_ARC
(15,16),-0.256541 # DEPENDENCYPART_ARC
(15,17),-0.839184 # DEPENDENCYPART_ARC
(15,18),-0.478292 # DEPENDENCYPART_ARC
(15,19),-1.53554 # DEPENDENCYPART_ARC
(15,20),-1.73854 # DEPENDENCYPART_ARC
(15,21),-1.92213 # DEPENDENCYPART_ARC
(16,19),-1.12919 # DEPENDENCYPART_ARC
(17,16),0.178372 # DEPENDENCYPART_ARC
(17,20),-1.26966 # DEPENDENCYPART_ARC
(18,11),-2.45588 # DEPENDENCYPART_ARC
(18,12),-2.60265 # DEPENDENCYPART_ARC
(18,13),-1.7665 # DEPENDENCYPART_ARC
(18,14),-1.11694 # DEPENDENCYPART_ARC
(18,15),-1.20549 # DEPENDENCYPART_ARC
(18,16),0.204076 # DEPENDENCYPART_ARC
(18,17),1.40597 # DEPENDENCYPART_ARC
(18,19),-0.149128 # DEPENDENCYPART_ARC
(18,20),-1.26744 # DEPENDENCYPART_ARC
(18,21),-1.61872 # DEPENDENCYPART_ARC
(19,1),-1.22688 # DEPENDENCYPART_ARC
(19,3),-1.38676 # DEPENDENCYPART_ARC
(19,4),-1.69078 # DEPENDENCYPART_ARC
(19,6),-1.88291 # DEPENDENCYPART_ARC
(19,7),-1.20898 # DEPENDENCYPART_ARC
(19,9),-1.448 # DEPENDENCYPART_ARC
(19,10),-1.37678 # DEPENDENCYPART_ARC
(19,11),-1.8585 # DEPENDENCYPART_ARC
(19,12),-1.70633 # DEPENDENCYPART_ARC
(19,13),-0.815695 # DEPENDENCYPART_ARC
(19,14),-0.238263 # DEPENDENCYPART_ARC
(19,15),-0.240479 # DEPENDENCYPART_ARC
(19,16),-0.792772 # DEPENDENCYPART_ARC
(19,17),-0.545356 # DEPENDENCYPART_ARC
(19,18),0.823395 # DEPENDENCYPART_ARC
(19,20),1.25193 # DEPENDENCYPART_ARC
(19,21),-0.464322 # DEPENDENCYPART_ARC
(19,22),-0.631487 # DEPENDENCYPART_ARC
(19,23),-1.32178 # DEPENDENCYPART_ARC
(19,24),-1.66883 # DEPENDENCYPART_ARC
(19,26),-1.38867 # DEPENDENCYPART_ARC
(19,30),-2.08281 # DEPENDENCYPART_ARC
(19,34),-0.415331 # DEPENDENCYPART_ARC
(20,21),0.934465 # DEPENDENCYPART_ARC
(20,22),-0.809378 # DEPENDENCYPART_ARC
(20,23),-1.41255 # DEPENDENCYPART_ARC
(20,24),-1.76118 # DEPENDENCYPART_ARC
(20,26),-2.03394 # DEPENDENCYPART_ARC
(21,16),-2.91356 # DEPENDENCYPART_ARC
(21,22),-0.323901 # DEPENDENCYPART_ARC
(21,23),-1.67374 # DEPENDENCYPART_ARC
(21,24),-1.89066 # DEPENDENCYPART_ARC
(21,26),-2.17855 # DEPENDENCYPART_ARC
(21,29),-1.84045 # DEPENDENCYPART_ARC
(22,20),-1.04279 # DEPENDENCYPART_ARC
(22,23),-0.719753 # DEPENDENCYPART_ARC
(23,9),-1.32934 # DEPENDENCYPART_ARC
(23,12),-1.41856 # DEPENDENCYPART_ARC
(23,14),-1.79997 # DEPENDENCYPART_ARC
(23,15),-2.06811 # DEPENDENCYPART_ARC
(23,18),-1.93485 # DEPENDENCYPART_ARC
(23,20),-1.79592 # DEPENDENCYPART_ARC
(23,21),-1.66497 # DEPENDENCYPART_ARC
(23,22),0.0610012 # DEPENDENCYPART_ARC
(23,24),-0.152424 # DEPENDENCYPART_ARC
(23,25),-0.980496 # DEPENDENCYPART_ARC
