# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,12,15,13,2,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(0,2),-3.26292 # DEPENDENCYPART_ARC
(0,9),-2.13476 # DEPENDENCYPART_ARC
(0,21),-1.87024 # DEPENDENCYPART_ARC
(1,2),-1.07878 # DEPENDENCYPART_ARC
(1,3),-1.07309 # DEPENDENCYPART_ARC
(1,4),-1.95394 # DEPENDENCYPART_ARC
(1,5),-1.39577 # DEPENDENCYPART_ARC
(1,7),-1.93118 # DEPENDENCYPART_ARC
(1,9),-2.00852 # DEPENDENCYPART_ARC
(2,1),1.27415 # DEPENDENCYPART_ARC
(2,3),1.16154 # DEPENDENCYPART_ARC
(2,4),-0.810425 # DEPENDENCYPART_ARC
(2,5),-0.986844 # DEPENDENCYPART_ARC
(2,6),-1.97694 # DEPENDENCYPART_ARC
(2,7),-1.54654 # DEPENDENCYPART_ARC
(2,8),-2.37423 # DEPENDENCYPART_ARC
(2,9),-0.749788 # DEPENDENCYPART_ARC
(2,11),-2.06984 # DEPENDENCYPART_ARC
(2,12),-1.7768 # DEPENDENCYPART_ARC
(2,13),-2.36884 # DEPENDENCYPART_ARC
(2,16),-1.57264 # DEPENDENCYPART_ARC
(2,20),-1.33437 # DEPENDENCYPART_ARC
(2,34),-3.9132 # DEPENDENCYPART_ARC
(3,4),1.85819 # DEPENDENCYPART_ARC
(3,5),-0.939769 # DEPENDENCYPART_ARC
(3,6),-2.54108 # DEPENDENCYPART_ARC
(3,7),-1.9616 # DEPENDENCYPART_ARC
(3,9),-0.959833 # DEPENDENCYPART_ARC
(4,1),-1.66698 # DEPENDENCYPART_ARC
(4,2),-1.82191 # DEPENDENCYPART_ARC
(4,5),-0.823432 # DEPENDENCYPART_ARC
(4,6),-2.13485 # DEPENDENCYPART_ARC
(4,7),-1.61945 # DEPENDENCYPART_ARC
(4,8),-2.57576 # DEPENDENCYPART_ARC
(4,9),-0.998094 # DEPENDENCYPART_ARC
(4,20),-1.48177 # DEPENDENCYPART_ARC
(4,34),-4.13688 # DEPENDENCYPART_ARC
(6,2),-2.6706 # DEPENDENCYPART_ARC
(6,5),-1.67894 # DEPENDENCYPART_ARC
(6,7),0.41761 # DEPENDENCYPART_ARC
(6,8),-1.70775 # DEPENDENCYPART_ARC
(6,9),-0.725455 # DEPENDENCYPART_ARC
(6,11),-1.70362 # DEPENDENCYPART_ARC
(6,12),-1.86008 # DEPENDENCYPART_ARC
(6,13),-1.39077 # DEPENDENCYPART_ARC
(6,15),-2.18986 # DEPENDENCYPART_ARC
(6,21),-1.97778 # DEPENDENCYPART_ARC
(7,2),-2.18433 # DEPENDENCYPART_ARC
(7,5),-1.97401 # DEPENDENCYPART_ARC
(7,6),-1.09258 # DEPENDENCYPART_ARC
(7,8),1.43747 # DEPENDENCYPART_ARC
(7,9),0.470225 # DEPENDENCYPART_ARC
(7,11),-0.791239 # DEPENDENCYPART_ARC
(7,12),-1.4792 # DEPENDENCYPART_ARC
(7,13),-1.37487 # DEPENDENCYPART_ARC
(7,15),-1.47971 # DEPENDENCYPART_ARC
(7,16),-1.29263 # DEPENDENCYPART_ARC
(7,19),-2.12026 # DEPENDENCYPART_ARC
(7,34),-1.85709 # DEPENDENCYPART_ARC
(8,5),-2.4928 # DEPENDENCYPART_ARC
(8,7),-1.62212 # DEPENDENCYPART_ARC
(8,9),-0.928478 # DEPENDENCYPART_ARC
(9,1),-2.08394 # DEPENDENCYPART_ARC
(9,2),-1.32206 # DEPENDENCYPART_ARC
(9,3),-2.1329 # DEPENDENCYPART_ARC
(9,4),-1.57063 # DEPENDENCYPART_ARC
(9,5),-1.19034 # DEPENDENCYPART_ARC
(9,6),-1.45093 # DEPENDENCYPART_ARC
(9,7),-1.34056 # DEPENDENCYPART_ARC
(9,8),1.35435 # DEPENDENCYPART_ARC
(9,10),-0.60827 # DEPENDENCYPART_ARC
(9,11),0.751732 # DEPENDENCYPART_ARC
(9,12),-0.355239 # DEPENDENCYPART_ARC
(9,13),0.0645923 # DEPENDENCYPART_ARC
(9,14),-1.79348 # DEPENDENCYPART_ARC
(9,15),-1.24145 # DEPENDENCYPART_ARC
(9,16),-0.6111 # DEPENDENCYPART_ARC
(9,17),-1.95395 # DEPENDENCYPART_ARC
(9,19),-1.54534 # DEPENDENCYPART_ARC
(9,20),-0.967058 # DEPENDENCYPART_ARC
(9,21),-0.741833 # DEPENDENCYPART_ARC
(9,22),-1.81161 # DEPENDENCYPART_ARC
(9,23),-2.17265 # DEPENDENCYPART_ARC
(9,24),-1.51929 # DEPENDENCYPART_ARC
(9,29),-1.22288 # DEPENDENCYPART_ARC
(9,30),-2.09103 # DEPENDENCYPART_ARC
(9,34),-0.026768 # DEPENDENCYPART_ARC
(11,6),-2.69356 # DEPENDENCYPART_ARC
(11,8),-1.50501 # DEPENDENCYPART_ARC
(11,10),1.19708 # DEPENDENCYPART_ARC
(11,12),-0.823338 # DEPENDENCYPART_ARC
(11,13),-1.04771 # DEPENDENCYPART_ARC
(11,15),-1.64318 # DEPENDENCYPART_ARC
(11,16),-1.47255 # DEPENDENCYPART_ARC
(11,19),-1.99097 # DEPENDENCYPART_ARC
(11,20),-1.49088 # DEPENDENCYPART_ARC
(11,21),-2.00088 # DEPENDENCYPART_ARC
(11,29),-3.30299 # DEPENDENCYPART_ARC
(11,34),-2.89757 # DEPENDENCYPART_ARC
(12,2),-2.19541 # DEPENDENCYPART_ARC
(12,6),-2.2574 # DEPENDENCYPART_ARC
(12,7),-1.7276 # DEPENDENCYPART_ARC
(12,8),-1.59424 # DEPENDENCYPART_ARC
(12,10),-1.40384 # DEPENDENCYPART_ARC
(12,11),-0.71957 # DEPENDENCYPART_ARC
(12,13),-0.402983 # DEPENDENCYPART_ARC
(12,14),-1.49415 # DEPENDENCYPART_ARC
(12,15),-1.54512 # DEPENDENCYPART_ARC
(12,16),-1.48226 # DEPENDENCYPART_ARC
(12,17),-1.49975 # DEPENDENCYPART_ARC
(12,19),-2.41693 # DEPENDENCYPART_ARC
(12,21),-1.41844 # DEPENDENCYPART_ARC
(12,34),-2.86294 # DEPENDENCYPART_ARC
(13,5),-2.59092 # DEPENDENCYPART_ARC
(13,8),-1.47972 # DEPENDENCYPART_ARC
(13,11),-1.98126 # DEPENDENCYPART_ARC
(13,12),-0.650235 # DEPENDENCYPART_ARC
