# _root_ Next spring , nearly 30 % of its suits will have pleated pants , compared with virtually none a couple of years ago .
#goldHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
#predictedHeads=2,10,10,6,4,10,6,9,7,0,10,13,11,11,11,15,18,16,20,23,20,21,18,10,
(0,1),-1.66872 # DEPENDENCYPART_ARC
(0,2),-2.53746 # DEPENDENCYPART_ARC
(0,4),-3.11284 # DEPENDENCYPART_ARC
(0,5),-3.37037 # DEPENDENCYPART_ARC
(0,6),-3.35972 # DEPENDENCYPART_ARC
(0,10),-2.67944 # DEPENDENCYPART_ARC
(0,11),-2.44082 # DEPENDENCYPART_ARC
(0,15),-2.1669 # DEPENDENCYPART_ARC
(1,2),-0.592706 # DEPENDENCYPART_ARC
(1,3),-1.34833 # DEPENDENCYPART_ARC
(1,5),-2.19223 # DEPENDENCYPART_ARC
(1,6),-2.16785 # DEPENDENCYPART_ARC
(1,10),-1.82259 # DEPENDENCYPART_ARC
(2,1),1.25948 # DEPENDENCYPART_ARC
(2,3),-0.203656 # DEPENDENCYPART_ARC
(2,4),-1.65251 # DEPENDENCYPART_ARC
(2,5),-2.1323 # DEPENDENCYPART_ARC
(2,6),-1.83557 # DEPENDENCYPART_ARC
(2,7),-2.13758 # DEPENDENCYPART_ARC
(2,9),-2.07647 # DEPENDENCYPART_ARC
(2,10),-2.11716 # DEPENDENCYPART_ARC
(2,11),-2.32231 # DEPENDENCYPART_ARC
(2,13),-2.14549 # DEPENDENCYPART_ARC
(2,14),-1.70907 # DEPENDENCYPART_ARC
(2,15),-2.43227 # DEPENDENCYPART_ARC
(2,16),-1.98862 # DEPENDENCYPART_ARC
(2,17),-1.87611 # DEPENDENCYPART_ARC
(2,24),-2.67512 # DEPENDENCYPART_ARC
(3,4),-0.65041 # DEPENDENCYPART_ARC
(4,1),-2.14381 # DEPENDENCYPART_ARC
(4,2),-1.96915 # DEPENDENCYPART_ARC
(4,3),-0.261869 # DEPENDENCYPART_ARC
(4,5),0.374164 # DEPENDENCYPART_ARC
(4,6),-0.559723 # DEPENDENCYPART_ARC
(4,7),-1.00708 # DEPENDENCYPART_ARC
(4,9),-1.22709 # DEPENDENCYPART_ARC
(4,10),-0.989949 # DEPENDENCYPART_ARC
(4,11),-1.08341 # DEPENDENCYPART_ARC
(4,13),-1.50357 # DEPENDENCYPART_ARC
(4,14),-1.39247 # DEPENDENCYPART_ARC
(4,16),-2.13531 # DEPENDENCYPART_ARC
(4,17),-1.96358 # DEPENDENCYPART_ARC
(5,1),-1.98108 # DEPENDENCYPART_ARC
(5,2),-1.7068 # DEPENDENCYPART_ARC
(5,4),-0.239346 # DEPENDENCYPART_ARC
(5,6),-0.445213 # DEPENDENCYPART_ARC
(5,7),-1.36264 # DEPENDENCYPART_ARC
(5,9),-1.65804 # DEPENDENCYPART_ARC
(5,10),-1.3984 # DEPENDENCYPART_ARC
(5,11),-1.44615 # DEPENDENCYPART_ARC
(6,1),-1.64611 # DEPENDENCYPART_ARC
(6,2),-1.96352 # DEPENDENCYPART_ARC
(6,3),-1.63437 # DEPENDENCYPART_ARC
(6,4),-0.0707406 # DEPENDENCYPART_ARC
(6,5),1.00414 # DEPENDENCYPART_ARC
(6,7),0.50084 # DEPENDENCYPART_ARC
(6,9),-0.980262 # DEPENDENCYPART_ARC
(6,10),-0.723591 # DEPENDENCYPART_ARC
(6,11),-0.94121 # DEPENDENCYPART_ARC
(6,12),-1.34484 # DEPENDENCYPART_ARC
(6,13),-1.26811 # DEPENDENCYPART_ARC
(6,14),-1.78327 # DEPENDENCYPART_ARC
(6,15),-1.94549 # DEPENDENCYPART_ARC
(6,20),-1.40155 # DEPENDENCYPART_ARC
(6,24),-2.25255 # DEPENDENCYPART_ARC
(7,2),-2.26094 # DEPENDENCYPART_ARC
(7,4),-1.39114 # DEPENDENCYPART_ARC
(7,5),-1.47968 # DEPENDENCYPART_ARC
(7,6),-0.4812 # DEPENDENCYPART_ARC
(7,8),-0.0601839 # DEPENDENCYPART_ARC
(7,9),-0.110286 # DEPENDENCYPART_ARC
(7,10),-1.31984 # DEPENDENCYPART_ARC
(7,11),-1.34778 # DEPENDENCYPART_ARC
(7,12),-1.50719 # DEPENDENCYPART_ARC
(7,13),-1.76505 # DEPENDENCYPART_ARC
(9,1),-2.57735 # DEPENDENCYPART_ARC
(9,3),-2.1816 # DEPENDENCYPART_ARC
(9,4),-1.26151 # DEPENDENCYPART_ARC
(9,5),-1.29499 # DEPENDENCYPART_ARC
(9,6),-1.231 # DEPENDENCYPART_ARC
(9,7),-1.03951 # DEPENDENCYPART_ARC
(9,8),1.02198 # DEPENDENCYPART_ARC
(9,10),-0.664024 # DEPENDENCYPART_ARC
(9,11),-1.18623 # DEPENDENCYPART_ARC
(9,13),-1.6594 # DEPENDENCYPART_ARC
(9,14),-2.15074 # DEPENDENCYPART_ARC
(9,15),-2.58075 # DEPENDENCYPART_ARC
(10,1),-1.58052 # DEPENDENCYPART_ARC
(10,2),-1.41694 # DEPENDENCYPART_ARC
(10,3),-0.745094 # DEPENDENCYPART_ARC
(10,4),-0.792862 # DEPENDENCYPART_ARC
(10,5),-1.01362 # DEPENDENCYPART_ARC
(10,6),-0.469166 # DEPENDENCYPART_ARC
(10,7),-0.465957 # DEPENDENCYPART_ARC
(10,9),1.22518 # DEPENDENCYPART_ARC
(10,11),1.51297 # DEPENDENCYPART_ARC
(10,12),-0.978466 # DEPENDENCYPART_ARC
(10,13),-1.26995 # DEPENDENCYPART_ARC
(10,14),-1.54059 # DEPENDENCYPART_ARC
(10,15),-1.82763 # DEPENDENCYPART_ARC
(10,16),-2.17086 # DEPENDENCYPART_ARC
(10,17),-1.93334 # DEPENDENCYPART_ARC
(10,18),-2.27653 # DEPENDENCYPART_ARC
(10,24),-0.796035 # DEPENDENCYPART_ARC
(11,2),-2.79496 # DEPENDENCYPART_ARC
(11,3),-1.95441 # DEPENDENCYPART_ARC
(11,4),-1.86722 # DEPENDENCYPART_ARC
(11,5),-2.00216 # DEPENDENCYPART_ARC
(11,6),-1.63892 # DEPENDENCYPART_ARC
(11,7),-1.34693 # DEPENDENCYPART_ARC
(11,9),-1.41971 # DEPENDENCYPART_ARC
(11,10),-0.726529 # DEPENDENCYPART_ARC
(11,12),0.114233 # DEPENDENCYPART_ARC
(11,13),0.166473 # DEPENDENCYPART_ARC
(11,14),-0.92033 # DEPENDENCYPART_ARC
(11,15),-1.45647 # DEPENDENCYPART_ARC
(11,16),-1.87572 # DEPENDENCYPART_ARC
(11,17),-2.09437 # DEPENDENCYPART_ARC
(11,18),-2.28017 # DEPENDENCYPART_ARC
(11,20),-2.05497 # DEPENDENCYPART_ARC
(11,23),-2.09456 # DEPENDENCYPART_ARC
(11,24),-0.934053 # DEPENDENCYPART_ARC
(12,9),-1.368 # DEPENDENCYPART_ARC
(12,11),-0.187456 # DEPENDENCYPART_ARC
(12,13),-0.371829 # DEPENDENCYPART_ARC
(12,14),-1.26958 # DEPENDENCYPART_ARC
(12,15),-1.59471 # DEPENDENCYPART_ARC
(12,16),-2.0148 # DEPENDENCYPART_ARC
(13,3),-1.82716 # DEPENDENCYPART_ARC
(13,4),-1.47683 # DEPENDENCYPART_ARC
(13,5),-1.53725 # DEPENDENCYPART_ARC
(13,7),-1.5675 # DEPENDENCYPART_ARC
(13,8),-1.03313 # DEPENDENCYPART_ARC
(13,9),-0.968209 # DEPENDENCYPART_ARC
(13,11),-0.632666 # DEPENDENCYPART_ARC
(13,12),1.54243 # DEPENDENCYPART_ARC
(13,14),-0.0625766 # DEPENDENCYPART_ARC
(13,15),-1.72788 # DEPENDENCYPART_ARC
(13,16),-1.98957 # DEPENDENCYPART_ARC
(13,17),-1.97025 # DEPENDENCYPART_ARC
(13,18),-2.00148 # DEPENDENCYPART_ARC
(13,20),-2.14474 # DEPENDENCYPART_ARC
(13,24),-2.53571 # DEPENDENCYPART_ARC
(15,2),-1.81566 # DEPENDENCYPART_ARC
(15,3),-2.90083 # DEPENDENCYPART_ARC
(15,6),-2.89939 # DEPENDENCYPART_ARC
(15,7),-2.36484 # DEPENDENCYPART_ARC
(15,9),-2.88294 # DEPENDENCYPART_ARC
(15,12),-2.26846 # DEPENDENCYPART_ARC
(15,13),-2.05526 # DEPENDENCYPART_ARC
(15,14),-0.189927 # DEPENDENCYPART_ARC
(15,16),0.348678 # DEPENDENCYPART_ARC
(15,17),-1.11896 # DEPENDENCYPART_ARC
(15,18),-1.2935 # DEPENDENCYPART_ARC
(15,20),-1.48727 # DEPENDENCYPART_ARC
(15,21),-1.8742 # DEPENDENCYPART_ARC
(15,23),-1.61212 # DEPENDENCYPART_ARC
(15,24),-0.499555 # DEPENDENCYPART_ARC
(16,7),-1.36274 # DEPENDENCYPART_ARC
(16,13),-1.6 # DEPENDENCYPART_ARC
(16,14),-1.1277 # DEPENDENCYPART_ARC
(16,15),-0.0172954 # DEPENDENCYPART_ARC
(16,17),-0.446543 # DEPENDENCYPART_ARC
(16,18),-0.359921 # DEPENDENCYPART_ARC
(16,20),-1.496 # DEPENDENCYPART_ARC
(16,21),-1.77046 # DEPENDENCYPART_ARC
(16,22),-2.2869 # DEPENDENCYPART_ARC
(16,23),-1.99593 # DEPENDENCYPART_ARC
(16,24),-1.37918 # DEPENDENCYPART_ARC
(17,2),-2.07155 # DEPENDENCYPART_ARC
(17,16),-0.401715 # DEPENDENCYPART_ARC
(17,18),-0.167667 # DEPENDENCYPART_ARC
(17,19),-1.02401 # DEPENDENCYPART_ARC
(17,20),-1.29514 # DEPENDENCYPART_ARC
(17,21),-1.38783 # DEPENDENCYPART_ARC
(17,22),-1.47754 # DEPENDENCYPART_ARC
(17,23),-1.61202 # DEPENDENCYPART_ARC
(18,8),-1.91003 # DEPENDENCYPART_ARC
(18,15),-1.22682 # DEPENDENCYPART_ARC
(18,16),-0.802942 # DEPENDENCYPART_ARC
(18,17),0.676482 # DEPENDENCYPART_ARC
(18,19),-0.424088 # DEPENDENCYPART_ARC
(18,20),-0.814667 # DEPENDENCYPART_ARC
(18,21),-0.868881 # DEPENDENCYPART_ARC
(18,22),-1.24578 # DEPENDENCYPART_ARC
(18,23),-1.14971 # DEPENDENCYPART_ARC
(18,24),-1.06045 # DEPENDENCYPART_ARC
(19,21),-1.29498 # DEPENDENCYPART_ARC
(19,23),-1.57609 # DEPENDENCYPART_ARC
(20,17),-1.34144 # DEPENDENCYPART_ARC
(20,18),-0.690182 # DEPENDENCYPART_ARC
(20,19),1.07487 # DEPENDENCYPART_ARC
(20,21),0.572507 # DEPENDENCYPART_ARC
(20,22),-0.765098 # DEPENDENCYPART_ARC
(20,23),-0.677938 # DEPENDENCYPART_ARC
(20,24),-0.939785 # DEPENDENCYPART_ARC
(21,18),-1.39664 # DEPENDENCYPART_ARC
(21,19),-1.3176 # DEPENDENCYPART_ARC
(21,20),-0.449252 # DEPENDENCYPART_ARC
(21,22),0.709577 # DEPENDENCYPART_ARC
(21,23),-1.32557 # DEPENDENCYPART_ARC
(22,17),-2.01602 # DEPENDENCYPART_ARC
(22,18),-1.8601 # DEPENDENCYPART_ARC
(22,19),-1.72369 # DEPENDENCYPART_ARC
(22,20),-1.12983 # DEPENDENCYPART_ARC
(22,21),-0.448961 # DEPENDENCYPART_ARC
(22,23),-0.101059 # DEPENDENCYPART_ARC
(23,16),-0.731865 # DEPENDENCYPART_ARC
(23,18),-0.971095 # DEPENDENCYPART_ARC
(23,20),-0.754448 # DEPENDENCYPART_ARC
(23,21),-0.5613 # DEPENDENCYPART_ARC
(23,22),0.359862 # DEPENDENCYPART_ARC
(23,24),-0.334447 # DEPENDENCYPART_ARC
(24,23),-0.511615 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0148652 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.00893513 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00489596 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00172761 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0176831 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0870618 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0754734 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0183649 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0242043 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0495395 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0437931 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.130361 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.121931 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0226406 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0420099 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0140983 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.106243 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.104613 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.00951778 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0058543 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0966051 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.109721 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0506841 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.12671 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.113773 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.121893 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.120212 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.22587 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0578205 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.000199826 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0382849 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00124033 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0535827 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.153954 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.041027 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0314279 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00349488 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00957222 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0243383 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0139068 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.166719 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0730902 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.113108 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0536894 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00472697 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.02275 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0484322 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0243383 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0973411 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.120251 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00816702 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.124508 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0331706 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0557436 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0308739 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0214626 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0339715 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0371292 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0542889 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0339595 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0364956 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0467095 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0456037 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.035285 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0259914 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0214948 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0329907 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00573282 # DEPENDENCYPART_SIBL
(2,4),(2,9),-9.41838e-05 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00429005 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0147402 # DEPENDENCYPART_SIBL
(2,4),(2,13),-9.6491e-05 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0059506 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00131037 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.000117439 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.00230296 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0167229 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0395158 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00345325 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0390939 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0040401 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0178908 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0390936 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00674966 # DEPENDENCYPART_SIBL
