# _root_ `` Because of distance , it takes a while for them to appreciate the economic stability we 've achieved , '' says one economic policymaker .
#goldHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
#predictedHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
(0,7),-2.33591 # DEPENDENCYPART_ARC
(0,22),-0.252739 # DEPENDENCYPART_ARC
(2,1),-0.335738 # DEPENDENCYPART_ARC
(2,3),0.669373 # DEPENDENCYPART_ARC
(2,4),-0.0207005 # DEPENDENCYPART_ARC
(2,5),-0.967264 # DEPENDENCYPART_ARC
(2,7),-1.53789 # DEPENDENCYPART_ARC
(2,9),-2.64816 # DEPENDENCYPART_ARC
(2,10),-1.72254 # DEPENDENCYPART_ARC
(2,12),-2.09346 # DEPENDENCYPART_ARC
(2,21),-0.860135 # DEPENDENCYPART_ARC
(2,26),-1.11022 # DEPENDENCYPART_ARC
(3,1),-1.5297 # DEPENDENCYPART_ARC
(3,2),-0.29696 # DEPENDENCYPART_ARC
(3,4),0.419162 # DEPENDENCYPART_ARC
(3,5),-1.20656 # DEPENDENCYPART_ARC
(3,7),-2.1505 # DEPENDENCYPART_ARC
(4,1),-1.38872 # DEPENDENCYPART_ARC
(4,2),-1.30412 # DEPENDENCYPART_ARC
(4,3),-0.200668 # DEPENDENCYPART_ARC
(4,5),-0.427543 # DEPENDENCYPART_ARC
(4,6),-1.90243 # DEPENDENCYPART_ARC
(4,7),-2.03045 # DEPENDENCYPART_ARC
(4,9),-2.02312 # DEPENDENCYPART_ARC
(4,16),-1.94261 # DEPENDENCYPART_ARC
(4,20),-2.18539 # DEPENDENCYPART_ARC
(4,21),-1.50353 # DEPENDENCYPART_ARC
(4,26),-2.88361 # DEPENDENCYPART_ARC
(5,2),-1.20842 # DEPENDENCYPART_ARC
(5,3),-1.21334 # DEPENDENCYPART_ARC
(6,5),0.376836 # DEPENDENCYPART_ARC
(6,9),-1.42857 # DEPENDENCYPART_ARC
(6,13),-1.40304 # DEPENDENCYPART_ARC
(7,1),-1.24658 # DEPENDENCYPART_ARC
(7,2),-0.889385 # DEPENDENCYPART_ARC
(7,3),-1.0743 # DEPENDENCYPART_ARC
(7,4),-1.83496 # DEPENDENCYPART_ARC
(7,5),-0.248103 # DEPENDENCYPART_ARC
(7,6),1.03384 # DEPENDENCYPART_ARC
(7,8),0.0657403 # DEPENDENCYPART_ARC
(7,9),0.336319 # DEPENDENCYPART_ARC
(7,10),-0.525244 # DEPENDENCYPART_ARC
(7,12),-1.00302 # DEPENDENCYPART_ARC
(7,13),-0.424185 # DEPENDENCYPART_ARC
(7,15),-1.6077 # DEPENDENCYPART_ARC
(7,16),-1.107 # DEPENDENCYPART_ARC
(7,18),-1.07164 # DEPENDENCYPART_ARC
(7,19),-0.75599 # DEPENDENCYPART_ARC
(7,20),-1.30279 # DEPENDENCYPART_ARC
(7,21),-0.815254 # DEPENDENCYPART_ARC
(7,22),-2.02667 # DEPENDENCYPART_ARC
(7,26),-1.47619 # DEPENDENCYPART_ARC
(8,10),-1.30446 # DEPENDENCYPART_ARC
(8,13),-1.45027 # DEPENDENCYPART_ARC
(9,2),-2.24626 # DEPENDENCYPART_ARC
(9,5),-1.97307 # DEPENDENCYPART_ARC
(9,6),-1.33757 # DEPENDENCYPART_ARC
(9,7),-0.896573 # DEPENDENCYPART_ARC
(9,8),1.28894 # DEPENDENCYPART_ARC
(9,10),0.0723214 # DEPENDENCYPART_ARC
(9,11),-1.35211 # DEPENDENCYPART_ARC
(9,12),-1.39427 # DEPENDENCYPART_ARC
(9,13),-1.05975 # DEPENDENCYPART_ARC
(9,16),-1.67809 # DEPENDENCYPART_ARC
(9,18),-1.44126 # DEPENDENCYPART_ARC
(9,19),-1.65073 # DEPENDENCYPART_ARC
(9,20),-2.20722 # DEPENDENCYPART_ARC
(10,2),-2.02388 # DEPENDENCYPART_ARC
(10,8),-1.42402 # DEPENDENCYPART_ARC
(10,9),-0.56474 # DEPENDENCYPART_ARC
(10,11),0.0832902 # DEPENDENCYPART_ARC
(10,12),-0.972067 # DEPENDENCYPART_ARC
(10,13),-1.17373 # DEPENDENCYPART_ARC
(10,15),-1.4895 # DEPENDENCYPART_ARC
(10,16),-1.87674 # DEPENDENCYPART_ARC
(10,18),-2.01861 # DEPENDENCYPART_ARC
(10,20),-1.55298 # DEPENDENCYPART_ARC
(11,13),-1.06638 # DEPENDENCYPART_ARC
(11,16),-1.60066 # DEPENDENCYPART_ARC
(12,10),-1.14081 # DEPENDENCYPART_ARC
(12,13),-0.349491 # DEPENDENCYPART_ARC
(12,16),-1.96694 # DEPENDENCYPART_ARC
(13,2),-1.48796 # DEPENDENCYPART_ARC
(13,3),-1.87235 # DEPENDENCYPART_ARC
(13,4),-2.50674 # DEPENDENCYPART_ARC
(13,5),-1.79033 # DEPENDENCYPART_ARC
(13,6),-1.90459 # DEPENDENCYPART_ARC
(13,7),-1.62964 # DEPENDENCYPART_ARC
(13,8),-1.39119 # DEPENDENCYPART_ARC
(13,9),-1.0179 # DEPENDENCYPART_ARC
(13,10),-0.53263 # DEPENDENCYPART_ARC
(13,11),-0.614366 # DEPENDENCYPART_ARC
(13,12),1.19496 # DEPENDENCYPART_ARC
(13,14),0.0582995 # DEPENDENCYPART_ARC
(13,15),-0.618145 # DEPENDENCYPART_ARC
(13,16),0.0858506 # DEPENDENCYPART_ARC
(13,17),-1.08036 # DEPENDENCYPART_ARC
(13,18),-0.957687 # DEPENDENCYPART_ARC
(13,19),-0.98037 # DEPENDENCYPART_ARC
(13,20),-1.51283 # DEPENDENCYPART_ARC
(13,21),-1.18731 # DEPENDENCYPART_ARC
(13,22),-2.14746 # DEPENDENCYPART_ARC
(13,23),-2.03584 # DEPENDENCYPART_ARC
(13,25),-1.63225 # DEPENDENCYPART_ARC
(13,26),-2.11889 # DEPENDENCYPART_ARC
(14,15),-0.479615 # DEPENDENCYPART_ARC
(14,18),-1.27139 # DEPENDENCYPART_ARC
(14,19),-1.5753 # DEPENDENCYPART_ARC
(15,9),-1.68757 # DEPENDENCYPART_ARC
(15,11),-1.76543 # DEPENDENCYPART_ARC
(15,14),0.0105601 # DEPENDENCYPART_ARC
(15,18),-1.21291 # DEPENDENCYPART_ARC
(15,19),-1.51512 # DEPENDENCYPART_ARC
(15,25),-2.39367 # DEPENDENCYPART_ARC
(16,10),-1.75976 # DEPENDENCYPART_ARC
(16,11),-1.54213 # DEPENDENCYPART_ARC
(16,12),-1.76097 # DEPENDENCYPART_ARC
(16,14),0.114178 # DEPENDENCYPART_ARC
(16,15),1.18199 # DEPENDENCYPART_ARC
(16,17),-0.355079 # DEPENDENCYPART_ARC
(16,18),-0.434827 # DEPENDENCYPART_ARC
(16,19),-1.00967 # DEPENDENCYPART_ARC
(16,20),-1.7839 # DEPENDENCYPART_ARC
(16,21),-1.74423 # DEPENDENCYPART_ARC
(16,22),-2.1103 # DEPENDENCYPART_ARC
(16,23),-2.22408 # DEPENDENCYPART_ARC
