# _root_ However , HomeFed 's loan originations and purchases plunged 26 % in the quarter , to $ 1.4 billion from $ 1.9 billion a year earlier .
#goldHeads=9,9,7,3,7,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
#predictedHeads=9,9,6,3,6,7,9,7,0,11,9,9,14,12,9,9,16,17,17,9,20,21,21,25,26,20,9,
(0,1),-1.52396 # DEPENDENCYPART_ARC
(0,3),-3.06805 # DEPENDENCYPART_ARC
(0,7),-2.9183 # DEPENDENCYPART_ARC
(0,9),-1.63033 # DEPENDENCYPART_ARC
(0,11),-3.65231 # DEPENDENCYPART_ARC
(1,2),-0.417429 # DEPENDENCYPART_ARC
(1,3),-1.54322 # DEPENDENCYPART_ARC
(1,5),-1.91548 # DEPENDENCYPART_ARC
(1,7),-1.29366 # DEPENDENCYPART_ARC
(1,9),-1.86792 # DEPENDENCYPART_ARC
(2,1),-0.527101 # DEPENDENCYPART_ARC
(3,1),-1.62354 # DEPENDENCYPART_ARC
(3,2),-0.536836 # DEPENDENCYPART_ARC
(3,4),0.941995 # DEPENDENCYPART_ARC
(3,5),-1.09264 # DEPENDENCYPART_ARC
(3,6),-1.39931 # DEPENDENCYPART_ARC
(3,7),-0.790783 # DEPENDENCYPART_ARC
(3,9),-1.17446 # DEPENDENCYPART_ARC
(3,11),-1.40089 # DEPENDENCYPART_ARC
(3,12),-1.40725 # DEPENDENCYPART_ARC
(3,15),-1.63623 # DEPENDENCYPART_ARC
(3,27),-2.20703 # DEPENDENCYPART_ARC
(5,1),-2.56543 # DEPENDENCYPART_ARC
(5,2),-2.26802 # DEPENDENCYPART_ARC
(5,3),-0.587437 # DEPENDENCYPART_ARC
(5,4),-0.689774 # DEPENDENCYPART_ARC
(5,6),-0.722306 # DEPENDENCYPART_ARC
(5,7),-1.56862 # DEPENDENCYPART_ARC
(5,9),-1.45937 # DEPENDENCYPART_ARC
(5,11),-1.82975 # DEPENDENCYPART_ARC
(5,16),-2.71992 # DEPENDENCYPART_ARC
(6,1),-2.51487 # DEPENDENCYPART_ARC
(6,2),-1.97695 # DEPENDENCYPART_ARC
(6,3),-0.51109 # DEPENDENCYPART_ARC
(6,4),-1.41377 # DEPENDENCYPART_ARC
(6,5),1.27606 # DEPENDENCYPART_ARC
(6,7),-0.799368 # DEPENDENCYPART_ARC
(6,8),-1.44426 # DEPENDENCYPART_ARC
(6,9),-1.56554 # DEPENDENCYPART_ARC
(6,11),-1.79931 # DEPENDENCYPART_ARC
(6,15),-2.08397 # DEPENDENCYPART_ARC
(6,16),-2.82053 # DEPENDENCYPART_ARC
(7,1),-1.74915 # DEPENDENCYPART_ARC
(7,2),-0.76963 # DEPENDENCYPART_ARC
(7,3),0.164295 # DEPENDENCYPART_ARC
(7,5),0.115968 # DEPENDENCYPART_ARC
(7,6),2.56075 # DEPENDENCYPART_ARC
(7,8),1.95418 # DEPENDENCYPART_ARC
(7,9),-0.463367 # DEPENDENCYPART_ARC
(7,10),-1.92777 # DEPENDENCYPART_ARC
(7,11),-1.15559 # DEPENDENCYPART_ARC
(7,12),-1.64172 # DEPENDENCYPART_ARC
(7,14),-2.00592 # DEPENDENCYPART_ARC
(7,15),-1.79381 # DEPENDENCYPART_ARC
(7,27),-0.625244 # DEPENDENCYPART_ARC
(8,1),-3.22198 # DEPENDENCYPART_ARC
(8,2),-2.51283 # DEPENDENCYPART_ARC
(8,3),-1.41809 # DEPENDENCYPART_ARC
(8,5),-1.29646 # DEPENDENCYPART_ARC
(8,6),-1.20507 # DEPENDENCYPART_ARC
(8,7),-0.408288 # DEPENDENCYPART_ARC
(8,9),-0.600727 # DEPENDENCYPART_ARC
(8,10),-1.6857 # DEPENDENCYPART_ARC
(8,11),-1.61994 # DEPENDENCYPART_ARC
(8,12),-1.7336 # DEPENDENCYPART_ARC
(8,15),-2.11534 # DEPENDENCYPART_ARC
(8,16),-2.66753 # DEPENDENCYPART_ARC
(9,1),-1.70188 # DEPENDENCYPART_ARC
(9,2),-0.758475 # DEPENDENCYPART_ARC
(9,3),-0.501486 # DEPENDENCYPART_ARC
(9,5),-0.543198 # DEPENDENCYPART_ARC
(9,6),-0.412491 # DEPENDENCYPART_ARC
(9,7),-0.34287 # DEPENDENCYPART_ARC
(9,8),0.923766 # DEPENDENCYPART_ARC
(9,10),0.330238 # DEPENDENCYPART_ARC
(9,11),0.445531 # DEPENDENCYPART_ARC
(9,12),-0.110936 # DEPENDENCYPART_ARC
(9,13),-0.977602 # DEPENDENCYPART_ARC
(9,14),-0.517981 # DEPENDENCYPART_ARC
(9,15),-0.51619 # DEPENDENCYPART_ARC
(9,16),-1.1126 # DEPENDENCYPART_ARC
(9,17),-1.62105 # DEPENDENCYPART_ARC
(9,20),-1.27544 # DEPENDENCYPART_ARC
(9,25),-1.80469 # DEPENDENCYPART_ARC
(9,27),-0.212244 # DEPENDENCYPART_ARC
(10,7),-1.38531 # DEPENDENCYPART_ARC
(10,11),-0.36886 # DEPENDENCYPART_ARC
(10,12),-1.2489 # DEPENDENCYPART_ARC
(10,14),-1.50406 # DEPENDENCYPART_ARC
(10,15),-1.47433 # DEPENDENCYPART_ARC
(11,2),-1.70155 # DEPENDENCYPART_ARC
(11,3),-1.75806 # DEPENDENCYPART_ARC
(11,5),-1.73813 # DEPENDENCYPART_ARC
