# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,12,13,14,15,9,17,20,17,22,20,7,
(0,1),-3.22752 # DEPENDENCYPART_ARC
(0,2),-3.51723 # DEPENDENCYPART_ARC
(0,7),1.63476 # DEPENDENCYPART_ARC
(0,9),-1.24513 # DEPENDENCYPART_ARC
(1,2),-1.40394 # DEPENDENCYPART_ARC
(1,3),-1.6266 # DEPENDENCYPART_ARC
(1,4),-2.15883 # DEPENDENCYPART_ARC
(1,5),-2.32574 # DEPENDENCYPART_ARC
(1,6),-1.66239 # DEPENDENCYPART_ARC
(1,7),-1.80573 # DEPENDENCYPART_ARC
(1,9),-2.0103 # DEPENDENCYPART_ARC
(2,1),1.52832 # DEPENDENCYPART_ARC
(2,3),-0.133058 # DEPENDENCYPART_ARC
(2,4),-1.25836 # DEPENDENCYPART_ARC
(2,5),-0.949106 # DEPENDENCYPART_ARC
(2,6),0.153977 # DEPENDENCYPART_ARC
(2,7),-1.65332 # DEPENDENCYPART_ARC
(2,8),-1.91929 # DEPENDENCYPART_ARC
(2,9),-1.69941 # DEPENDENCYPART_ARC
(2,11),-2.37947 # DEPENDENCYPART_ARC
(2,12),-2.49923 # DEPENDENCYPART_ARC
(2,13),-2.02868 # DEPENDENCYPART_ARC
(2,14),-2.45609 # DEPENDENCYPART_ARC
(2,15),-2.3274 # DEPENDENCYPART_ARC
(2,16),-2.47418 # DEPENDENCYPART_ARC
(2,23),-2.3901 # DEPENDENCYPART_ARC
(3,2),-2.20369 # DEPENDENCYPART_ARC
(4,1),-2.74027 # DEPENDENCYPART_ARC
(4,2),-2.52107 # DEPENDENCYPART_ARC
(4,3),-1.89643 # DEPENDENCYPART_ARC
(4,5),-0.36517 # DEPENDENCYPART_ARC
(4,6),-1.34931 # DEPENDENCYPART_ARC
(4,7),-1.61064 # DEPENDENCYPART_ARC
(4,8),-2.01696 # DEPENDENCYPART_ARC
(4,9),-2.06337 # DEPENDENCYPART_ARC
(4,12),-3.26166 # DEPENDENCYPART_ARC
(5,1),-1.88754 # DEPENDENCYPART_ARC
(5,2),-1.90632 # DEPENDENCYPART_ARC
(5,3),-1.52446 # DEPENDENCYPART_ARC
(5,4),1.69228 # DEPENDENCYPART_ARC
(5,6),-0.702181 # DEPENDENCYPART_ARC
(5,7),-1.54898 # DEPENDENCYPART_ARC
(5,8),-1.85638 # DEPENDENCYPART_ARC
(5,9),-1.86857 # DEPENDENCYPART_ARC
(5,12),-2.75554 # DEPENDENCYPART_ARC
(5,14),-3.00258 # DEPENDENCYPART_ARC
(5,15),-2.00426 # DEPENDENCYPART_ARC
(6,5),-2.20721 # DEPENDENCYPART_ARC
(7,1),-2.50049 # DEPENDENCYPART_ARC
(7,2),-1.46075 # DEPENDENCYPART_ARC
(7,3),-0.359968 # DEPENDENCYPART_ARC
(7,4),-1.5797 # DEPENDENCYPART_ARC
(7,5),-0.694447 # DEPENDENCYPART_ARC
(7,6),-0.292346 # DEPENDENCYPART_ARC
(7,8),0.239109 # DEPENDENCYPART_ARC
(7,9),0.864826 # DEPENDENCYPART_ARC
(7,11),-1.2785 # DEPENDENCYPART_ARC
(7,12),-1.2151 # DEPENDENCYPART_ARC
(7,13),-1.31032 # DEPENDENCYPART_ARC
(7,14),-1.89598 # DEPENDENCYPART_ARC
(7,15),-0.525016 # DEPENDENCYPART_ARC
(7,16),-2.02323 # DEPENDENCYPART_ARC
(7,17),-1.20313 # DEPENDENCYPART_ARC
(7,18),-1.73998 # DEPENDENCYPART_ARC
(7,20),-0.902198 # DEPENDENCYPART_ARC
(7,21),-2.39675 # DEPENDENCYPART_ARC
(7,22),-2.57094 # DEPENDENCYPART_ARC
(7,23),0.609533 # DEPENDENCYPART_ARC
(8,5),-2.63396 # DEPENDENCYPART_ARC
(8,7),-1.68363 # DEPENDENCYPART_ARC
(8,9),-0.835574 # DEPENDENCYPART_ARC
(9,1),-2.37796 # DEPENDENCYPART_ARC
(9,2),-1.66011 # DEPENDENCYPART_ARC
(9,3),-1.27625 # DEPENDENCYPART_ARC
(9,4),-2.06239 # DEPENDENCYPART_ARC
(9,5),-1.99266 # DEPENDENCYPART_ARC
(9,6),-0.973524 # DEPENDENCYPART_ARC
(9,7),-1.43528 # DEPENDENCYPART_ARC
(9,8),1.38685 # DEPENDENCYPART_ARC
(9,10),-0.839828 # DEPENDENCYPART_ARC
(9,11),0.215581 # DEPENDENCYPART_ARC
(9,12),0.118463 # DEPENDENCYPART_ARC
(9,13),-0.271629 # DEPENDENCYPART_ARC
(9,14),-1.66986 # DEPENDENCYPART_ARC
(9,15),-0.577419 # DEPENDENCYPART_ARC
(9,16),-2.07007 # DEPENDENCYPART_ARC
(9,17),-0.364963 # DEPENDENCYPART_ARC
(9,18),-1.44932 # DEPENDENCYPART_ARC
(9,19),-2.08297 # DEPENDENCYPART_ARC
(9,20),-1.23217 # DEPENDENCYPART_ARC
(9,21),-1.82397 # DEPENDENCYPART_ARC
(9,22),-2.31994 # DEPENDENCYPART_ARC
(9,23),-0.00986704 # DEPENDENCYPART_ARC
(10,11),-0.980492 # DEPENDENCYPART_ARC
(10,13),-1.61604 # DEPENDENCYPART_ARC
(11,10),0.0975116 # DEPENDENCYPART_ARC
(11,12),-1.03247 # DEPENDENCYPART_ARC
(11,13),-0.784586 # DEPENDENCYPART_ARC
(11,14),-1.92459 # DEPENDENCYPART_ARC
(11,15),-1.37254 # DEPENDENCYPART_ARC
(11,17),-1.83919 # DEPENDENCYPART_ARC
(11,20),-1.77099 # DEPENDENCYPART_ARC
(12,1),-2.42904 # DEPENDENCYPART_ARC
(12,2),-3.01718 # DEPENDENCYPART_ARC
(12,3),-2.75905 # DEPENDENCYPART_ARC
(12,4),-2.36612 # DEPENDENCYPART_ARC
(12,5),-3.2977 # DEPENDENCYPART_ARC
(12,6),-2.80616 # DEPENDENCYPART_ARC
(12,7),-1.85956 # DEPENDENCYPART_ARC
(12,8),-1.92173 # DEPENDENCYPART_ARC
(12,9),-1.41305 # DEPENDENCYPART_ARC
(12,10),0.957507 # DEPENDENCYPART_ARC
(12,11),1.82583 # DEPENDENCYPART_ARC
(12,13),0.160496 # DEPENDENCYPART_ARC
(12,14),-1.44317 # DEPENDENCYPART_ARC
(12,15),-0.615984 # DEPENDENCYPART_ARC
(12,16),-1.72134 # DEPENDENCYPART_ARC
(12,17),-1.60849 # DEPENDENCYPART_ARC
(12,18),-2.10599 # DEPENDENCYPART_ARC
(12,20),-1.3045 # DEPENDENCYPART_ARC
(12,21),-2.06348 # DEPENDENCYPART_ARC
(12,22),-2.6284 # DEPENDENCYPART_ARC
(13,12),-1.48519 # DEPENDENCYPART_ARC
(13,14),-0.0498362 # DEPENDENCYPART_ARC
(13,15),-1.03974 # DEPENDENCYPART_ARC
(13,16),-1.31175 # DEPENDENCYPART_ARC
(13,17),-1.86117 # DEPENDENCYPART_ARC
(13,18),-1.36068 # DEPENDENCYPART_ARC
