# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,6,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(0,1),-3.6899 # DEPENDENCYPART_ARC
(0,6),-3.86946 # DEPENDENCYPART_ARC
(0,9),-0.193537 # DEPENDENCYPART_ARC
(1,2),-0.20609 # DEPENDENCYPART_ARC
(1,3),-1.34885 # DEPENDENCYPART_ARC
(1,4),-2.19145 # DEPENDENCYPART_ARC
(1,5),-1.9383 # DEPENDENCYPART_ARC
(1,6),-2.03862 # DEPENDENCYPART_ARC
(1,7),-1.80005 # DEPENDENCYPART_ARC
(1,8),-0.0626823 # DEPENDENCYPART_ARC
(1,9),-2.40553 # DEPENDENCYPART_ARC
(1,10),-2.46193 # DEPENDENCYPART_ARC
(1,11),-2.53234 # DEPENDENCYPART_ARC
(1,13),-3.54053 # DEPENDENCYPART_ARC
(1,17),-4.01528 # DEPENDENCYPART_ARC
(1,18),-3.54854 # DEPENDENCYPART_ARC
(2,1),-2.38325 # DEPENDENCYPART_ARC
(2,3),-1.83064 # DEPENDENCYPART_ARC
(3,1),-2.53431 # DEPENDENCYPART_ARC
(3,2),-1.55168 # DEPENDENCYPART_ARC
(3,4),-0.935925 # DEPENDENCYPART_ARC
(3,5),-1.3464 # DEPENDENCYPART_ARC
(3,6),-1.7547 # DEPENDENCYPART_ARC
(3,7),-1.99736 # DEPENDENCYPART_ARC
(3,8),-1.96587 # DEPENDENCYPART_ARC
(3,9),-1.53084 # DEPENDENCYPART_ARC
(3,10),-2.3411 # DEPENDENCYPART_ARC
(3,11),-2.00304 # DEPENDENCYPART_ARC
(3,13),-2.9642 # DEPENDENCYPART_ARC
(3,14),-2.23362 # DEPENDENCYPART_ARC
(3,16),-2.50442 # DEPENDENCYPART_ARC
(3,18),-3.32718 # DEPENDENCYPART_ARC
(4,1),-2.6861 # DEPENDENCYPART_ARC
(4,2),-2.46633 # DEPENDENCYPART_ARC
(4,3),-1.7789 # DEPENDENCYPART_ARC
(4,5),-1.55352 # DEPENDENCYPART_ARC
(4,6),-1.63593 # DEPENDENCYPART_ARC
(4,8),-2.02431 # DEPENDENCYPART_ARC
(4,10),-2.38515 # DEPENDENCYPART_ARC
(5,1),-2.89622 # DEPENDENCYPART_ARC
(5,2),-2.12076 # DEPENDENCYPART_ARC
(5,3),-1.73212 # DEPENDENCYPART_ARC
(5,4),-0.903492 # DEPENDENCYPART_ARC
(5,6),-0.747808 # DEPENDENCYPART_ARC
(5,7),-1.36927 # DEPENDENCYPART_ARC
(5,8),-1.69559 # DEPENDENCYPART_ARC
(5,10),-2.17897 # DEPENDENCYPART_ARC
(5,11),-1.91885 # DEPENDENCYPART_ARC
(5,14),-2.18996 # DEPENDENCYPART_ARC
(6,1),-1.9403 # DEPENDENCYPART_ARC
(6,2),-1.77261 # DEPENDENCYPART_ARC
(6,3),-0.610214 # DEPENDENCYPART_ARC
(6,4),-1.61147 # DEPENDENCYPART_ARC
(6,5),0.932562 # DEPENDENCYPART_ARC
(6,7),-0.455234 # DEPENDENCYPART_ARC
(6,8),-1.83451 # DEPENDENCYPART_ARC
(6,9),-1.5409 # DEPENDENCYPART_ARC
(6,10),-1.72069 # DEPENDENCYPART_ARC
(6,11),-1.61763 # DEPENDENCYPART_ARC
(6,13),-2.51931 # DEPENDENCYPART_ARC
(6,14),-2.40661 # DEPENDENCYPART_ARC
(6,16),-2.23014 # DEPENDENCYPART_ARC
(6,17),-3.14749 # DEPENDENCYPART_ARC
(6,18),-2.62108 # DEPENDENCYPART_ARC
(7,1),-2.58323 # DEPENDENCYPART_ARC
(7,2),-1.4107 # DEPENDENCYPART_ARC
(7,3),-0.664653 # DEPENDENCYPART_ARC
(7,4),1.3046 # DEPENDENCYPART_ARC
(7,5),0.08341 # DEPENDENCYPART_ARC
(7,6),0.832466 # DEPENDENCYPART_ARC
(7,8),-0.613063 # DEPENDENCYPART_ARC
(7,9),-1.47797 # DEPENDENCYPART_ARC
(7,10),-1.81871 # DEPENDENCYPART_ARC
(7,11),-1.93029 # DEPENDENCYPART_ARC
(7,13),-2.55624 # DEPENDENCYPART_ARC
(7,14),-2.7471 # DEPENDENCYPART_ARC
(7,16),-2.56501 # DEPENDENCYPART_ARC
(7,17),-2.78488 # DEPENDENCYPART_ARC
(7,18),-2.83937 # DEPENDENCYPART_ARC
(8,7),-2.01725 # DEPENDENCYPART_ARC
(9,1),-0.736832 # DEPENDENCYPART_ARC
(9,2),-1.332 # DEPENDENCYPART_ARC
(9,3),-1.51739 # DEPENDENCYPART_ARC
(9,4),-1.8748 # DEPENDENCYPART_ARC
(9,5),-1.50425 # DEPENDENCYPART_ARC
