# _root_ Instead , New York City police seized the stolen goods , and Mr. Krisher avoided jail .
#goldHeads=7,7,6,6,6,7,12,10,10,7,12,0,14,15,12,15,12,
#predictedHeads=7,7,6,6,6,7,12,10,10,7,12,0,14,15,12,15,12,
(0,1),-1.3853 # DEPENDENCYPART_ARC
(0,6),-3.3833 # DEPENDENCYPART_ARC
(0,7),-2.08565 # DEPENDENCYPART_ARC
(0,9),-2.71058 # DEPENDENCYPART_ARC
(0,12),-1.70579 # DEPENDENCYPART_ARC
(0,14),-3.41705 # DEPENDENCYPART_ARC
(0,15),-1.83277 # DEPENDENCYPART_ARC
(0,16),-3.51246 # DEPENDENCYPART_ARC
(1,2),-0.228162 # DEPENDENCYPART_ARC
(1,3),-1.36642 # DEPENDENCYPART_ARC
(1,4),-1.62656 # DEPENDENCYPART_ARC
(1,6),-1.79822 # DEPENDENCYPART_ARC
(1,7),-1.75966 # DEPENDENCYPART_ARC
(1,10),-2.07019 # DEPENDENCYPART_ARC
(1,12),-0.93876 # DEPENDENCYPART_ARC
(1,15),-1.58 # DEPENDENCYPART_ARC
(2,1),-0.344086 # DEPENDENCYPART_ARC
(3,1),-2.35046 # DEPENDENCYPART_ARC
(3,2),-1.25988 # DEPENDENCYPART_ARC
(3,4),-0.545342 # DEPENDENCYPART_ARC
(3,5),-1.43755 # DEPENDENCYPART_ARC
(3,7),-1.18162 # DEPENDENCYPART_ARC
(3,9),-1.63242 # DEPENDENCYPART_ARC
(3,10),-1.99351 # DEPENDENCYPART_ARC
(4,1),-2.95064 # DEPENDENCYPART_ARC
(4,2),-2.17312 # DEPENDENCYPART_ARC
(4,3),-0.111272 # DEPENDENCYPART_ARC
(4,5),-0.515155 # DEPENDENCYPART_ARC
(4,6),-1.60622 # DEPENDENCYPART_ARC
(4,7),-1.21631 # DEPENDENCYPART_ARC
(4,10),-1.9667 # DEPENDENCYPART_ARC
(5,1),-2.68786 # DEPENDENCYPART_ARC
(5,2),-2.26219 # DEPENDENCYPART_ARC
(5,3),-0.674962 # DEPENDENCYPART_ARC
(5,4),0.0751414 # DEPENDENCYPART_ARC
(5,6),-0.702681 # DEPENDENCYPART_ARC
(5,7),-1.07218 # DEPENDENCYPART_ARC
(5,9),-1.72128 # DEPENDENCYPART_ARC
(5,10),-1.85038 # DEPENDENCYPART_ARC
(5,11),-1.75147 # DEPENDENCYPART_ARC
(5,12),-1.66549 # DEPENDENCYPART_ARC
(5,14),-2.25054 # DEPENDENCYPART_ARC
(5,17),-2.4399 # DEPENDENCYPART_ARC
(6,1),-1.47827 # DEPENDENCYPART_ARC
(6,2),-0.95558 # DEPENDENCYPART_ARC
(6,3),0.602036 # DEPENDENCYPART_ARC
(6,4),0.989155 # DEPENDENCYPART_ARC
(6,5),2.04256 # DEPENDENCYPART_ARC
(6,7),-0.426935 # DEPENDENCYPART_ARC
(6,8),-1.4867 # DEPENDENCYPART_ARC
(6,9),-1.4891 # DEPENDENCYPART_ARC
(6,10),-1.4069 # DEPENDENCYPART_ARC
(6,11),-1.50132 # DEPENDENCYPART_ARC
(6,12),-1.48284 # DEPENDENCYPART_ARC
(6,14),-1.85798 # DEPENDENCYPART_ARC
(6,15),-2.49586 # DEPENDENCYPART_ARC
(6,16),-1.86807 # DEPENDENCYPART_ARC
(6,17),-2.20845 # DEPENDENCYPART_ARC
(7,1),-1.57798 # DEPENDENCYPART_ARC
(7,2),-0.648966 # DEPENDENCYPART_ARC
(7,3),-0.66396 # DEPENDENCYPART_ARC
(7,4),-0.680029 # DEPENDENCYPART_ARC
(7,5),-0.586763 # DEPENDENCYPART_ARC
(7,6),0.598185 # DEPENDENCYPART_ARC
(7,8),0.464376 # DEPENDENCYPART_ARC
(7,9),0.0302732 # DEPENDENCYPART_ARC
(7,10),-0.440456 # DEPENDENCYPART_ARC
(7,11),-0.903529 # DEPENDENCYPART_ARC
(7,12),-0.836163 # DEPENDENCYPART_ARC
(7,13),-1.91674 # DEPENDENCYPART_ARC
(7,14),-1.68988 # DEPENDENCYPART_ARC
(7,15),-1.87122 # DEPENDENCYPART_ARC
(7,16),-1.76851 # DEPENDENCYPART_ARC
(7,17),-0.969266 # DEPENDENCYPART_ARC
(8,9),-0.207725 # DEPENDENCYPART_ARC
(8,11),-1.17851 # DEPENDENCYPART_ARC
(9,2),-2.00208 # DEPENDENCYPART_ARC
(9,6),-1.62999 # DEPENDENCYPART_ARC
(9,7),-1.8044 # DEPENDENCYPART_ARC
(9,8),-0.554893 # DEPENDENCYPART_ARC
(9,10),-0.273695 # DEPENDENCYPART_ARC
(9,11),-1.34483 # DEPENDENCYPART_ARC
(9,12),-1.61561 # DEPENDENCYPART_ARC
(9,14),-2.4555 # DEPENDENCYPART_ARC
(9,15),-2.48262 # DEPENDENCYPART_ARC
(9,16),-3.13675 # DEPENDENCYPART_ARC
(9,17),-2.39802 # DEPENDENCYPART_ARC
(10,1),-1.9003 # DEPENDENCYPART_ARC
(10,2),-1.34708 # DEPENDENCYPART_ARC
(10,3),-1.00605 # DEPENDENCYPART_ARC
(10,4),-1.05217 # DEPENDENCYPART_ARC
(10,5),-0.627344 # DEPENDENCYPART_ARC
(10,6),-0.847866 # DEPENDENCYPART_ARC
(10,7),-0.687038 # DEPENDENCYPART_ARC
(10,8),0.0936075 # DEPENDENCYPART_ARC
(10,9),1.3177 # DEPENDENCYPART_ARC
(10,11),-0.200802 # DEPENDENCYPART_ARC
(10,12),-1.67349 # DEPENDENCYPART_ARC
(10,13),-1.54724 # DEPENDENCYPART_ARC
(10,14),-1.87613 # DEPENDENCYPART_ARC
(10,15),-1.8843 # DEPENDENCYPART_ARC
(10,16),-2.03745 # DEPENDENCYPART_ARC
(10,17),-1.96304 # DEPENDENCYPART_ARC
(12,1),-1.48521 # DEPENDENCYPART_ARC
(12,2),-1.51032 # DEPENDENCYPART_ARC
(12,3),-1.37083 # DEPENDENCYPART_ARC
