# _root_ Fewer people said they were working up a sweat with such activities as jogging , tennis , swimming and aerobics .
#goldHeads=2,3,0,5,3,5,6,9,6,6,12,10,12,19,19,19,19,19,13,19,3,
#predictedHeads=2,3,0,5,3,5,6,9,6,9,12,10,12,19,19,19,19,19,13,19,3,
(0,2),-2.66737 # DEPENDENCYPART_ARC
(0,3),-1.27175 # DEPENDENCYPART_ARC
(0,5),-2.5697 # DEPENDENCYPART_ARC
(0,6),-2.71717 # DEPENDENCYPART_ARC
(0,19),-2.22597 # DEPENDENCYPART_ARC
(1,3),-0.944931 # DEPENDENCYPART_ARC
(1,5),-1.46047 # DEPENDENCYPART_ARC
(2,1),1.35122 # DEPENDENCYPART_ARC
(2,3),-0.0772924 # DEPENDENCYPART_ARC
(2,4),-1.23476 # DEPENDENCYPART_ARC
(2,5),-1.04545 # DEPENDENCYPART_ARC
(2,6),-1.23272 # DEPENDENCYPART_ARC
(2,10),-0.908069 # DEPENDENCYPART_ARC
(2,17),-1.8052 # DEPENDENCYPART_ARC
(3,1),-0.791086 # DEPENDENCYPART_ARC
(3,2),1.0599 # DEPENDENCYPART_ARC
(3,4),0.113233 # DEPENDENCYPART_ARC
(3,5),0.472221 # DEPENDENCYPART_ARC
(3,6),-0.244002 # DEPENDENCYPART_ARC
(3,7),-0.835827 # DEPENDENCYPART_ARC
(3,9),-1.18055 # DEPENDENCYPART_ARC
(3,10),-1.33147 # DEPENDENCYPART_ARC
(3,12),-1.23109 # DEPENDENCYPART_ARC
(3,13),-1.57887 # DEPENDENCYPART_ARC
(3,15),-1.68606 # DEPENDENCYPART_ARC
(3,17),-2.13888 # DEPENDENCYPART_ARC
(3,19),-0.684031 # DEPENDENCYPART_ARC
(3,21),-0.0600264 # DEPENDENCYPART_ARC
(4,5),-0.26411 # DEPENDENCYPART_ARC
(5,1),-1.37528 # DEPENDENCYPART_ARC
(5,2),-0.947764 # DEPENDENCYPART_ARC
(5,3),-1.54711 # DEPENDENCYPART_ARC
(5,4),0.898691 # DEPENDENCYPART_ARC
(5,6),1.32304 # DEPENDENCYPART_ARC
(5,7),-0.907229 # DEPENDENCYPART_ARC
(5,9),-1.10945 # DEPENDENCYPART_ARC
(5,10),-1.45207 # DEPENDENCYPART_ARC
(5,12),-1.62007 # DEPENDENCYPART_ARC
(5,13),-1.9134 # DEPENDENCYPART_ARC
(5,15),-2.0886 # DEPENDENCYPART_ARC
(5,17),-2.48209 # DEPENDENCYPART_ARC
(5,19),-1.26264 # DEPENDENCYPART_ARC
(5,21),-1.01587 # DEPENDENCYPART_ARC
(6,2),-1.90065 # DEPENDENCYPART_ARC
(6,3),-2.50405 # DEPENDENCYPART_ARC
(6,4),-1.79053 # DEPENDENCYPART_ARC
(6,5),-1.23979 # DEPENDENCYPART_ARC
(6,7),0.808461 # DEPENDENCYPART_ARC
(6,8),-0.821525 # DEPENDENCYPART_ARC
(6,9),-0.0543995 # DEPENDENCYPART_ARC
(6,10),-0.451734 # DEPENDENCYPART_ARC
(6,11),-1.10288 # DEPENDENCYPART_ARC
(6,12),-0.673501 # DEPENDENCYPART_ARC
(6,13),-0.858453 # DEPENDENCYPART_ARC
(6,14),-1.20816 # DEPENDENCYPART_ARC
(6,15),-1.06655 # DEPENDENCYPART_ARC
(6,16),-2.03611 # DEPENDENCYPART_ARC
(6,17),-1.50676 # DEPENDENCYPART_ARC
(6,19),-0.670237 # DEPENDENCYPART_ARC
(6,20),-1.82053 # DEPENDENCYPART_ARC
(6,21),-1.41906 # DEPENDENCYPART_ARC
(7,6),0.117304 # DEPENDENCYPART_ARC
(7,9),-1.1886 # DEPENDENCYPART_ARC
(7,12),-1.63295 # DEPENDENCYPART_ARC
(7,19),-1.36859 # DEPENDENCYPART_ARC
(8,10),-1.30537 # DEPENDENCYPART_ARC
(9,4),-1.64531 # DEPENDENCYPART_ARC
(9,7),-0.982539 # DEPENDENCYPART_ARC
(9,8),1.23152 # DEPENDENCYPART_ARC
(9,10),0.295634 # DEPENDENCYPART_ARC
(9,11),-1.2582 # DEPENDENCYPART_ARC
(9,12),-1.25417 # DEPENDENCYPART_ARC
(9,13),-0.865738 # DEPENDENCYPART_ARC
(9,14),-1.7056 # DEPENDENCYPART_ARC
(9,15),-1.87523 # DEPENDENCYPART_ARC
(9,16),-2.05057 # DEPENDENCYPART_ARC
(9,17),-2.01777 # DEPENDENCYPART_ARC
(9,19),-1.16695 # DEPENDENCYPART_ARC
(9,21),-1.3817 # DEPENDENCYPART_ARC
(10,8),-1.38013 # DEPENDENCYPART_ARC
(10,9),-0.548142 # DEPENDENCYPART_ARC
(10,11),-0.164 # DEPENDENCYPART_ARC
(10,12),-0.33482 # DEPENDENCYPART_ARC
(10,13),-1.56377 # DEPENDENCYPART_ARC
(10,14),-1.37433 # DEPENDENCYPART_ARC
(10,15),-1.67464 # DEPENDENCYPART_ARC
(10,16),-2.71317 # DEPENDENCYPART_ARC
(10,19),-0.977642 # DEPENDENCYPART_ARC
(10,20),-2.6836 # DEPENDENCYPART_ARC
(11,9),-1.33831 # DEPENDENCYPART_ARC
(11,13),-1.40762 # DEPENDENCYPART_ARC
(11,14),-1.63872 # DEPENDENCYPART_ARC
(12,8),-1.01085 # DEPENDENCYPART_ARC
(12,9),-0.792922 # DEPENDENCYPART_ARC
(12,10),-0.729815 # DEPENDENCYPART_ARC
(12,11),1.78602 # DEPENDENCYPART_ARC
(12,13),0.174581 # DEPENDENCYPART_ARC
(12,14),-1.33535 # DEPENDENCYPART_ARC
(12,15),-1.81919 # DEPENDENCYPART_ARC
(12,16),-2.034 # DEPENDENCYPART_ARC
(12,17),-2.10869 # DEPENDENCYPART_ARC
(12,19),-1.35027 # DEPENDENCYPART_ARC
(13,9),-1.40299 # DEPENDENCYPART_ARC
(13,10),-1.05755 # DEPENDENCYPART_ARC
(13,11),-0.962625 # DEPENDENCYPART_ARC
(13,12),-0.3987 # DEPENDENCYPART_ARC
(13,14),0.499542 # DEPENDENCYPART_ARC
(13,15),-1.2742 # DEPENDENCYPART_ARC
(13,16),-2.1015 # DEPENDENCYPART_ARC
(13,18),-2.00692 # DEPENDENCYPART_ARC
(13,19),-0.864396 # DEPENDENCYPART_ARC
(13,20),-2.60847 # DEPENDENCYPART_ARC
(14,8),-2.62 # DEPENDENCYPART_ARC
(14,9),-1.61429 # DEPENDENCYPART_ARC
(14,10),-1.64068 # DEPENDENCYPART_ARC
(14,11),-1.28174 # DEPENDENCYPART_ARC
(14,12),-0.706643 # DEPENDENCYPART_ARC
(14,13),-0.0743076 # DEPENDENCYPART_ARC
(14,15),0.158796 # DEPENDENCYPART_ARC
(14,16),-0.914103 # DEPENDENCYPART_ARC
(14,17),-1.12068 # DEPENDENCYPART_ARC
(14,18),-1.64644 # DEPENDENCYPART_ARC
(14,19),-1.38759 # DEPENDENCYPART_ARC
(14,20),-1.73874 # DEPENDENCYPART_ARC
(14,21),-1.31203 # DEPENDENCYPART_ARC
(16,8),-2.51647 # DEPENDENCYPART_ARC
(16,11),-1.61935 # DEPENDENCYPART_ARC
(16,12),-1.65571 # DEPENDENCYPART_ARC
(16,13),-1.55642 # DEPENDENCYPART_ARC
(16,14),-0.439128 # DEPENDENCYPART_ARC
(16,15),0.574659 # DEPENDENCYPART_ARC
(16,17),0.460692 # DEPENDENCYPART_ARC
(16,18),-1.38382 # DEPENDENCYPART_ARC
(16,20),-1.64283 # DEPENDENCYPART_ARC
(16,21),-1.60701 # DEPENDENCYPART_ARC
(18,8),-2.13855 # DEPENDENCYPART_ARC
(18,11),-2.07096 # DEPENDENCYPART_ARC
(18,14),-1.28042 # DEPENDENCYPART_ARC
(18,16),-0.918792 # DEPENDENCYPART_ARC
(18,17),-0.350176 # DEPENDENCYPART_ARC
(18,20),-1.4086 # DEPENDENCYPART_ARC
(19,2),-0.606329 # DEPENDENCYPART_ARC
(19,3),-1.59812 # DEPENDENCYPART_ARC
(19,4),-1.16795 # DEPENDENCYPART_ARC
(19,5),-1.24229 # DEPENDENCYPART_ARC
(19,6),-0.872725 # DEPENDENCYPART_ARC
(19,8),-1.1039 # DEPENDENCYPART_ARC
(19,9),-0.583607 # DEPENDENCYPART_ARC
(19,10),-1.06275 # DEPENDENCYPART_ARC
(19,11),-1.03379 # DEPENDENCYPART_ARC
(19,12),-0.55382 # DEPENDENCYPART_ARC
(19,13),-1.03452 # DEPENDENCYPART_ARC
(19,14),0.0686463 # DEPENDENCYPART_ARC
(19,15),-0.810502 # DEPENDENCYPART_ARC
(19,16),-0.000851232 # DEPENDENCYPART_ARC
(19,17),0.393515 # DEPENDENCYPART_ARC
(19,18),2.65314 # DEPENDENCYPART_ARC
(19,20),1.9219 # DEPENDENCYPART_ARC
(19,21),-1.02685 # DEPENDENCYPART_ARC
(20,14),-2.59507 # DEPENDENCYPART_ARC
(20,16),-2.35054 # DEPENDENCYPART_ARC
(20,18),-1.00227 # DEPENDENCYPART_ARC
(20,21),-0.633785 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.138245 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.129344 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.121606 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.108239 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.244943 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.240938 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.209778 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.228236 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.183323 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.182076 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00459749 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.117321 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0136033 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0795236 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0697258 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0222764 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00138111 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0117732 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00108192 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00543785 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.030362 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0687381 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00773046 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.000566932 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0172259 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.000771849 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0176137 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0376016 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0327809 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0361762 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00477044 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0324488 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0105709 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0873019 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0324555 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0246861 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0455857 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.029221 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0884629 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0272824 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0149983 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00602234 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00602234 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0151637 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.028987 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0902506 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0248485 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.038563 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0527196 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.119139 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.102931 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.121037 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0802512 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00319146 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00319146 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0412788 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0212535 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0680067 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0524499 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0175144 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.040164 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0490962 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0386064 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0439281 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.065991 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.065991 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0547607 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0930175 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.102228 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0690841 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0507714 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.11693 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0492616 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0999702 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0275573 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0275573 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.143711 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.00487213 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0618601 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0393897 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0976693 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0378799 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0804282 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.054811 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.054811 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.135898 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.000399532 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0364926 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0509221 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0446162 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0555276 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0780455 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0780455 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0726933 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0724738 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0309692 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0702015 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0820993 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0467417 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0467417 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.107189 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0556149 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00776535 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0700038 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0222103 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0222103 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0453677 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0305177 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0734347 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0297384 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0297384 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.100779 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0427533 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0187081 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0187081 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0725762 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0116396 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0354381 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.057683 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0252113 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.057683 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.0252113 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.0422941 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00585562 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0120896 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00221618 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00606197 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0224308 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0358128 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0620523 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0377517 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0129854 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0513432 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0513432 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0221754 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.013016 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0230636 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.121087 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0449024 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.114419 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00442557 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0819467 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00252815 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0808382 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0164324 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0164324 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00194023 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00921023 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0120527 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0404975 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00382859 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00370472 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0712142 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00229179 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0871625 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0645548 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0645548 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0112078 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0568111 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0353468 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0761645 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0449356 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.134724 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.047213 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0371998 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0542021 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0542021 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0388668 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.00198061 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0740072 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0316844 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0841443 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0301746 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0905534 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0576461 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0576461 # DEPENDENCYPART_SIBL
