# _root_ At Donaldson , Lufkin & Jenrette Inc. , head equity trader Dudley Eppel said : `` I think the opening was constructive .
#goldHeads=14,1,2,2,4,5,6,14,13,13,13,13,14,0,14,14,18,14,20,21,18,21,14,
#predictedHeads=14,1,2,2,4,5,6,14,13,13,13,13,14,0,14,14,18,14,20,21,18,21,14,
(0,14),0.970576 # DEPENDENCYPART_ARC
(0,18),-2.12439 # DEPENDENCYPART_ARC
(0,21),-3.0617 # DEPENDENCYPART_ARC
(1,2),1.18775 # DEPENDENCYPART_ARC
(1,3),-1.37266 # DEPENDENCYPART_ARC
(1,4),-1.73821 # DEPENDENCYPART_ARC
(1,5),-1.60576 # DEPENDENCYPART_ARC
(1,6),-2.56447 # DEPENDENCYPART_ARC
(1,8),-1.3001 # DEPENDENCYPART_ARC
(1,18),-2.15163 # DEPENDENCYPART_ARC
(2,1),-1.8823 # DEPENDENCYPART_ARC
(2,3),0.381387 # DEPENDENCYPART_ARC
(2,4),-0.438517 # DEPENDENCYPART_ARC
(2,5),-0.973233 # DEPENDENCYPART_ARC
(2,7),-1.74931 # DEPENDENCYPART_ARC
(2,8),-0.878124 # DEPENDENCYPART_ARC
(2,10),-2.99089 # DEPENDENCYPART_ARC
(2,11),-3.19218 # DEPENDENCYPART_ARC
(2,13),-4.51303 # DEPENDENCYPART_ARC
(2,14),-2.65746 # DEPENDENCYPART_ARC
(2,15),-1.70277 # DEPENDENCYPART_ARC
(2,16),-2.51997 # DEPENDENCYPART_ARC
(2,21),-2.97694 # DEPENDENCYPART_ARC
(3,1),-2.7823 # DEPENDENCYPART_ARC
(4,1),-2.04869 # DEPENDENCYPART_ARC
(4,2),-1.08354 # DEPENDENCYPART_ARC
(4,3),-1.00883 # DEPENDENCYPART_ARC
(4,5),2.10831 # DEPENDENCYPART_ARC
(4,6),-1.07124 # DEPENDENCYPART_ARC
(4,7),-0.378933 # DEPENDENCYPART_ARC
(4,8),-0.619054 # DEPENDENCYPART_ARC
(4,9),-1.99286 # DEPENDENCYPART_ARC
(4,10),-2.469 # DEPENDENCYPART_ARC
(4,11),-2.75437 # DEPENDENCYPART_ARC
(4,13),-3.14051 # DEPENDENCYPART_ARC
(4,14),-2.06904 # DEPENDENCYPART_ARC
(4,15),-1.34284 # DEPENDENCYPART_ARC
(4,16),-2.21335 # DEPENDENCYPART_ARC
(4,18),-1.9781 # DEPENDENCYPART_ARC
(4,21),-2.7065 # DEPENDENCYPART_ARC
(4,22),-2.9306 # DEPENDENCYPART_ARC
(4,23),-2.67766 # DEPENDENCYPART_ARC
(5,1),-2.28367 # DEPENDENCYPART_ARC
(5,3),-2.41022 # DEPENDENCYPART_ARC
(5,6),0.403864 # DEPENDENCYPART_ARC
(5,7),-0.420109 # DEPENDENCYPART_ARC
(5,8),-1.07079 # DEPENDENCYPART_ARC
(5,9),-1.58524 # DEPENDENCYPART_ARC
