# _root_ Under the circumstances , it wo n't be easy for GM to exceed its record 1988 fourth-quarter net of $ 1.4 billion , the spokesman acknowledged .
#goldHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
#predictedHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
(0,1),-1.76194 # DEPENDENCYPART_ARC
(0,3),-2.61137 # DEPENDENCYPART_ARC
(0,6),-2.46917 # DEPENDENCYPART_ARC
(0,8),-2.90351 # DEPENDENCYPART_ARC
(0,13),-3.50119 # DEPENDENCYPART_ARC
(0,26),-3.06089 # DEPENDENCYPART_ARC
(1,2),0.133462 # DEPENDENCYPART_ARC
(1,3),0.267091 # DEPENDENCYPART_ARC
(1,4),-0.966358 # DEPENDENCYPART_ARC
(1,6),-1.63523 # DEPENDENCYPART_ARC
(1,7),-1.59467 # DEPENDENCYPART_ARC
(1,8),-1.76116 # DEPENDENCYPART_ARC
(2,1),-0.35155 # DEPENDENCYPART_ARC
(2,4),-1.20536 # DEPENDENCYPART_ARC
(3,1),-0.893575 # DEPENDENCYPART_ARC
(3,2),1.10973 # DEPENDENCYPART_ARC
(3,4),-0.194199 # DEPENDENCYPART_ARC
(3,6),-1.53939 # DEPENDENCYPART_ARC
(3,7),-1.81156 # DEPENDENCYPART_ARC
(3,8),-2.09864 # DEPENDENCYPART_ARC
(3,9),-1.91064 # DEPENDENCYPART_ARC
(3,10),-1.9311 # DEPENDENCYPART_ARC
(3,11),-1.97843 # DEPENDENCYPART_ARC
(3,12),-1.84687 # DEPENDENCYPART_ARC
(3,13),-2.34592 # DEPENDENCYPART_ARC
(3,23),-1.81923 # DEPENDENCYPART_ARC
(3,27),-2.08183 # DEPENDENCYPART_ARC
(5,4),0.108155 # DEPENDENCYPART_ARC
(5,8),-1.07694 # DEPENDENCYPART_ARC
(5,13),-1.2981 # DEPENDENCYPART_ARC
(6,1),-1.18919 # DEPENDENCYPART_ARC
(6,2),-1.66066 # DEPENDENCYPART_ARC
(6,3),-1.47013 # DEPENDENCYPART_ARC
(6,4),-0.410204 # DEPENDENCYPART_ARC
(6,5),0.816274 # DEPENDENCYPART_ARC
(6,7),1.22071 # DEPENDENCYPART_ARC
(6,8),0.829138 # DEPENDENCYPART_ARC
(6,10),-0.757939 # DEPENDENCYPART_ARC
(6,13),-0.671179 # DEPENDENCYPART_ARC
(6,19),-0.846068 # DEPENDENCYPART_ARC
(6,23),-0.806728 # DEPENDENCYPART_ARC
(6,26),-1.75434 # DEPENDENCYPART_ARC
(6,27),-0.522118 # DEPENDENCYPART_ARC
(7,1),-2.21611 # DEPENDENCYPART_ARC
(7,3),-2.15539 # DEPENDENCYPART_ARC
(7,4),-1.5865 # DEPENDENCYPART_ARC
(7,5),-1.54498 # DEPENDENCYPART_ARC
(7,8),-0.519598 # DEPENDENCYPART_ARC
(7,9),-1.46196 # DEPENDENCYPART_ARC
(7,10),-1.51414 # DEPENDENCYPART_ARC
(7,11),-1.73126 # DEPENDENCYPART_ARC
(7,12),-1.62897 # DEPENDENCYPART_ARC
(8,1),-1.66949 # DEPENDENCYPART_ARC
(8,3),-2.25082 # DEPENDENCYPART_ARC
(8,4),-1.39185 # DEPENDENCYPART_ARC
(8,5),-1.25518 # DEPENDENCYPART_ARC
(8,6),-1.29988 # DEPENDENCYPART_ARC
(8,7),0.096063 # DEPENDENCYPART_ARC
(8,9),0.795032 # DEPENDENCYPART_ARC
(8,10),-0.208178 # DEPENDENCYPART_ARC
(8,11),-0.487404 # DEPENDENCYPART_ARC
(8,12),-0.827496 # DEPENDENCYPART_ARC
(8,13),-0.633138 # DEPENDENCYPART_ARC
(8,15),-1.16038 # DEPENDENCYPART_ARC
(8,17),-1.31854 # DEPENDENCYPART_ARC
(8,18),-1.15859 # DEPENDENCYPART_ARC
(8,23),-0.764258 # DEPENDENCYPART_ARC
(8,26),-1.93321 # DEPENDENCYPART_ARC
(8,27),-1.2853 # DEPENDENCYPART_ARC
(9,5),-1.50998 # DEPENDENCYPART_ARC
(9,7),-1.00062 # DEPENDENCYPART_ARC
(9,8),0.0480598 # DEPENDENCYPART_ARC
(9,10),0.402023 # DEPENDENCYPART_ARC
(9,11),-0.684999 # DEPENDENCYPART_ARC
(9,12),-0.641485 # DEPENDENCYPART_ARC
(9,13),-0.614062 # DEPENDENCYPART_ARC
(9,15),-0.822502 # DEPENDENCYPART_ARC
(9,17),-0.872028 # DEPENDENCYPART_ARC
(9,18),-1.23191 # DEPENDENCYPART_ARC
(9,19),-1.17364 # DEPENDENCYPART_ARC
(9,25),-1.69897 # DEPENDENCYPART_ARC
(9,27),-1.5741 # DEPENDENCYPART_ARC
(10,7),-1.44689 # DEPENDENCYPART_ARC
(10,9),-0.527107 # DEPENDENCYPART_ARC
(10,11),0.566111 # DEPENDENCYPART_ARC
(10,12),-0.87611 # DEPENDENCYPART_ARC
(10,13),-1.11621 # DEPENDENCYPART_ARC
(10,15),-1.48501 # DEPENDENCYPART_ARC
(10,16),-1.56875 # DEPENDENCYPART_ARC
(10,18),-1.9966 # DEPENDENCYPART_ARC
(11,9),-1.56001 # DEPENDENCYPART_ARC
(11,10),-0.924606 # DEPENDENCYPART_ARC
(11,13),-0.758453 # DEPENDENCYPART_ARC
(11,15),-1.45453 # DEPENDENCYPART_ARC
(11,16),-1.71931 # DEPENDENCYPART_ARC
(11,19),-1.4992 # DEPENDENCYPART_ARC
(11,27),-2.02227 # DEPENDENCYPART_ARC
(12,10),-0.954062 # DEPENDENCYPART_ARC
(12,13),-0.415021 # DEPENDENCYPART_ARC
(12,16),-1.81545 # DEPENDENCYPART_ARC
(12,18),-2.27838 # DEPENDENCYPART_ARC
(13,1),-1.79681 # DEPENDENCYPART_ARC
(13,3),-2.45514 # DEPENDENCYPART_ARC
(13,4),-1.84679 # DEPENDENCYPART_ARC
(13,6),-1.53378 # DEPENDENCYPART_ARC
(13,7),-1.5931 # DEPENDENCYPART_ARC
(13,8),-1.56999 # DEPENDENCYPART_ARC
(13,9),-1.28916 # DEPENDENCYPART_ARC
(13,10),-0.427702 # DEPENDENCYPART_ARC
(13,11),-0.71094 # DEPENDENCYPART_ARC
(13,12),1.1424 # DEPENDENCYPART_ARC
(13,14),0.219355 # DEPENDENCYPART_ARC
(13,15),-0.523611 # DEPENDENCYPART_ARC
(13,16),-1.0261 # DEPENDENCYPART_ARC
(13,17),-1.01594 # DEPENDENCYPART_ARC
(13,18),-0.217046 # DEPENDENCYPART_ARC
(13,19),-1.09063 # DEPENDENCYPART_ARC
(13,20),-1.17833 # DEPENDENCYPART_ARC
(13,23),-1.0314 # DEPENDENCYPART_ARC
