# _root_ The explosion sent shards of metal flying , severing the DC-10 's hydraulic or control systems , and led to the crash that killed 112 people .
#goldHeads=2,18,18,7,4,5,3,3,3,11,16,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
#predictedHeads=2,18,18,3,4,5,3,18,18,11,9,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
(0,2),-2.09466 # DEPENDENCYPART_ARC
(0,3),-1.57196 # DEPENDENCYPART_ARC
(0,7),-2.58603 # DEPENDENCYPART_ARC
(0,9),-2.71476 # DEPENDENCYPART_ARC
(0,12),-3.18584 # DEPENDENCYPART_ARC
(0,18),-1.25179 # DEPENDENCYPART_ARC
(0,19),-2.11753 # DEPENDENCYPART_ARC
(2,1),1.37543 # DEPENDENCYPART_ARC
(2,3),-0.0135097 # DEPENDENCYPART_ARC
(2,4),-1.06861 # DEPENDENCYPART_ARC
(2,5),-1.06151 # DEPENDENCYPART_ARC
(2,7),-1.44282 # DEPENDENCYPART_ARC
(2,8),-1.4074 # DEPENDENCYPART_ARC
(2,18),-1.03421 # DEPENDENCYPART_ARC
(3,1),-0.535365 # DEPENDENCYPART_ARC
(3,2),0.659565 # DEPENDENCYPART_ARC
(3,4),1.07608 # DEPENDENCYPART_ARC
(3,5),-0.400744 # DEPENDENCYPART_ARC
(3,6),-0.708157 # DEPENDENCYPART_ARC
(3,7),-0.560036 # DEPENDENCYPART_ARC
(3,8),-0.95066 # DEPENDENCYPART_ARC
(3,9),-1.5126 # DEPENDENCYPART_ARC
(3,12),-1.91106 # DEPENDENCYPART_ARC
(3,13),-1.65512 # DEPENDENCYPART_ARC
(3,14),-1.26448 # DEPENDENCYPART_ARC
(3,17),-1.70273 # DEPENDENCYPART_ARC
(3,18),-0.95246 # DEPENDENCYPART_ARC
(3,19),-1.52801 # DEPENDENCYPART_ARC
(3,24),-1.79375 # DEPENDENCYPART_ARC
(3,27),-0.740479 # DEPENDENCYPART_ARC
(4,1),-1.17326 # DEPENDENCYPART_ARC
(4,2),-0.632417 # DEPENDENCYPART_ARC
(4,3),0.352472 # DEPENDENCYPART_ARC
(4,5),0.875546 # DEPENDENCYPART_ARC
(4,6),-0.754877 # DEPENDENCYPART_ARC
(4,7),-0.584154 # DEPENDENCYPART_ARC
(4,8),-1.32221 # DEPENDENCYPART_ARC
(4,9),-1.79728 # DEPENDENCYPART_ARC
(4,11),-1.42089 # DEPENDENCYPART_ARC
(4,13),-1.42519 # DEPENDENCYPART_ARC
(4,17),-1.38735 # DEPENDENCYPART_ARC
(4,18),-0.732684 # DEPENDENCYPART_ARC
(4,24),-1.54693 # DEPENDENCYPART_ARC
(5,2),-1.47101 # DEPENDENCYPART_ARC
(5,6),0.689871 # DEPENDENCYPART_ARC
(5,7),-1.01209 # DEPENDENCYPART_ARC
(5,14),-1.92363 # DEPENDENCYPART_ARC
(6,1),-2.15168 # DEPENDENCYPART_ARC
(6,4),-0.980391 # DEPENDENCYPART_ARC
(6,5),-0.280938 # DEPENDENCYPART_ARC
(6,7),0.128385 # DEPENDENCYPART_ARC
(6,8),-1.14076 # DEPENDENCYPART_ARC
(6,11),-1.41677 # DEPENDENCYPART_ARC
(6,16),-1.53752 # DEPENDENCYPART_ARC
(6,17),-1.46149 # DEPENDENCYPART_ARC
(6,18),-1.08961 # DEPENDENCYPART_ARC
(7,2),-1.42067 # DEPENDENCYPART_ARC
(7,3),-2.19087 # DEPENDENCYPART_ARC
(7,4),-1.12773 # DEPENDENCYPART_ARC
(7,5),-1.0426 # DEPENDENCYPART_ARC
(7,6),0.0250983 # DEPENDENCYPART_ARC
(7,8),0.419689 # DEPENDENCYPART_ARC
(7,9),-1.25234 # DEPENDENCYPART_ARC
(7,11),-2.29918 # DEPENDENCYPART_ARC
(7,12),-2.48327 # DEPENDENCYPART_ARC
(7,13),-2.17437 # DEPENDENCYPART_ARC
(7,14),-1.65252 # DEPENDENCYPART_ARC
(7,17),-2.1522 # DEPENDENCYPART_ARC
(7,18),-1.37448 # DEPENDENCYPART_ARC
(7,19),-2.2811 # DEPENDENCYPART_ARC
(7,20),-1.95392 # DEPENDENCYPART_ARC
(7,27),-1.99076 # DEPENDENCYPART_ARC
(8,9),-0.252117 # DEPENDENCYPART_ARC
(9,3),-2.27247 # DEPENDENCYPART_ARC
(9,4),-2.65165 # DEPENDENCYPART_ARC
(9,5),-2.09831 # DEPENDENCYPART_ARC
(9,6),-2.53233 # DEPENDENCYPART_ARC
(9,8),-0.166809 # DEPENDENCYPART_ARC
(9,10),0.0284454 # DEPENDENCYPART_ARC
(9,11),-0.0964143 # DEPENDENCYPART_ARC
(9,12),-0.734393 # DEPENDENCYPART_ARC
(9,13),-1.21499 # DEPENDENCYPART_ARC
(9,14),-0.782538 # DEPENDENCYPART_ARC
(9,15),-1.38511 # DEPENDENCYPART_ARC
(9,16),-1.16756 # DEPENDENCYPART_ARC
(9,17),-1.61467 # DEPENDENCYPART_ARC
(9,18),-1.31673 # DEPENDENCYPART_ARC
(9,19),-2.31545 # DEPENDENCYPART_ARC
(9,20),-1.76629 # DEPENDENCYPART_ARC
(9,27),-1.37285 # DEPENDENCYPART_ARC
(10,12),-1.15534 # DEPENDENCYPART_ARC
