# _root_ Jack W. Forrest , Environmental Systems president and chief executive officer , said the change increases the company 's effective tax rate to about 35 % from 20 % .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
(0,2),-3.73917 # DEPENDENCYPART_ARC
(0,3),-4.6088 # DEPENDENCYPART_ARC
(0,13),1.61124 # DEPENDENCYPART_ARC
(0,16),-1.47701 # DEPENDENCYPART_ARC
(1,2),-1.77792 # DEPENDENCYPART_ARC
(1,3),-1.97162 # DEPENDENCYPART_ARC
(1,4),-1.39604 # DEPENDENCYPART_ARC
(1,5),-2.84714 # DEPENDENCYPART_ARC
(1,6),-3.68025 # DEPENDENCYPART_ARC
(1,7),-3.38636 # DEPENDENCYPART_ARC
(1,8),-3.31508 # DEPENDENCYPART_ARC
(1,11),-3.40042 # DEPENDENCYPART_ARC
(1,12),-1.84293 # DEPENDENCYPART_ARC
(2,1),-0.181146 # DEPENDENCYPART_ARC
(2,3),-0.43344 # DEPENDENCYPART_ARC
(2,4),-1.21931 # DEPENDENCYPART_ARC
(2,5),-2.17927 # DEPENDENCYPART_ARC
(2,6),-2.98475 # DEPENDENCYPART_ARC
(2,7),-2.48689 # DEPENDENCYPART_ARC
(2,8),-2.67069 # DEPENDENCYPART_ARC
(2,11),-2.67278 # DEPENDENCYPART_ARC
(2,12),-1.43613 # DEPENDENCYPART_ARC
(2,15),-4.55001 # DEPENDENCYPART_ARC
(2,16),-3.07469 # DEPENDENCYPART_ARC
(3,1),0.32373 # DEPENDENCYPART_ARC
(3,2),0.919873 # DEPENDENCYPART_ARC
(3,4),0.371051 # DEPENDENCYPART_ARC
(3,5),-1.25097 # DEPENDENCYPART_ARC
(3,6),-1.98119 # DEPENDENCYPART_ARC
(3,7),-1.52842 # DEPENDENCYPART_ARC
(3,8),-2.10923 # DEPENDENCYPART_ARC
(3,9),-2.10686 # DEPENDENCYPART_ARC
(3,10),-2.16943 # DEPENDENCYPART_ARC
(3,11),-1.801 # DEPENDENCYPART_ARC
(3,12),0.146281 # DEPENDENCYPART_ARC
(3,15),-3.91565 # DEPENDENCYPART_ARC
(3,16),-2.31928 # DEPENDENCYPART_ARC
(3,18),-4.00092 # DEPENDENCYPART_ARC
(3,19),-4.03783 # DEPENDENCYPART_ARC
(3,22),-4.7332 # DEPENDENCYPART_ARC
(5,1),-3.73249 # DEPENDENCYPART_ARC
(5,2),-3.28414 # DEPENDENCYPART_ARC
(5,3),-2.64942 # DEPENDENCYPART_ARC
(5,4),-1.90939 # DEPENDENCYPART_ARC
(5,6),-1.53825 # DEPENDENCYPART_ARC
(5,7),-2.38789 # DEPENDENCYPART_ARC
(5,8),-2.13838 # DEPENDENCYPART_ARC
(5,12),-2.0833 # DEPENDENCYPART_ARC
(6,1),-2.79856 # DEPENDENCYPART_ARC
(6,2),-2.74195 # DEPENDENCYPART_ARC
(6,3),-2.63775 # DEPENDENCYPART_ARC
(6,4),-1.80138 # DEPENDENCYPART_ARC
(6,5),0.0687514 # DEPENDENCYPART_ARC
(6,7),-0.847992 # DEPENDENCYPART_ARC
(6,8),-1.05863 # DEPENDENCYPART_ARC
(6,9),-1.86816 # DEPENDENCYPART_ARC
(6,11),-2.27585 # DEPENDENCYPART_ARC
(6,12),-0.976217 # DEPENDENCYPART_ARC
(6,16),-2.22469 # DEPENDENCYPART_ARC
(7,1),-2.11026 # DEPENDENCYPART_ARC
(7,2),-1.31182 # DEPENDENCYPART_ARC
(7,3),-1.65998 # DEPENDENCYPART_ARC
(7,4),-1.67038 # DEPENDENCYPART_ARC
(7,5),0.466523 # DEPENDENCYPART_ARC
(7,6),0.8453 # DEPENDENCYPART_ARC
(7,8),1.18332 # DEPENDENCYPART_ARC
(7,9),-1.17552 # DEPENDENCYPART_ARC
(7,10),-1.49415 # DEPENDENCYPART_ARC
(7,11),-1.58567 # DEPENDENCYPART_ARC
(7,12),-1.01069 # DEPENDENCYPART_ARC
(7,15),-2.39863 # DEPENDENCYPART_ARC
(7,16),-2.08895 # DEPENDENCYPART_ARC
(7,19),-3.36851 # DEPENDENCYPART_ARC
(7,22),-3.59629 # DEPENDENCYPART_ARC
(7,24),-2.16294 # DEPENDENCYPART_ARC
(7,27),-1.64041 # DEPENDENCYPART_ARC
(8,6),-2.12359 # DEPENDENCYPART_ARC
(8,9),0.168107 # DEPENDENCYPART_ARC
(8,10),-0.68966 # DEPENDENCYPART_ARC
(8,11),-0.189646 # DEPENDENCYPART_ARC
(8,12),-1.44456 # DEPENDENCYPART_ARC
(8,13),-0.385394 # DEPENDENCYPART_ARC
(8,15),-2.02602 # DEPENDENCYPART_ARC
(8,16),-1.31573 # DEPENDENCYPART_ARC
(8,18),-2.15567 # DEPENDENCYPART_ARC
(8,22),-2.97461 # DEPENDENCYPART_ARC
(8,23),-1.56461 # DEPENDENCYPART_ARC
(8,26),-2.6578 # DEPENDENCYPART_ARC
(9,10),-1.19676 # DEPENDENCYPART_ARC
(9,11),-1.6086 # DEPENDENCYPART_ARC
(10,6),-2.12222 # DEPENDENCYPART_ARC
(10,7),-1.83028 # DEPENDENCYPART_ARC
(10,8),-1.63116 # DEPENDENCYPART_ARC
(10,9),-0.022329 # DEPENDENCYPART_ARC
(11,1),-1.93397 # DEPENDENCYPART_ARC
(11,2),-1.91356 # DEPENDENCYPART_ARC
(11,3),-2.44295 # DEPENDENCYPART_ARC
(11,4),-2.57467 # DEPENDENCYPART_ARC
(11,5),-0.91414 # DEPENDENCYPART_ARC
(11,6),-0.680225 # DEPENDENCYPART_ARC
(11,7),-0.905039 # DEPENDENCYPART_ARC
(11,8),-1.59889 # DEPENDENCYPART_ARC
(11,9),0.92905 # DEPENDENCYPART_ARC
(11,10),1.83247 # DEPENDENCYPART_ARC
(11,12),-0.994665 # DEPENDENCYPART_ARC
(11,13),-1.63085 # DEPENDENCYPART_ARC
(11,15),-2.35773 # DEPENDENCYPART_ARC
(11,16),-2.32718 # DEPENDENCYPART_ARC
(11,19),-3.23463 # DEPENDENCYPART_ARC
(13,1),-1.29559 # DEPENDENCYPART_ARC
(13,2),-1.47643 # DEPENDENCYPART_ARC
(13,3),-0.97559 # DEPENDENCYPART_ARC
(13,4),-0.965477 # DEPENDENCYPART_ARC
(13,5),-1.39967 # DEPENDENCYPART_ARC
(13,6),-0.983618 # DEPENDENCYPART_ARC
(13,7),-1.02559 # DEPENDENCYPART_ARC
(13,8),-1.84716 # DEPENDENCYPART_ARC
(13,9),-1.57797 # DEPENDENCYPART_ARC
(13,10),-1.28586 # DEPENDENCYPART_ARC
(13,11),-0.619537 # DEPENDENCYPART_ARC
(13,12),-0.303574 # DEPENDENCYPART_ARC
(13,14),-0.848069 # DEPENDENCYPART_ARC
(13,15),-0.201645 # DEPENDENCYPART_ARC
(13,16),0.661877 # DEPENDENCYPART_ARC
(13,18),-1.24958 # DEPENDENCYPART_ARC
(13,19),-1.96014 # DEPENDENCYPART_ARC
(13,20),-2.08963 # DEPENDENCYPART_ARC
(13,22),-1.33404 # DEPENDENCYPART_ARC
(13,23),-1.54639 # DEPENDENCYPART_ARC
(13,24),-1.5516 # DEPENDENCYPART_ARC
(13,27),-1.24991 # DEPENDENCYPART_ARC
(13,30),2.20658 # DEPENDENCYPART_ARC
(15,10),-1.73778 # DEPENDENCYPART_ARC
(15,11),-2.26256 # DEPENDENCYPART_ARC
(15,13),-1.60743 # DEPENDENCYPART_ARC
(15,14),1.37587 # DEPENDENCYPART_ARC
(15,16),-0.51818 # DEPENDENCYPART_ARC
(15,18),-1.39769 # DEPENDENCYPART_ARC
(15,19),-1.50538 # DEPENDENCYPART_ARC
(15,22),-2.21528 # DEPENDENCYPART_ARC
(15,23),-1.45247 # DEPENDENCYPART_ARC
(16,1),-1.99806 # DEPENDENCYPART_ARC
(16,2),-2.1747 # DEPENDENCYPART_ARC
(16,3),-2.10233 # DEPENDENCYPART_ARC
(16,4),-1.88667 # DEPENDENCYPART_ARC
(16,5),-1.95801 # DEPENDENCYPART_ARC
(16,6),-1.74702 # DEPENDENCYPART_ARC
(16,7),-1.67617 # DEPENDENCYPART_ARC
(16,8),-1.71606 # DEPENDENCYPART_ARC
(16,9),-2.12449 # DEPENDENCYPART_ARC
(16,10),-2.04892 # DEPENDENCYPART_ARC
(16,11),-1.57275 # DEPENDENCYPART_ARC
(16,12),-1.07582 # DEPENDENCYPART_ARC
(16,13),-1.13338 # DEPENDENCYPART_ARC
(16,14),-1.21682 # DEPENDENCYPART_ARC
(16,15),0.697159 # DEPENDENCYPART_ARC
(16,17),-0.870234 # DEPENDENCYPART_ARC
(16,18),0.106254 # DEPENDENCYPART_ARC
(16,19),-1.43915 # DEPENDENCYPART_ARC
(16,20),-1.35505 # DEPENDENCYPART_ARC
(16,21),-0.811575 # DEPENDENCYPART_ARC
(16,22),-1.15701 # DEPENDENCYPART_ARC
(16,23),-0.977085 # DEPENDENCYPART_ARC
(16,24),-1.8672 # DEPENDENCYPART_ARC
(16,26),-1.68593 # DEPENDENCYPART_ARC
(16,27),-1.31459 # DEPENDENCYPART_ARC
(16,29),-2.25853 # DEPENDENCYPART_ARC
(16,30),0.0910081 # DEPENDENCYPART_ARC
(18,14),-0.631704 # DEPENDENCYPART_ARC
(18,15),-0.643729 # DEPENDENCYPART_ARC
(18,16),-0.90015 # DEPENDENCYPART_ARC
(18,17),2.57448 # DEPENDENCYPART_ARC
(18,19),1.95125 # DEPENDENCYPART_ARC
(18,20),-0.967473 # DEPENDENCYPART_ARC
(18,21),-1.34765 # DEPENDENCYPART_ARC
(18,23),-1.23357 # DEPENDENCYPART_ARC
(18,24),-1.41332 # DEPENDENCYPART_ARC
(18,26),-2.29779 # DEPENDENCYPART_ARC
(18,27),-1.08209 # DEPENDENCYPART_ARC
(18,29),-3.0105 # DEPENDENCYPART_ARC
(19,20),-1.5703 # DEPENDENCYPART_ARC
(20,18),-1.88628 # DEPENDENCYPART_ARC
(20,19),-1.72458 # DEPENDENCYPART_ARC
(20,21),-0.91704 # DEPENDENCYPART_ARC
(21,17),-2.77474 # DEPENDENCYPART_ARC
