# _root_ Many employers have already begun moving to southern countries such as Spain and Italy , where wages are low and unions are weaker ; demand for trained labor and managers will rise there , FMC says .
#goldHeads=2,3,36,3,3,5,6,9,7,11,9,11,12,13,9,18,18,9,18,18,22,20,22,3,31,25,28,26,28,29,3,31,32,3,36,0,36,
#predictedHeads=2,3,36,3,3,5,6,9,7,11,9,11,12,13,12,18,18,12,18,18,22,20,22,22,31,25,28,26,28,29,22,31,32,36,36,0,36,
(0,3),-1.24688 # DEPENDENCYPART_ARC
(0,18),-1.86846 # DEPENDENCYPART_ARC
(0,36),0.223568 # DEPENDENCYPART_ARC
(1,2),-1.0875 # DEPENDENCYPART_ARC
(1,3),-0.990172 # DEPENDENCYPART_ARC
(1,5),-1.84742 # DEPENDENCYPART_ARC
(1,7),-1.84601 # DEPENDENCYPART_ARC
(2,1),1.73637 # DEPENDENCYPART_ARC
(2,3),-1.04718 # DEPENDENCYPART_ARC
(2,4),-1.67485 # DEPENDENCYPART_ARC
(2,5),-1.6147 # DEPENDENCYPART_ARC
(2,6),-1.37683 # DEPENDENCYPART_ARC
(2,11),-1.06106 # DEPENDENCYPART_ARC
(3,1),-0.95218 # DEPENDENCYPART_ARC
(3,2),1.11678 # DEPENDENCYPART_ARC
(3,4),1.09823 # DEPENDENCYPART_ARC
(3,5),1.4585 # DEPENDENCYPART_ARC
(3,6),-0.270132 # DEPENDENCYPART_ARC
(3,7),-0.61657 # DEPENDENCYPART_ARC
(3,8),-1.46523 # DEPENDENCYPART_ARC
(3,9),-1.2287 # DEPENDENCYPART_ARC
(3,10),-1.67835 # DEPENDENCYPART_ARC
(3,11),-1.04774 # DEPENDENCYPART_ARC
(3,13),-0.459396 # DEPENDENCYPART_ARC
(3,15),-1.03184 # DEPENDENCYPART_ARC
(3,18),-0.885063 # DEPENDENCYPART_ARC
(3,20),-1.52321 # DEPENDENCYPART_ARC
(3,22),-1.17514 # DEPENDENCYPART_ARC
(3,24),-0.916826 # DEPENDENCYPART_ARC
(3,29),-2.76572 # DEPENDENCYPART_ARC
(3,37),1.23669 # DEPENDENCYPART_ARC
(4,2),-1.96197 # DEPENDENCYPART_ARC
(4,3),-1.52011 # DEPENDENCYPART_ARC
(4,5),-1.04214 # DEPENDENCYPART_ARC
(4,6),-1.49715 # DEPENDENCYPART_ARC
(4,7),-1.20642 # DEPENDENCYPART_ARC
(4,9),-2.26801 # DEPENDENCYPART_ARC
(5,1),-1.6778 # DEPENDENCYPART_ARC
(5,2),-1.16287 # DEPENDENCYPART_ARC
(5,3),-1.35718 # DEPENDENCYPART_ARC
(5,4),0.0434198 # DEPENDENCYPART_ARC
(5,6),0.465247 # DEPENDENCYPART_ARC
(5,7),-0.235801 # DEPENDENCYPART_ARC
(5,8),-1.38278 # DEPENDENCYPART_ARC
(5,9),-1.34556 # DEPENDENCYPART_ARC
(5,10),-1.66205 # DEPENDENCYPART_ARC
(5,11),-0.813987 # DEPENDENCYPART_ARC
(5,13),-1.33091 # DEPENDENCYPART_ARC
(5,15),-1.16962 # DEPENDENCYPART_ARC
(5,37),-2.99871 # DEPENDENCYPART_ARC
(6,2),-1.42445 # DEPENDENCYPART_ARC
(6,3),-1.23179 # DEPENDENCYPART_ARC
(6,4),-0.83172 # DEPENDENCYPART_ARC
(6,5),-0.782045 # DEPENDENCYPART_ARC
(6,7),1.49834 # DEPENDENCYPART_ARC
(6,8),-0.71574 # DEPENDENCYPART_ARC
(6,9),-0.381141 # DEPENDENCYPART_ARC
(6,10),-1.16345 # DEPENDENCYPART_ARC
(6,11),-0.57611 # DEPENDENCYPART_ARC
(6,13),-0.998323 # DEPENDENCYPART_ARC
(6,15),-1.24586 # DEPENDENCYPART_ARC
(6,18),-1.76014 # DEPENDENCYPART_ARC
(6,20),-1.90572 # DEPENDENCYPART_ARC
(6,26),-1.82363 # DEPENDENCYPART_ARC
(7,4),-1.88249 # DEPENDENCYPART_ARC
(7,6),-1.55986 # DEPENDENCYPART_ARC
(7,8),-0.100363 # DEPENDENCYPART_ARC
(7,9),0.97472 # DEPENDENCYPART_ARC
(7,10),-1.52653 # DEPENDENCYPART_ARC
(7,11),-1.22259 # DEPENDENCYPART_ARC
(7,12),-1.41969 # DEPENDENCYPART_ARC
(7,13),-0.991155 # DEPENDENCYPART_ARC
(7,14),-1.76519 # DEPENDENCYPART_ARC
(7,17),-1.05023 # DEPENDENCYPART_ARC
(7,20),-1.79041 # DEPENDENCYPART_ARC
(7,21),-1.34183 # DEPENDENCYPART_ARC
(8,7),-0.995113 # DEPENDENCYPART_ARC
(8,10),-1.77459 # DEPENDENCYPART_ARC
(9,1),-1.47938 # DEPENDENCYPART_ARC
(9,2),-2.27387 # DEPENDENCYPART_ARC
(9,4),-1.37591 # DEPENDENCYPART_ARC
(9,5),-1.20616 # DEPENDENCYPART_ARC
(9,6),-1.10251 # DEPENDENCYPART_ARC
(9,7),-1.14674 # DEPENDENCYPART_ARC
(9,8),1.32105 # DEPENDENCYPART_ARC
(9,10),-0.614861 # DEPENDENCYPART_ARC
(9,11),-0.28188 # DEPENDENCYPART_ARC
(9,12),-1.76614 # DEPENDENCYPART_ARC
(9,13),-1.01891 # DEPENDENCYPART_ARC
(9,14),-2.05583 # DEPENDENCYPART_ARC
(9,15),-0.95036 # DEPENDENCYPART_ARC
(9,17),-2.41914 # DEPENDENCYPART_ARC
(9,18),-1.99275 # DEPENDENCYPART_ARC
(9,20),-1.87216 # DEPENDENCYPART_ARC
(9,24),-1.77005 # DEPENDENCYPART_ARC
(10,4),-2.24432 # DEPENDENCYPART_ARC
(10,7),-1.71063 # DEPENDENCYPART_ARC
(10,8),-1.02648 # DEPENDENCYPART_ARC
(10,9),-1.1746 # DEPENDENCYPART_ARC
(10,11),-0.508835 # DEPENDENCYPART_ARC
(10,12),-1.59955 # DEPENDENCYPART_ARC
(10,13),-0.902559 # DEPENDENCYPART_ARC
(11,8),-1.33367 # DEPENDENCYPART_ARC
(11,9),-1.54911 # DEPENDENCYPART_ARC
(11,10),0.822681 # DEPENDENCYPART_ARC
(11,12),0.196196 # DEPENDENCYPART_ARC
(11,13),-1.1143 # DEPENDENCYPART_ARC
(11,14),-1.39327 # DEPENDENCYPART_ARC
(11,15),-1.52372 # DEPENDENCYPART_ARC
(11,18),-0.407651 # DEPENDENCYPART_ARC
(11,22),-0.798014 # DEPENDENCYPART_ARC
(12,8),-1.77421 # DEPENDENCYPART_ARC
(12,10),-1.20528 # DEPENDENCYPART_ARC
(12,11),-1.00225 # DEPENDENCYPART_ARC
(12,13),1.3919 # DEPENDENCYPART_ARC
(12,14),-0.799321 # DEPENDENCYPART_ARC
(12,15),-0.461402 # DEPENDENCYPART_ARC
(12,17),-1.7441 # DEPENDENCYPART_ARC
(12,18),-1.26296 # DEPENDENCYPART_ARC
(12,19),-1.97372 # DEPENDENCYPART_ARC
(12,21),-2.35884 # DEPENDENCYPART_ARC
(12,22),-1.49789 # DEPENDENCYPART_ARC
(12,24),-1.43967 # DEPENDENCYPART_ARC
(13,14),1.08705 # DEPENDENCYPART_ARC
(13,15),-0.93478 # DEPENDENCYPART_ARC
(13,17),-0.730945 # DEPENDENCYPART_ARC
(13,18),-1.08609 # DEPENDENCYPART_ARC
(13,21),-1.64093 # DEPENDENCYPART_ARC
(13,22),-1.50191 # DEPENDENCYPART_ARC
(14,12),-1.67321 # DEPENDENCYPART_ARC
(14,15),-0.215141 # DEPENDENCYPART_ARC
(14,16),-1.90619 # DEPENDENCYPART_ARC
