# _root_ With the golden share as protection , Jaguar officials have rebuffed Ford 's overtures , and moved instead to forge an alliance with GM .
#goldHeads=10,4,4,1,4,5,10,9,10,0,16,14,12,11,16,10,16,17,20,17,22,20,22,23,10,
#predictedHeads=10,4,4,1,4,5,10,9,10,16,10,14,12,11,16,0,16,17,20,17,22,20,22,23,16,
(0,1),-1.7546 # DEPENDENCYPART_ARC
(0,4),-2.75701 # DEPENDENCYPART_ARC
(0,10),-2.68544 # DEPENDENCYPART_ARC
(0,11),-3.2307 # DEPENDENCYPART_ARC
(0,16),-1.98209 # DEPENDENCYPART_ARC
(0,17),-2.43924 # DEPENDENCYPART_ARC
(0,20),-2.72779 # DEPENDENCYPART_ARC
(1,2),-0.0367134 # DEPENDENCYPART_ARC
(1,3),-0.669662 # DEPENDENCYPART_ARC
(1,4),-0.703281 # DEPENDENCYPART_ARC
(1,5),-1.29541 # DEPENDENCYPART_ARC
(1,6),-1.10913 # DEPENDENCYPART_ARC
(1,7),-1.26298 # DEPENDENCYPART_ARC
(1,9),-2.71683 # DEPENDENCYPART_ARC
(1,10),-1.23532 # DEPENDENCYPART_ARC
(1,14),-3.07064 # DEPENDENCYPART_ARC
(1,16),-1.16432 # DEPENDENCYPART_ARC
(2,1),-0.265323 # DEPENDENCYPART_ARC
(2,3),-0.433688 # DEPENDENCYPART_ARC
(2,5),-1.20454 # DEPENDENCYPART_ARC
(3,1),-1.23583 # DEPENDENCYPART_ARC
(3,2),-0.0364055 # DEPENDENCYPART_ARC
(3,5),-0.947881 # DEPENDENCYPART_ARC
(3,6),-1.37429 # DEPENDENCYPART_ARC
(4,1),-0.971228 # DEPENDENCYPART_ARC
(4,2),0.405233 # DEPENDENCYPART_ARC
(4,3),1.59227 # DEPENDENCYPART_ARC
(4,5),0.23088 # DEPENDENCYPART_ARC
(4,6),-1.21909 # DEPENDENCYPART_ARC
(4,7),-1.47994 # DEPENDENCYPART_ARC
(4,9),-2.0835 # DEPENDENCYPART_ARC
(4,10),-1.91343 # DEPENDENCYPART_ARC
(4,11),-2.20996 # DEPENDENCYPART_ARC
(4,15),-1.81837 # DEPENDENCYPART_ARC
(4,20),-2.13659 # DEPENDENCYPART_ARC
(5,1),-1.26678 # DEPENDENCYPART_ARC
(5,3),-1.17586 # DEPENDENCYPART_ARC
(5,4),-0.40609 # DEPENDENCYPART_ARC
(5,6),0.491836 # DEPENDENCYPART_ARC
(5,7),-1.08807 # DEPENDENCYPART_ARC
(5,9),-2.22199 # DEPENDENCYPART_ARC
(5,10),-2.26057 # DEPENDENCYPART_ARC
(5,16),-1.64335 # DEPENDENCYPART_ARC
(5,18),-1.44093 # DEPENDENCYPART_ARC
(6,1),-1.64779 # DEPENDENCYPART_ARC
(6,2),-1.33325 # DEPENDENCYPART_ARC
(6,3),-1.15876 # DEPENDENCYPART_ARC
(6,4),-0.759799 # DEPENDENCYPART_ARC
(6,5),0.0207709 # DEPENDENCYPART_ARC
(6,7),0.314562 # DEPENDENCYPART_ARC
(6,8),-0.955083 # DEPENDENCYPART_ARC
(6,9),-1.56057 # DEPENDENCYPART_ARC
(6,10),-1.39841 # DEPENDENCYPART_ARC
(6,11),-1.92234 # DEPENDENCYPART_ARC
(6,12),-1.64969 # DEPENDENCYPART_ARC
(6,14),-1.68287 # DEPENDENCYPART_ARC
(6,15),-1.1455 # DEPENDENCYPART_ARC
(6,16),-1.00622 # DEPENDENCYPART_ARC
(6,18),-1.4748 # DEPENDENCYPART_ARC
(6,19),-1.24937 # DEPENDENCYPART_ARC
(6,20),-1.92742 # DEPENDENCYPART_ARC
(8,6),-2.038 # DEPENDENCYPART_ARC
(8,7),-0.980918 # DEPENDENCYPART_ARC
(8,10),-0.802312 # DEPENDENCYPART_ARC
(8,11),-1.39597 # DEPENDENCYPART_ARC
(8,13),-1.8545 # DEPENDENCYPART_ARC
(9,1),-1.9322 # DEPENDENCYPART_ARC
(9,2),-1.80504 # DEPENDENCYPART_ARC
(9,3),-1.8836 # DEPENDENCYPART_ARC
(9,4),-1.81986 # DEPENDENCYPART_ARC
(9,5),-1.65866 # DEPENDENCYPART_ARC
(9,6),-1.14589 # DEPENDENCYPART_ARC
(9,7),-0.800922 # DEPENDENCYPART_ARC
(9,8),1.89739 # DEPENDENCYPART_ARC
(9,10),-0.39365 # DEPENDENCYPART_ARC
(9,11),-1.29702 # DEPENDENCYPART_ARC
(9,14),-1.70211 # DEPENDENCYPART_ARC
(9,15),-1.50499 # DEPENDENCYPART_ARC
(10,1),-0.581027 # DEPENDENCYPART_ARC
(10,3),-1.75341 # DEPENDENCYPART_ARC
(10,4),-1.4876 # DEPENDENCYPART_ARC
(10,5),-0.988757 # DEPENDENCYPART_ARC
